unit,Station,mode_label,exclusion_reason
1395,Bushey,LO,no NaPTAN Greater-London (area 490) coordinate match
1402,Watford Junction,LO,no NaPTAN Greater-London (area 490) coordinate match
1442,Carpenders Park,LO,no NaPTAN Greater-London (area 490) coordinate match
1455,Watford High Street,LO,no NaPTAN Greater-London (area 490) coordinate match
3147,Maidenhead,EZL,no NaPTAN Greater-London (area 490) coordinate match
3149,Reading,EZL,no NaPTAN Greater-London (area 490) coordinate match
3151,Taplow,EZL,no NaPTAN Greater-London (area 490) coordinate match
3155,Twyford,EZL,no NaPTAN Greater-London (area 490) coordinate match
3170,Iver,EZL,no NaPTAN Greater-London (area 490) coordinate match
3171,Langley,EZL,no NaPTAN Greater-London (area 490) coordinate match
3172,Slough,EZL,no NaPTAN Greater-London (area 490) coordinate match
3176,Burnham,EZL,no NaPTAN Greater-London (area 490) coordinate match
6814,Cheshunt,LO,no NaPTAN Greater-London (area 490) coordinate match
6872,Brentwood,EZL,no NaPTAN Greater-London (area 490) coordinate match
6888,Shenfield,EZL,no NaPTAN Greater-London (area 490) coordinate match
6949,Theobalds Grove,LO,no NaPTAN Greater-London (area 490) coordinate match
