K,cluster,n,silhouette_mean,silhouette_sd,silhouette_median,silhouette_q025,silhouette_q975,silhouette_min,silhouette_max,negative_share
5,0,206,0.24532467644244088,0.08897575398509654,0.24365276021491816,0.08113042354118247,0.39226621569932885,-0.024918682864997797,0.42172646886471454,0.0048543689320388345
5,1,36,0.0711477108157162,0.07353125848095744,0.08377097475115935,-0.07611458732517525,0.19723976436950771,-0.0856864262123263,0.20326156673125786,0.16666666666666666
5,2,95,0.036363460009868405,0.12717623449591406,0.024854461719662203,-0.17031239422495467,0.24777915570853762,-0.1938623147042438,0.2652320681949216,0.4421052631578947
5,3,15,-0.174078179250826,0.10127974815414804,-0.13259147793075945,-0.3279590827222041,-0.019506660088511495,-0.33150332172484653,-0.006088105719596087,1.0
5,4,68,-0.07482827808591923,0.07673758821833179,-0.0832806459018299,-0.18910138747793562,0.06681643461042744,-0.19725750612482812,0.11586447112316607,0.8088235294117647
6,0,86,0.020828219716573847,0.08012360345001698,0.022409216399966,-0.12020205043841284,0.15485380213723682,-0.13544871215055906,0.16358567846566774,0.4883720930232558
6,1,33,0.06201008816958601,0.07130115184231313,0.06039842624018849,-0.08346103954168442,0.17500202965561423,-0.08516093019072545,0.19782501954931364,0.15151515151515152
6,2,78,-0.022456981849600172,0.07357464620395948,-0.029692662787563762,-0.13008869866849596,0.11829778208158903,-0.1536128420169354,0.16847097664355193,0.6666666666666666
6,3,170,0.2142290539675846,0.08508802325498828,0.20577872043287862,0.07330693568135686,0.373134876423126,-0.01803066265052711,0.39175923214863306,0.0058823529411764705
6,4,13,-0.27215516219416874,0.0970051321633253,-0.2854986951573856,-0.41391027281258963,-0.09632515795399106,-0.43338787735414586,-0.07212864784129738,1.0
6,5,40,0.043699298439361586,0.11697990448351936,0.021362488628316537,-0.13584233588615516,0.22091415562622757,-0.1415995346346902,0.23605992341259566,0.45
