run,seed,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision
1,10043,5,0,0,0.6363636363636364,0.7135922330097088,0.8546511627906976
1,10043,5,1,3,0.6216216216216216,0.6388888888888888,0.9583333333333334
1,10043,5,2,4,0.74,0.7789473684210526,0.9367088607594937
1,10043,5,3,2,0.6470588235294118,0.7333333333333333,0.8461538461538461
1,10043,5,4,1,0.4925373134328358,0.9705882352941176,0.5
1,10043,6,0,5,0.5,0.6744186046511628,0.6590909090909091
1,10043,6,1,1,0.7272727272727273,0.7272727272727273,1.0
1,10043,6,2,4,0.53125,0.6538461538461539,0.7391304347826086
1,10043,6,3,2,0.7711442786069652,0.9117647058823529,0.8333333333333334
1,10043,6,4,0,0.8571428571428571,0.9230769230769231,0.9230769230769231
1,10043,6,5,3,0.7391304347826086,0.85,0.85
2,10044,5,0,2,0.8311688311688312,0.9320388349514563,0.8847926267281107
2,10044,5,1,4,0.5535714285714286,0.8611111111111112,0.6078431372549019
2,10044,5,2,3,0.5436893203883495,0.5894736842105263,0.875
2,10044,5,3,1,0.75,0.8,0.9230769230769231
2,10044,5,4,0,0.4895833333333333,0.6911764705882353,0.6266666666666667
2,10044,6,0,4,0.7619047619047619,0.9302325581395349,0.8080808080808081
2,10044,6,1,2,0.9696969696969697,0.9696969696969697,1.0
2,10044,6,2,0,0.5432098765432098,0.5641025641025641,0.9361702127659575
2,10044,6,3,3,0.8316326530612245,0.9588235294117647,0.8624338624338624
2,10044,6,4,5,0.7857142857142857,0.8461538461538461,0.9166666666666666
2,10044,6,5,1,0.8409090909090909,0.925,0.9024390243902439
3,10045,5,0,3,0.9476190476190476,0.9660194174757282,0.9802955665024631
3,10045,5,1,1,0.8947368421052632,0.9444444444444444,0.9444444444444444
3,10045,5,2,0,0.8842105263157894,0.8842105263157894,1.0
3,10045,5,3,2,1.0,1.0,1.0
3,10045,5,4,4,0.8292682926829268,1.0,0.8292682926829268
3,10045,6,0,2,0.845360824742268,0.9534883720930233,0.8817204301075269
3,10045,6,1,4,0.9090909090909091,0.9090909090909091,1.0
3,10045,6,2,5,0.9135802469135802,0.9487179487179487,0.961038961038961
3,10045,6,3,0,0.9310344827586207,0.9529411764705882,0.9759036144578314
3,10045,6,4,1,0.9285714285714286,1.0,0.9285714285714286
3,10045,6,5,3,0.9512195121951219,0.975,0.975
4,10046,5,0,4,0.8311688311688312,0.9320388349514563,0.8847926267281107
4,10046,5,1,1,0.5535714285714286,0.8611111111111112,0.6078431372549019
4,10046,5,2,3,0.5436893203883495,0.5894736842105263,0.875
4,10046,5,3,2,0.75,0.8,0.9230769230769231
4,10046,5,4,0,0.4895833333333333,0.6911764705882353,0.6266666666666667
4,10046,6,0,1,0.21014492753623187,0.3372093023255814,0.35802469135802467
4,10046,6,1,2,0.43902439024390244,0.5454545454545454,0.6923076923076923
4,10046,6,2,3,0.42342342342342343,0.6025641025641025,0.5875
4,10046,6,3,5,0.5666666666666667,0.7,0.7484276729559748
4,10046,6,4,4,0.2631578947368421,0.38461538461538464,0.45454545454545453
4,10046,6,5,0,0.4507042253521127,0.8,0.5079365079365079
5,10047,5,0,1,0.8311688311688312,0.9320388349514563,0.8847926267281107
5,10047,5,1,3,0.5535714285714286,0.8611111111111112,0.6078431372549019
