canonical_k5_cluster,matched_allmodes_cluster,intersection,canonical_size,allmodes_subset_size,jaccard
0,0,118,119,153,0.7662337662337663
1,3,9,15,9,0.6
2,1,15,44,16,0.3333333333333333
3,2,38,38,61,0.6229508196721312
4,4,30,54,31,0.5454545454545454
