K,reference_cluster,runs,jaccard_mean,jaccard_sd,jaccard_median,jaccard_q025,jaccard_q975,jaccard_min,jaccard_max,share_exact_jaccard_1
5,0,20,0.7822042406282044,0.0833612884343004,0.8311688311688312,0.6584301161393672,0.9216860465116278,0.6363636363636364,0.9476190476190476,0.0
5,1,20,0.6255625382599066,0.09337132771756129,0.6134423897581792,0.5238095238095238,0.8548719772403982,0.5238095238095238,0.8947368421052632,0.0
5,2,20,0.7148574224118887,0.1268993533735414,0.7213861386138614,0.5436893203883495,0.8798355263157894,0.5436893203883495,0.8842105263157894,0.0
5,3,20,0.7355794369029663,0.15551055393142138,0.75,0.34615384615384615,0.9683333333333333,0.34615384615384615,1.0,0.05
5,4,20,0.5649793740127278,0.07824904696301785,0.5663716814159292,0.4895833333333333,0.7453658536585364,0.4895833333333333,0.8292682926829268,0.0
6,0,20,0.5174389653994389,0.2328360518387679,0.46782496782496785,0.21233950977531368,0.8461892488954345,0.21014492753623187,0.8469387755102041,0.0
6,1,20,0.7762876319678027,0.16476790818706155,0.7886762360446571,0.38590145023071853,0.9569480519480519,0.33783783783783783,0.9696969696969697,0.0
6,2,20,0.5369073862868536,0.15100979320040928,0.5403549382716049,0.2842271559881049,0.8241351241351238,0.24817518248175183,0.9135802469135802,0.0
6,3,20,0.7539334084824814,0.13672874745517122,0.7911843842014418,0.498572734660707,0.9137931034482758,0.45794392523364486,0.9310344827586207,0.0
6,4,20,0.72202998304585,0.1423028069935809,0.7857142857142857,0.4053453947368421,0.8946428571428571,0.2631578947368421,0.9285714285714286,0.0
6,5,20,0.646517351144438,0.19511903074173534,0.6810658722277392,0.27184684684684685,0.9065331010452959,0.21621621621621623,0.9512195121951219,0.0
