k6_cluster,source_k5_cluster,count,k6_cluster_size,source_share_within_k6
0,0,19,86,0.22093023255813954
0,1,1,86,0.011627906976744186
0,2,60,86,0.6976744186046512
0,3,1,86,0.011627906976744186
0,4,5,86,0.05813953488372093
1,1,33,33,1.0
2,0,17,78,0.21794871794871795
2,4,61,78,0.782051282051282
3,0,170,170,1.0
4,3,11,13,0.8461538461538461
4,4,2,13,0.15384615384615385
5,1,2,40,0.05
5,2,35,40,0.875
5,3,3,40,0.075
