K,replicate,ARI,min_matched_cluster_jaccard
2,1,0.5286037714250261,0.7318611987381703
2,2,0.5110871444538002,0.7078189300411523
2,3,0.5032947995550602,0.7267924528301887
2,4,0.44871892820582104,0.6642156862745098
2,5,0.6479038726162136,0.799835255354201
2,6,0.3497216030810261,0.6279239766081871
2,7,0.09845472926986984,0.32432432432432434
2,8,0.09685072841179536,0.3197767145135566
2,9,0.5123811092859374,0.7219167321288296
2,10,0.6753223382137709,0.8146911519198664
2,11,0.3678813268343271,0.6566222845129642
2,12,0.5021712077876882,0.7303120356612184
2,13,0.08349859630409931,0.30158730158730157
2,14,0.4530275791212225,0.6663934426229509
2,15,0.48520440029613926,0.7110091743119266
2,16,0.7087715381154998,0.8435266084193804
2,17,0.6518514594198872,0.8195488721804511
2,18,0.4394061108998792,0.7073170731707317
2,19,0.3673565303484263,0.5916666666666667
2,20,0.09274487211328937,0.31230031948881787
3,1,0.6960316386139861,0.7487046632124352
3,2,0.6417966141027011,0.6150341685649203
3,3,0.7200929199206149,0.7125890736342043
3,4,0.6661251515586211,0.628755364806867
3,5,0.6433715409144067,0.7226277372262774
3,6,0.6953241504653426,0.7592592592592593
3,7,0.6142765736040164,0.7185261003070624
3,8,0.7666321419008424,0.7944862155388471
3,9,0.742058230332663,0.6957547169811321
3,10,0.6949035191581194,0.7466367713004485
3,11,0.704562634172724,0.6921182266009852
3,12,0.5817691818440031,0.6339285714285714
3,13,0.6675391804426333,0.7119815668202765
3,14,0.6782441882408536,0.6376811594202898
3,15,0.7126091256474435,0.7647058823529411
3,16,0.689468613935259,0.6748878923766816
3,17,0.7467996965346939,0.7405541561712846
3,18,0.6169436250711933,0.706601466992665
3,19,0.7316176315780032,0.7553444180522565
3,20,0.6684453943338338,0.6375545851528385
4,1,0.39323009212242976,0.5
4,2,0.3346973730519129,0.42528735632183906
4,3,0.16850872789494933,0.15619834710743802
4,4,0.2300637453957533,0.3951863354037267
4,5,0.38839033141604323,0.48244473342002603
4,6,0.25720101242012794,0.4119318181818182
4,7,0.22348033166359743,0.43526170798898073
4,8,0.15530149278461602,0.27521613832853026
4,9,0.2769604554778387,0.3982521847690387
4,10,0.28353512171758544,0.37567567567567567
4,11,0.29688500717621297,0.43234323432343236
4,12,0.2914706674074828,0.44475524475524475
4,13,0.19478189753016148,0.3114754098360656
4,14,0.22596641369619183,0.3822525597269625
4,15,0.26353980380772546,0.439066551426102
4,16,0.2667684984942849,0.4014962593516209
4,17,0.3879083067891365,0.4375
4,18,0.1840408493487252,0.2026221692491061
4,19,0.19355721626554,0.16440542697525937
4,20,0.14458800510503428,0.19286754002911208
5,1,0.46482702488010935,0.5177304964539007
5,2,0.4109656987532473,0.2563176895306859
5,3,0.2761300142063232,0.18181818181818182
5,4,0.33923524143840056,0.2608257804632427
5,5,0.25453353019047614,0.0
5,6,0.2856966128454165,0.2681992337164751
5,7,0.3326270623729948,0.2991202346041056
5,8,0.19715902144625247,0.24128686327077747
5,9,0.2869570274040985,0.3498452012383901
5,10,0.2894790044290404,0.2248062015503876
5,11,0.449894087158102,0.42402826855123676
5,12,0.36042494600218616,0.0
5,13,0.2878725297936906,0.15204678362573099
5,14,0.35859136674268566,0.003952569169960474
5,15,0.29172255525312485,0.39473684210526316
5,16,0.3049324667017163,0.2188679245283019
5,17,0.23017557919299086,0.15
5,18,0.4253075962508116,0.2867647058823529
5,19,0.4481746789150702,0.5049180327868853
5,20,0.34599251435563244,0.22311557788944725
6,1,0.33676553036787976,0.02
6,2,0.3610147353496631,0.04158004158004158
6,3,0.36531172563634057,0.20757825370675453
6,4,0.3084485020714771,0.3621212121212121
6,5,0.3039032142884936,0.149812734082397
6,6,0.2466913321752412,0.22945205479452055
6,7,0.2341268711492691,0.004484304932735426
6,8,0.2038048445533229,0.15301391035548687
6,9,0.30284758310235915,0.005141388174807198
6,10,0.4375613849964802,0.02459016393442623
6,11,0.3642299709864604,0.1702127659574468
6,12,0.33858915324817407,0.2222222222222222
6,13,0.34516483827963207,0.12006861063464837
6,14,0.25262932256595366,0.3114382785956965
6,15,0.2462512018561727,0.07865168539325842
6,16,0.2949754777308271,0.17525773195876287
6,17,0.3409977989582422,0.029850746268656716
6,18,0.40729949222838396,0.01054481546572935
6,19,0.2859273914650626,0.11251980982567353
6,20,0.3029273205585887,0.0
7,1,0.1963650889411507,0.20536912751677852
7,2,0.2658190470883387,0.16153846153846155
7,3,0.33071127391030947,0.026168224299065422
7,4,0.23156860532926535,0.09060773480662983
7,5,0.2333108975803496,0.04030710172744722
7,6,0.3401177441145213,0.3393124065769806
7,7,0.2628114434111375,0.09045226130653267
7,8,0.2054314406076545,0.16290018832391714
7,9,0.35312807662242923,0.15270935960591134
7,10,0.31729805901977737,0.21166666666666667
7,11,0.2624095563396016,0.24778761061946902
7,12,0.23710848156817002,0.09126984126984126
7,13,0.3037461695027624,0.03917910447761194
7,14,0.16514498748582812,0.06178489702517163
7,15,0.33161088661335963,0.22134387351778656
7,16,0.30641501749715966,0.22755417956656346
7,17,0.2589079026983667,0.16685330347144456
7,18,0.23418898037486305,0.1198044009779951
7,19,0.22323416730329332,0.1683599419448476
7,20,0.2664558879811,0.0136986301369863
8,1,0.2734496942047599,0.09366391184573003
8,2,0.35562816088133803,0.08780487804878048
8,3,0.3453910021164909,0.3169291338582677
8,4,0.24410755754489374,0.0
8,5,0.24847087273836363,0.2342007434944238
8,6,0.30153609273363535,0.13114754098360656
8,7,0.3748329105052535,0.2661290322580645
8,8,0.26426638965905686,0.1988071570576541
8,9,0.20799620934628657,0.0
8,10,0.3085697598231801,0.09138381201044386
8,11,0.23041719238659797,0.016548463356973995
8,12,0.24143683735719879,0.17752808988764046
8,13,0.2188489967725929,0.08064516129032258
8,14,0.3114576517848562,0.03890489913544669
8,15,0.21729934865718212,0.006289308176100629
8,16,0.258232288506261,0.17193675889328064
8,17,0.20654455692273646,0.021638330757341576
8,18,0.2768681537458965,0.0720164609053498
8,19,0.31648696537605764,0.013605442176870748
8,20,0.20574697668795164,0.0
