K,BIC,silhouette,davies_bouldin,activity_eta2,zero_bin_eta2,min_cluster_share,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2,ari_vs_canon_clr_k4,n_shared_clr_k4,ari_vs_canon_raw_k3,n_shared_raw_k3,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean
2,-1172137.0076548208,0.09570611714151551,2.7127346860687833,0.3463431428477581,0.1518909286873759,0.45407139991977535,0.012961108910315705,0.003677286745285389,0.017303240184241158,0.1563742734438506,0.03137013865668058,0.01131387861328075,0.14354391105261582,2493,0.11743129168401864,2493,0.42621263228793893,0.19747542985731964,0.6389720100677698
3,-1170775.8189329496,0.0999552357075265,2.791133840170238,0.13827324685218995,0.0277482745199335,0.14320096269554752,0.2605367810386842,0.23441607042226648,0.2531523069019788,0.1469322176707271,0.08100807633409472,0.24936838612097648,0.03019737549105729,2493,0.13878909096014022,2493,0.6839305876185977,0.04783863257046457,0.7048865998100122
4,-1165914.565509799,0.038047221773061024,3.1978330324004434,0.4128696797320833,0.4901694740869098,0.07821901323706378,0.3935863545529584,0.27837599516884415,0.3750183470860984,0.08359104338510974,0.08195096703442939,0.34899356560263367,0.2899449260784878,2493,0.3128405464779225,2493,0.2580437674782675,0.07603150985676797,0.36321193464349893
5,-1154076.7600704462,0.013186619820024281,3.541541912456357,0.4126456202135203,0.6225011325137255,0.08343361411953469,0.3995352565610611,0.3170978901294954,0.3755324878861371,0.1551232183582443,0.126250732303261,0.36405521152556447,0.20222612039743743,2493,0.23196685621295465,2493,0.3320349279166185,0.07598474322076379,0.24791902935926627
6,-1142166.1663505826,0.014773100169813163,3.99439909024565,0.45886277933369785,0.7619865646977176,0.04011231448054553,0.405000440369107,0.3346336911185488,0.390269598436716,0.15545435622139206,0.16889162646801126,0.3766345766414572,0.2562448983231257,2493,0.1959572888690158,2493,0.31397338457840124,0.05942740094666203,0.12142703650022382
7,-1124457.1530123188,-0.0025735127611740383,3.9243535561583895,0.4548842603313843,0.7217380516576787,0.03850782190132371,0.4500289319015345,0.41411273930095976,0.431313238933442,0.14893486455498847,0.1453527418772961,0.4318183033786454,0.2466168210304716,2493,0.1889093507766254,2493,0.2662891856994719,0.052293514425888886,0.14193336576880541
8,-1106435.5671356139,0.009576168586828042,3.1695461602718726,0.425220407463617,0.7247839058303701,0.02807862013638187,0.4721563825687617,0.41391484086600205,0.45810467766884544,0.1864679438214298,0.15684489225116136,0.4480586337012031,0.21666238431193788,2493,0.1809778914212851,2493,0.2703793808875295,0.05206537903414609,0.1009589562068149
9,-1090244.058638242,-0.006435518132940733,4.165412633757073,0.45584223716768607,0.7274948641749323,0.029683112715603692,0.49682065949469145,0.41981226607882033,0.48832477145026754,0.17393270412469006,0.1468804390604599,0.4683192323412597,0.20892753950181692,2493,0.14924099099842528,2493,,,
10,-1072487.924586761,0.0031941773810129346,3.6221671603729613,0.469840862987882,0.6774089006914207,0.023265142398716406,0.4667664373164159,0.39980797499716336,0.4543160794050726,0.1774696632480843,0.14409517042281159,0.440296830572884,0.1853458255880103,2493,0.1627572800013163,2493,,,
11,-1055157.629279173,0.00526730647214934,3.211575452764787,0.43297851293274753,0.6418078500015362,0.01684717208182912,0.48879367220542513,0.3974124104072613,0.48332328601964064,0.20115958532286923,0.13393260341259608,0.45650978954410903,0.16377438942739872,2493,0.1668814130425672,2493,,,
12,-1037538.5177047558,0.008201742705245612,3.7879355281262277,0.4274089950551485,0.6503932163680611,0.01764941837144003,0.5638993417292337,0.5062044304429908,0.5930534901773512,0.21494240147130791,0.14287106962231233,0.5543857541165252,0.16599322122598986,2493,0.13873930492563555,2493,,,
