K,n_matched,central_outer_total_variation,central_outer_same_cluster_probability
2,330,0.15576036866359444,0.7542857142857142
3,330,0.2875576036866359,0.36129032258064514
4,330,0.3712442396313364,0.279852534562212
5,330,0.3382488479262673,0.25544700460829495
6,330,0.36036866359447006,0.2564423963133641
7,330,0.30838709677419357,0.1661935483870968
8,330,0.35723502304147464,0.17563133640552997
