K,n,lnwc_chi_square,lnwc_df,lnwc_p_value,lnwc_cramers_v,lnwc_min_expected,imd_kruskal_h,imd_df,imd_p_value,imd_epsilon_squared
3,3365,622.3692096784554,12,1.7667059740128542e-125,0.3041000680102063,58.91233283803863,212.88063576793508,2,5.936866605800762e-47,0.06272475781318711
4,3365,650.7259616192767,18,1.5880164583319567e-126,0.25389018105001304,34.82317979197622,203.90695216108338,3,6.038630005913654e-44,0.059775945302315794
