cluster,cluster_type,n,share,top_enriched_lnwc,top_enriched_lnwc_name,top_enrichment_ratio,total_activity_median,total_activity_q1,total_activity_q3,log_total_activity_median,log_total_activity_q1,log_total_activity_q3,post_midnight_share_median,post_midnight_share_q1,post_midnight_share_q3,deep_night_share_median,deep_night_share_q1,deep_night_share_q3,post_midnight_persistence_median,post_midnight_persistence_q1,post_midnight_persistence_q3,direction_balance_median,direction_balance_q1,direction_balance_q3,weekend_ratio_median,weekend_ratio_q1,weekend_ratio_q3,imd_score_median,imd_score_q1,imd_score_q3,imd_decile_int_median,imd_decile_int_q1,imd_decile_int_q3
1,High activity / full-night,1132,0.33640416047548294,1,Thriving night-worker central hubs,2.045377184167018,2612.1600799999997,1631.1644649999998,5090.611025,7.868315348807052,7.397661216475778,8.535349546198018,0.1273383289867644,0.10286783852418149,0.15713687658798783,0.07276416788090095,0.05300630536211717,0.09435011135720539,0.21327118093317715,0.16677394415109917,0.27980806786669254,-0.08622100315106546,-0.19565654193178994,0.03899119963460225,0.8165290715393358,0.767734185500631,0.8678679801856001,26.302,19.27425,33.65075,4.0,2.0,5.0
3,Medium activity / continuing,1068,0.3173848439821694,6,Low night-worker activity suburban zones,1.1797647839304009,623.78789,397.9655725,994.25571,6.437411196558537,5.988875076195879,6.902999697204339,0.10465180576722011,0.07697602080454635,0.13808329325548857,0.0608405464987275,0.03946831743831865,0.0879161974839313,0.16808646396493915,0.1170580856103949,0.2295763884328603,-0.145563157486773,-0.26971956425442783,-0.00450852937109545,0.779478213933484,0.7164616772797879,0.8477204476978939,19.9495,11.81375,29.3355,5.0,3.0,7.0
2,Partial-night transition,607,0.18038632986627043,7,Night-worker periphery,1.3727151486624305,502.32662,274.51032999999995,892.96002,6.221239303303568,5.6186245959101715,6.7956541974319205,0.0826909063762462,0.0618061099025055,0.1080926204493096,0.0498789875255022,0.0313363905792731,0.07478330342349204,0.1275864744447791,0.0916088987976623,0.17405775521431965,-0.1941221266919137,-0.30882745753284735,-0.06456923756184091,0.7481842957014059,0.6982753133841535,0.8089396725703798,20.711,12.2055,29.439,5.0,3.0,7.0
0,Low activity / early-stop,558,0.16582466567607726,7,Night-worker periphery,2.4409028844512712,244.43453,162.104305,411.1838975,5.503030217294189,5.094388880308951,6.021467967007983,0.055292057723966004,0.03503960543714553,0.0762267716534293,0.035531391627520253,0.017717841006586525,0.05512803767409605,0.08164434458932765,0.049360602392012426,0.11518736341718216,-0.197768696651334,-0.3305825419865147,-0.05528550306499685,0.7335182956504455,0.6596078878759473,0.8141356235262842,18.5935,10.72325,29.276249999999997,5.0,3.0,8.0
