unit,cluster,max_posterior,normalized_entropy
E01000001,6,0.9999999272471909,5.51243118954834e-07
E01000002,2,1.0,8.8606246268707e-76
E01000005,6,0.9999999999868123,1.491535127503577e-10
E01000007,0,1.0,2.8078475832988657e-14
E01000008,0,0.9999970404999795,1.830842618031911e-05
E01000009,6,0.9999999999999432,6.352701394629524e-13
E01000011,5,1.0,4.27165249644659e-15
E01000013,6,0.9999999999488978,5.483141586510368e-10
E01000017,4,0.9999743463791265,0.00012924294471613728
E01000019,0,0.9999840245657148,8.356984189070262e-05
E01000020,0,1.0,9.813730056084667e-17
E01000021,0,0.999096440530963,0.0031427750110627935
E01000024,7,0.9998469163092583,0.0007021031221892064
E01000027,4,0.9999530601101302,0.00023769001421220442
E01000029,9,0.9998074114907878,0.0007991695730689461
E01000030,4,0.9364820190592182,0.10604626098412272
E01000031,4,0.9999999956536385,3.8231360676870595e-08
E01000032,7,0.9797547968085598,0.04837045048220621
E01000034,0,0.9999800893021491,0.00010225857808498827
E01000035,6,0.9990301518698691,0.0036264702901784365
E01000036,6,0.9999996708771137,2.2765220542068356e-06
E01000038,0,0.9999112735979585,0.0003980468500494463
E01000040,0,0.9904578895468558,0.0234047148014151
E01000041,0,0.9986651995112374,0.004416305743706573
E01000042,0,0.9999523405521292,0.00022842043408405439
E01000043,0,0.999999997614168,2.1647489712765217e-08
E01000045,0,0.8836705831311914,0.1562015094900476
E01000049,0,0.9999990579588488,6.090225511140475e-06
E01000050,6,0.9986823054847421,0.004382720610960661
E01000052,4,0.9998440547881062,0.0006856972557129095
E01000057,0,0.9998016681198452,0.0008210270084178445
E01000058,0,0.9999986812909638,8.328640500959191e-06
E01000060,6,0.9999975518482369,1.4800449301565437e-05
E01000061,7,0.996058835953383,0.011223494770294115
E01000062,0,0.9999999998888711,1.1545966508983077e-09
E01000063,9,1.0,3.3575617033454513e-21
E01000064,0,0.9986332631066266,0.004507947218936314
E01000065,9,0.9999975724593262,1.4844393564398633e-05
E01000067,7,0.9975989439128763,0.007331765114344902
E01000068,5,0.9999999999986926,1.6251719602088944e-11
E01000070,6,0.9999235742561534,0.00034784422577541414
E01000071,0,0.9999999999727152,3.0012228562491674e-10
E01000072,0,0.9999867162665709,7.057427995914984e-05
E01000073,0,0.9999999927853196,6.187375887673965e-08
E01000074,0,0.9999995594131239,2.9918656747685806e-06
E01000075,6,0.9999999999782858,2.432867144395567e-10
E01000077,0,0.999872622699884,0.0005514481873394781
E01000078,6,0.7335753240430553,0.2839905030355648
E01000079,8,0.9994706763272123,0.0019640341157924914
E01000080,0,0.9999999911913733,7.545602216995161e-08
E01000082,7,0.9999994233453393,3.885276716340446e-06
E01000083,6,0.9999444492005292,0.0002611904388383056
E01000084,4,0.9999999999997726,3.1512599541406077e-12
E01000085,0,0.9999999837522183,1.3361441727310836e-07
E01000086,4,0.999999999676163,3.3214415166196845e-09
E01000087,6,0.9999999380410732,4.7481855089781167e-07
E01000088,9,0.998703832551923,0.004305028074662715
E01000090,9,0.9999990350729143,6.223586497262209e-06
E01000091,7,0.9951768051223822,0.013265869983166886
E01000093,4,0.9796957444675604,0.04311948134374109
E01000094,3,0.9992192861663352,0.00276549560753715
E01000095,6,0.999999999916497,8.781177507392331e-10
E01000096,0,0.9999955184024241,2.591765560730609e-05
E01000097,4,0.9999999999993747,7.713536383703058e-12
E01000098,4,0.9999949030656416,3.095035657828787e-05
E01000099,7,0.9999019207225469,0.000476894000502726
E01000101,7,0.9999911160643495,4.9051420308216733e-05
E01000103,0,1.0,2.0523707716489513e-15
E01000104,0,0.9757597410789545,0.04972857892948055
E01000105,0,0.7783262869522116,0.2308953904224723
E01000106,0,0.9999846911559576,8.036159303284944e-05
E01000108,0,1.0,6.677262563306072e-15
E01000110,9,0.9999208115993086,0.00035916871609368705
E01000111,0,0.9848490423136101,0.03410014394084117
E01000112,6,0.9840630610932183,0.035514727701611806
E01000113,6,0.9999999999433271,6.05193783650426e-10
E01000114,9,0.9995553141062048,0.0017234412245899459
E01000117,0,0.9999999999999432,5.399007638559991e-13
E01000118,0,0.9685118218539155,0.06323909282024838
E01000120,0,0.9999777452773929,0.00011321601385440454
E01000121,0,0.9999999999990337,1.1865017654796607e-11
E01000123,0,0.9999948348689525,2.990126902255364e-05
E01000124,0,0.9997683830186378,0.000942803350517362
E01000126,7,0.9999995721337092,3.00888327140969e-06
E01000127,3,0.9991513118629594,0.0029749606540439384
E01000128,0,0.9999999896185727,8.739141001077052e-08
E01000129,6,0.999999999981128,2.1464060961766505e-10
E01000130,7,0.9993223851091433,0.0024861444721858365
E01000131,4,0.9999999999755573,2.7572826032796744e-10
E01000133,4,0.9654948527149559,0.06518675215178042
E01000134,0,0.9999748727044436,0.00012657907566417456
E01000135,7,0.9999381187946099,0.0002874444532457042
E01000136,7,0.9999981758729898,1.1486783829739118e-05
E01000138,7,0.9999997306984846,1.9403877618340963e-06
E01000139,6,0.9998975399060621,0.00046619349935970295
E01000140,6,0.999973303984796,0.000134899414271067
E01000141,6,0.9999995092141557,3.416627434286772e-06
E01000143,4,0.9349035608226332,0.1045726387026153
E01000144,6,0.9483508389058378,0.09432013640463373
E01000146,6,0.9999999919543257,6.862157830337226e-08
E01000150,3,0.9994328632058659,0.0021010757591674732
E01000151,7,0.9999279731743015,0.00034991500739545557
E01000152,0,0.9999999999902798,1.1131736644350736e-10
E01000154,7,0.7378500145206236,0.3092382196264482
E01000156,6,0.9995223029272011,0.0018994413643489982
E01000159,0,1.0,1.739363168911707e-13
E01000160,0,0.998897448294084,0.003768049072031615
