lsoa,tot_boardings,tot_alightings,min_direction_activity,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,passes_both_directions_36,retained_for_fit,exclusion_reason
E01000002,20.0913,156.91156999999998,20.0913,177.00287,5.181799673757607,-0.7729833420215163,0.07370287272743091,0.04746843935355398,0.13491488046096192,1.4083048511772756,False,False,at_least_one_direction_below_36
E01000007,28.53832,103.67462,28.53832,132.21294,4.891948900534957,-0.5682976265409423,0.03503439224632626,0.0,0.05555386980317355,0.7768287913130059,False,False,at_least_one_direction_below_36
E01000020,30.1968,69.36795,30.1968,99.56475,4.610801798647737,-0.3934238774264988,0.015114887548052897,0.0,0.020471409253113436,0.644501871164389,False,False,at_least_one_direction_below_36
E01000039,18.758219999999998,8.96028,8.96028,27.7185,3.3575415144038163,0.3534801666756859,0.015221242130706922,0.0,0.01706450545654862,0.8165056567210967,False,False,at_least_one_direction_below_36
E01000103,29.76932,41.75855,29.76932,71.52787,4.28397090178568,-0.16761620330648738,0.02233702751109463,0.0,0.03378697869482432,0.6142901964156581,False,False,at_least_one_direction_below_36
E01000108,55.75895,25.0059,25.0059,80.76485,4.403847444656896,0.38077270000501456,0.002722223838712014,0.0,0.003473801130968275,0.9929619095751229,False,False,at_least_one_direction_below_36
E01000115,23.95375,15.277619999999999,15.277619999999999,39.23137,3.694647039570283,0.2211528682276454,0.0029216415332933825,0.0,0.004384337564156606,0.7681707687632939,False,False,at_least_one_direction_below_36
E01000116,7.40416,10.42255,7.40416,17.82671,2.935276606213945,-0.1693183991886332,0.003588435555410954,0.0,0.0047994105960662385,0.7863506215742699,False,False,at_least_one_direction_below_36
E01000117,29.27451,64.70195,29.27451,93.97646,4.553629071421972,-0.37698206550874547,0.026978245403157342,0.0,0.038395369996813665,0.7018439881749852,False,False,at_least_one_direction_below_36
E01000147,16.589199999999998,31.186609999999998,16.589199999999998,47.77581,3.8872344932395553,-0.3055397700216909,0.06248517816861712,0.00014693628428277824,0.08534362811621539,0.5486782597701574,False,False,at_least_one_direction_below_36
E01000166,24.42472,3.1482099999999993,3.1482099999999993,27.57293,3.3524597661120206,0.7716448705306256,6.310537182663576e-05,0.0,7.067476529072106e-05,0.7720851952768533,False,False,at_least_one_direction_below_36
E01000168,0.05513,7.583959999999999,0.05513,7.6390899999999995,2.1562972531949205,-0.9855663436351711,0.000301082982397118,0.0,0.0003131560960599517,1.3844362545574747,False,False,at_least_one_direction_below_36
E01000169,1.1018299999999999,27.00547,1.1018299999999999,28.1073,3.3709890018240913,-0.9215983036435375,0.001670028782558268,0.0,0.0022526229812654137,0.7941758793275716,False,False,at_least_one_direction_below_36
