K,BIC,silhouette,davies_bouldin,activity_eta2,zero_bin_eta2,min_cluster_share,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2,ari_vs_canon_clr_k4,n_shared_clr_k4,ari_vs_canon_raw_k3,n_shared_raw_k3,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean
2,-238644.0112521347,0.303800607759589,1.316654499639185,0.4583429229341587,0.6376762474948934,0.4985172004744958,0.17133615799563098,0.0643299895819881,0.14543851662843615,0.03367732595515913,0.04322196764329761,0.1270348880686851,0.3499721418674296,3372,0.4039304584252381,3372,0.9470759264107436,0.013896390377269915,0.9733383322027862
3,-325155.2971834102,0.2418836538801479,2.175951381479257,0.49599271519740734,0.8660976936782521,0.2422894424673784,0.24124962806124425,0.11617566349669432,0.1985689048319233,0.04239377319054601,0.05298259212623378,0.1853313987966206,0.5014902354965015,3372,0.42750098158386507,3372,0.8555048041734423,0.06860158421172351,0.7489820222648372
4,-327167.8750727471,0.20023311279560893,2.6350272388023916,0.5168414895208142,0.9131586628259667,0.08600237247924081,0.2507280997071275,0.12223057953356037,0.2064477836913606,0.04580072694592579,0.05572873708068139,0.19313548764401614,0.5597140142693412,3372,0.4334857584206235,3372,0.9008959138938313,0.07051849445436584,0.7218820192183422
5,-355488.7434183606,0.1169838433241693,3.355829483853828,0.6000615457633424,0.9338374931717102,0.11180308422301305,0.25651351958752355,0.11427876889053805,0.21340377785289114,0.05017724071190589,0.06124591616648907,0.1947320221103176,0.6819502352514568,3372,0.35588577516251263,3372,0.761135979283783,0.08679271554901478,0.401656301274447
6,-338087.69764233555,0.11759816015465993,3.552353246889311,0.6015029126923074,0.931904953377146,0.02461447212336892,0.25945043844034366,0.12419130348874957,0.2160275047573358,0.05081892538120932,0.0613245335945787,0.19988974889547637,0.6670938079963187,3372,0.3606579267666025,3372,0.7829320387505248,0.08982746056982603,0.22642740534870912
7,-321773.2713567816,0.10711714205813161,3.4856238997229285,0.6120380714319121,0.9404810972042159,0.019276393831553974,0.27443552764940987,0.14949381085877717,0.235259177696356,0.049680923668291646,0.06249037937931984,0.21972950540151434,0.6793801435055907,3372,0.3488835642015261,3372,0.7597970700187544,0.048337657752036335,0.08227700260579923
8,-308715.983083985,0.1076133173978847,3.4331799859920737,0.6178089329541182,0.9418168621543667,0.018979833926453145,0.28435842281752877,0.1635039940297128,0.24380423215098174,0.051916754121718235,0.06318641726768452,0.23055554966607442,0.6419274915132199,3372,0.3465317103299747,3372,0.7015201017087905,0.07904771962791392,0.02710171938898282
9,-296111.05500941444,0.09991328160339763,3.3670632762389996,0.6296943483998352,0.9564165229464923,0.022538552787663108,0.28484553372847765,0.156079596152762,0.2426088549027287,0.05083886832435316,0.06452007356010706,0.2278446615946561,0.676325639933219,3372,0.31931815949110137,3372,,,
10,-274437.2463715037,0.07901860037357063,3.712144153022615,0.6537161137640842,0.9405848739139271,0.021648873072360617,0.3049194120791346,0.19420626622602605,0.2622735806741482,0.06409287008524463,0.06747154609093664,0.2537997529931029,0.5853977818332452,3372,0.3111988351857156,3372,,,
11,-251977.60568383557,0.07893806125185725,3.302489150740436,0.6406936345329071,0.94125180539123,0.02402135231316726,0.31438707381367875,0.20700614740447237,0.26579837271890333,0.07291743983565793,0.06236464035995129,0.2623971979790181,0.5731039356936457,3372,0.30229223552956874,3372,,,
12,-232147.4578378838,0.0788484891484896,3.4508956406967,0.6669810978070222,0.9495018466043549,0.01631079478054567,0.3212122388748302,0.20067799742588985,0.273846440397033,0.08509516484247982,0.06428049723038581,0.265245558899251,0.6000286542266646,3372,0.2849713830782192,3372,,,
