metric,kruskal_h,df,p_value,epsilon_squared,n,p_fdr_bh,mode
imd_score,206.0558095805936,2,1.8011482792665394e-45,0.04980615318052077,4100,1.8011482792665394e-45,bus
imd_score,33.29191255852337,4,1.0408741925607056e-06,0.1176382030462786,254,1.0408741925607056e-06,rail
