imd_decile,metric,n,median,q25,q75
1,log_total_activity,166,7.0858739643585995,6.2226289275446485,7.863446992521551
1,post_midnight_share,166,0.11564246221000851,0.08434147589578955,0.15148191532446437
1,direction_balance,166,-0.10371118518703655,-0.27030014804812547,0.006064525806907976
1,weekend_ratio,166,0.8302682125691953,0.7741973760682527,0.8872657990001372
2,log_total_activity,579,6.771887444716645,5.859141150081742,7.574749720365825
2,post_midnight_share,579,0.1220301423577152,0.0890444368195112,0.1586658613126002
2,direction_balance,579,-0.1570084305201864,-0.29020798411489435,0.02955682513862695
2,weekend_ratio,579,0.805848859529839,0.7406294639295057,0.8791912840341756
3,log_total_activity,713,6.860642298054259,5.870422155517254,7.706729074558724
3,post_midnight_share,713,0.1160312536370115,0.0849172568575926,0.1510684649566056
3,direction_balance,713,-0.1264328352609747,-0.2947773497644139,0.0214035215406228
3,weekend_ratio,713,0.7944862080814766,0.7432703026752534,0.8577228073969125
4,log_total_activity,603,6.820740174712834,5.89433559948109,7.617446786337425
4,post_midnight_share,603,0.1129724229170767,0.0858854616798164,0.1451714550255239
4,direction_balance,603,-0.1276211386759959,-0.28893422055267337,0.0480243212261455
4,weekend_ratio,603,0.7909982633881565,0.7322686335649728,0.8493265260376444
5,log_total_activity,483,6.504186626464748,5.677390274811463,7.389926377471636
5,post_midnight_share,483,0.0929568299408856,0.0674826290608295,0.12325686170180375
5,direction_balance,483,-0.1480819147930429,-0.30620927586489766,0.018437201593590698
5,weekend_ratio,483,0.7723638525568208,0.7070145171599591,0.8295516712837723
6,log_total_activity,386,6.332653395299699,5.502241399149759,7.171147180861773
6,post_midnight_share,386,0.0848458672097595,0.05866761301487178,0.12002230903309209
6,direction_balance,386,-0.13468155268171356,-0.2951315713396017,0.029136238089125847
6,weekend_ratio,386,0.7757241996423958,0.7156710161465163,0.845575536017803
7,log_total_activity,347,6.261381850045204,5.282129676489609,7.135704729795286
7,post_midnight_share,347,0.0783199439845521,0.05887557502374805,0.1050049089444701
7,direction_balance,347,-0.1075502891523026,-0.2966934891754736,0.0720040343363427
7,weekend_ratio,347,0.7700516558420508,0.6922115532547761,0.830657863657841
8,log_total_activity,316,6.064059118475339,5.220774391788081,7.066443685151839
8,post_midnight_share,316,0.07656985845447685,0.05047027662734365,0.10768681835172304
8,direction_balance,316,-0.09164936551477154,-0.28327092353420946,0.10465594449534196
8,weekend_ratio,316,0.7564715963851456,0.6806741504552359,0.8407957591807202
9,log_total_activity,271,5.8876501966315935,5.079412879462048,6.612950783661754
9,post_midnight_share,271,0.0645386142561006,0.0415193150221215,0.1003385713817147
9,direction_balance,271,-0.1299549181779127,-0.27768849204425305,0.09728233446208334
9,weekend_ratio,271,0.7487324046820477,0.6760157285695172,0.8336023820136922
10,log_total_activity,236,5.006125041676056,4.111258416223154,5.859079376514862
10,post_midnight_share,236,0.0517847991870804,0.024599947883169902,0.08165882438331486
10,direction_balance,236,-0.14747043268862794,-0.3308905837674189,0.056180029123194745
10,weekend_ratio,236,0.7131337838370024,0.6174133125782979,0.8052939617812298
