covariance,K,BIC
spherical,2,-199997.9413110208
spherical,3,-203601.4945726473
spherical,4,-206039.44226544435
spherical,5,-207478.57794282702
spherical,6,-208696.79179099543
spherical,7,-209637.01609898862
spherical,8,-210428.94847013138
spherical,9,-210321.62094766158
spherical,10,-211206.9807769614
spherical,11,-211623.46400020338
spherical,12,-212028.40133847622
diag,2,-208369.35496222068
diag,3,-215136.25691047907
diag,4,-217552.69832286402
diag,5,-218527.48306411435
diag,6,-218702.90011940396
diag,7,-218661.33751001031
diag,8,-219038.56799217607
diag,9,-219056.19991307013
diag,10,-218840.44500171245
diag,11,-218637.17837880325
diag,12,-218298.3324052169
tied,2,-232443.72486037176
tied,3,-232167.92110805074
tied,4,-232074.75491139575
tied,5,-231787.4610820948
tied,6,-231454.49244102748
tied,7,-231279.6706300859
tied,8,-231025.38180766307
tied,9,-230653.38716370257
tied,10,-230460.90091473714
tied,11,-229962.86765995744
tied,12,-229569.84529971197
full,2,-213870.36702882318
full,3,-193512.47883345094
full,4,-172233.38694455268
full,5,-151019.27200341458
full,6,-129369.35812684472
full,7,-107605.81121731375
full,8,-85707.23314894739
full,9,-64000.32022668538
full,10,-42110.80963865816
full,11,-20124.205966445443
full,12,1556.9506677881582
