covariance,K,BIC
spherical,2,-408913.28606981866
spherical,3,-419863.8153688439
spherical,4,-428045.89397234103
spherical,5,-434781.1213123932
spherical,6,-437941.16944942187
spherical,7,-441071.5048664293
spherical,8,-443205.98389261245
spherical,9,-445468.37539417745
spherical,10,-447573.6452656208
spherical,11,-449272.8477875633
spherical,12,-450485.38617460703
diag,2,-472242.8318984505
diag,3,-489659.15558546
diag,4,-497034.32193145994
diag,5,-502201.70137182943
diag,6,-506763.8059378963
diag,7,-508817.0514051393
diag,8,-511296.7481166869
diag,9,-512892.16796091263
diag,10,-514212.77897084114
diag,11,-515204.5885330312
diag,12,-516139.3016319831
tied,2,-493688.06628915283
tied,3,-496451.8825256244
tied,4,-514262.7667391823
tied,5,-514539.1888103666
tied,6,-515758.20378568745
tied,7,-516659.91059582046
tied,8,-517257.18974755384
tied,9,-518545.47007753554
tied,10,-501911.4519042733
tied,11,-519619.179832416
tied,12,-531656.1739103531
full,2,-536952.7591918769
full,3,-549577.1020457777
full,4,-554094.5672781098
full,5,-557053.4014009917
full,6,-557610.2894451391
full,7,-557991.0578584501
full,8,-558750.9608837939
full,9,-557542.5604545958
full,10,-556599.794907054
full,11,-555053.2594052762
full,12,-553629.5614871398
