covariance,K,BIC
spherical,2,-126558.43676088903
spherical,3,-129807.24206783422
spherical,4,-131871.1852487431
spherical,5,-132826.22234164426
spherical,6,-133526.92060860028
spherical,7,-134212.75654178226
spherical,8,-134691.37700942304
spherical,9,-134984.42948808896
spherical,10,-135218.94653371503
spherical,11,-135559.78346734843
spherical,12,-135884.39640360768
diag,2,-140648.01334662872
diag,3,-142333.3700681073
diag,4,-143316.1365313165
diag,5,-143680.8662183216
diag,6,-143671.90016949445
diag,7,-143434.36733185052
diag,8,-143443.39431843057
diag,9,-143060.0314824295
diag,10,-142908.22874436644
diag,11,-142631.99153859663
diag,12,-142262.25969283763
tied,2,-152640.75735132612
tied,3,-152359.71976122024
tied,4,-152347.09260570077
tied,5,-152158.75710283808
tied,6,-151936.86725660568
tied,7,-151946.22195031808
tied,8,-151655.5305658242
tied,9,-151507.72680828374
tied,10,-151251.1220545963
tied,11,-150925.63410930726
tied,12,-150754.65196100864
full,2,-145115.61301852105
full,3,-137082.24661438828
full,4,-128367.15265983062
full,5,-119568.66476761433
full,6,-110654.59651999321
full,7,-101762.0931083693
full,8,-92704.92456783523
full,9,-83720.12670340201
full,10,-74718.06556195804
full,11,-65746.72943759547
full,12,-56817.21788829107
