covariance,K,BIC
spherical,2,-184351.58101360133
spherical,3,-189374.27744869734
spherical,4,-192252.11954449592
spherical,5,-194195.841268257
spherical,6,-195264.54935054743
spherical,7,-196682.34548477115
spherical,8,-197537.99905173306
spherical,9,-198350.18109267752
spherical,10,-198920.97545122076
spherical,11,-199472.64587706275
spherical,12,-199566.1165851323
diag,2,-195515.61456572812
diag,3,-204960.8203190517
diag,4,-207413.90942862348
diag,5,-208408.41475876496
diag,6,-208945.2153338887
diag,7,-209437.71313082354
diag,8,-209541.84548975105
diag,9,-209405.60693332093
diag,10,-208944.36264819908
diag,11,-209046.58789226282
diag,12,-209181.98410950464
tied,2,-226666.31866107462
tied,3,-226236.80140879558
tied,4,-226010.9322230596
tied,5,-225940.41708707207
tied,6,-225623.88326263678
tied,7,-225411.4801418602
tied,8,-225227.9296359847
tied,9,-224641.24466423038
tied,10,-224401.93797231608
tied,11,-224197.39646697382
tied,12,-224006.45368425024
full,2,-209156.13719533177
full,3,-188919.0828263148
full,4,-167952.145637849
full,5,-146709.5421867617
full,6,-125381.15784899102
full,7,-103832.8234012886
full,8,-82196.76622881327
full,9,-60344.84800537108
full,10,-38822.5317307708
full,11,-16967.503625128244
full,12,4458.312864858715
