covariance,K,BIC
spherical,2,-372372.2146285511
spherical,3,-385323.1878493622
spherical,4,-394811.19725512597
spherical,5,-399280.91487981763
spherical,6,-403871.2012513845
spherical,7,-406847.3416177402
spherical,8,-409327.4435153251
spherical,9,-411500.5663320585
spherical,10,-413299.6963677053
spherical,11,-414953.9855407237
spherical,12,-416101.38841351465
diag,2,-452564.4389400414
diag,3,-469980.4656833394
diag,4,-477261.2672118505
diag,5,-482491.1302036984
diag,6,-486195.25801365904
diag,7,-489613.4949359875
diag,8,-491722.6282279483
diag,9,-493440.9071047922
diag,10,-494473.286874096
diag,11,-495495.5698029687
diag,12,-496372.32760441396
tied,2,-474005.5310226386
tied,3,-476820.3650392044
tied,4,-477088.9975885882
tied,5,-478280.8181780651
tied,6,-478334.32085296465
tied,7,-480369.46071667766
tied,8,-480678.87678994663
tied,9,-499885.6427348008
tied,10,-500803.1836960546
tied,11,-501762.1525410245
tied,12,-502592.04637125676
full,2,-509524.27940545976
full,3,-534387.4955465226
full,4,-539652.5569613088
full,5,-542443.8352109503
full,6,-542010.1011681785
full,7,-541957.2477668771
full,8,-541780.2217663835
full,9,-541058.045165912
full,10,-540152.7724837827
full,11,-538768.5494680662
full,12,-537484.9111799377
