covariance,K,BIC
spherical,2,-436632.03241884144
spherical,3,-444955.98479996785
spherical,4,-449477.506622729
spherical,5,-452645.49382138404
spherical,6,-455298.7548939342
spherical,7,-457883.7088183582
spherical,8,-459569.7580888821
spherical,9,-461027.4195699947
spherical,10,-462298.71827770007
spherical,11,-463414.4178717189
spherical,12,-464185.928884272
diag,2,-490999.4385409219
diag,3,-499699.6200649299
diag,4,-512016.05427931465
diag,5,-518107.71999538416
diag,6,-522535.70743342565
diag,7,-524855.133717719
diag,8,-526646.9462830625
diag,9,-527916.5211241444
diag,10,-529560.6635505793
diag,11,-530626.8531918539
diag,12,-532036.7684802803
tied,2,-492926.6668435633
tied,3,-494834.6380373195
tied,4,-496476.86309063237
tied,5,-514007.2606338412
tied,6,-515089.8234959862
tied,7,-515380.8427979216
tied,8,-516817.5525070358
tied,9,-529597.6187668599
tied,10,-517606.1791101798
tied,11,-517972.2629790802
tied,12,-518182.49657234823
full,2,-531385.5399878955
full,3,-551141.638043918
full,4,-560432.8498785932
full,5,-564079.1105357844
full,6,-565587.4272367276
full,7,-566094.9728081358
full,8,-566199.6952542566
full,9,-565716.014036436
full,10,-564134.0431418053
full,11,-562543.9710043166
full,12,-560935.8010569474
