covariance,K,BIC
spherical,2,-443763.88028490066
spherical,3,-452496.51906379196
spherical,4,-457178.89378483687
spherical,5,-460310.70278530766
spherical,6,-463117.48233938037
spherical,7,-465946.7199234277
spherical,8,-467799.52757231944
spherical,9,-469155.4639605666
spherical,10,-470511.686854896
spherical,11,-471635.7499219887
spherical,12,-472506.5207271411
diag,2,-584249.7757998945
diag,3,-591979.2428522323
diag,4,-602791.5713996149
diag,5,-606700.5706255869
diag,6,-612607.8314563044
diag,7,-614347.8555434728
diag,8,-615577.361897166
diag,9,-616735.5545428344
diag,10,-618094.9684715861
diag,11,-618852.9017859858
diag,12,-619502.872718569
tied,2,-572260.2227310027
tied,3,-574078.6079885373
tied,4,-575627.813976976
tied,5,-575595.3049119867
tied,6,-578793.2003358717
tied,7,-578573.738559722
tied,8,-579487.9134462726
tied,9,-579764.1088059181
tied,10,-580255.7967889372
tied,11,-580772.1012148273
tied,12,-581247.4359765876
full,2,-597947.7394874676
full,3,-610795.1814711781
full,4,-612788.9390829148
full,5,-612702.3061037173
full,6,-615500.2873599342
full,7,-614728.9294253115
full,8,-613298.6612208945
full,9,-611729.3326454475
full,10,-610062.5124297
full,11,-607997.8242403597
full,12,-606903.5222947159
