dataset,w,covariance,K,silhouette,calinski_harabasz,davies_bouldin,overnight_separation,top_overnight_share,top_overnight_cluster_size,smallest,is_bic_best_K
rail_weekday,1.0,tied,2,0.4900929051862319,72.88737482393779,1.0470521138487554,0.004614083079433733,0.04049231812921394,253,17,True
rail_weekday,1.0,tied,3,0.28278191918395973,46.41970965492068,1.2372293932333656,0.008777997551993271,0.0466409128777945,3,3,False
rail_weekday,1.0,tied,4,0.1270830994286164,41.946360431410234,1.7911578721048076,0.006734530440589714,0.04882560278506609,2,2,False
rail_weekday,1.0,tied,5,0.14444169290028733,49.943276587530114,1.4089189440576722,0.007954008580800077,0.04684502644620271,5,5,False
rail_weekday,1.0,tied,6,0.13048723867897621,30.035440816937623,1.7258370690030767,0.009302085214705626,0.05273598422303679,6,6,False
rail_weekday,1.0,tied,7,0.14746232540925644,48.60274863904184,1.4832007143039747,0.010707069831162264,0.04684502644620271,5,2,False
rail_weekday,1.0,tied,8,0.07992561725982623,41.10475464482238,1.8630750950179154,0.010315201520865644,0.05045413172962434,16,2,False
rail_weekday,1.0,tied,9,0.10560850659314845,42.502259541553535,1.5249838934180038,0.007384878890369828,0.0466409128777945,3,3,False
rail_weekday,1.0,tied,10,0.10038567866776196,42.0802610309983,1.5184584857591636,0.006677669734206822,0.046894036281047255,1,1,False
rail_weekday,1.0,tied,11,0.0850261174856741,43.19803314756567,1.6187463317579052,0.0068511953439384385,0.04744276074035769,12,1,False
rail_weekday,1.0,tied,12,0.09372102839364697,41.8301858508922,1.5280711819240966,0.008171771800414736,0.05660272197630778,1,1,False
rail_weekday,0.5,tied,2,0.5116229546903023,80.92773254667675,1.073802685482882,0.003679663237246905,0.04042838795521753,252,18,True
rail_weekday,0.5,tied,3,0.45463546939839883,50.97467473333125,1.0456153418610123,0.00635177499248915,0.0466409128777945,3,3,False
rail_weekday,0.5,tied,4,0.1356950583174985,48.55504796310021,1.772060024235119,0.003918661129723274,0.04356099321256388,151,6,False
rail_weekday,0.5,tied,5,0.13035406280496414,48.42636099311522,1.5448183338587942,0.00827728351947132,0.04684502644620271,5,5,False
rail_weekday,0.5,tied,6,0.1549943081206028,47.310691883761145,1.6407217403194314,0.006960018113553543,0.04684502644620271,5,5,False
rail_weekday,0.5,tied,7,0.11039802212377152,38.85957835177781,1.762508132217868,0.008207208038033452,0.05660272197630778,1,1,False
rail_weekday,0.5,tied,8,0.0986686579809489,41.58822196882319,1.4585057048714307,0.007855936780745544,0.05048913471423146,8,1,False
rail_weekday,0.5,tied,9,0.10637727597036091,36.88876351436615,1.5260239083822174,0.01024131137169719,0.049554492022802356,7,1,False
rail_weekday,0.5,tied,10,0.10997566590292128,42.984492918047934,1.2873454733504457,0.00845707276695448,0.05660272197630778,1,1,False
rail_weekday,0.5,tied,11,0.09166916659940282,37.779439669831966,1.3051815992845137,0.00862305189026841,0.05660272197630778,1,1,False
rail_weekday,0.5,tied,12,0.09243175791463669,31.131871770377295,1.4758596520358858,0.010289415380834525,0.05254238166352075,8,1,False
rail_weekday,0.3,tied,2,0.554934602430275,92.47211841722276,0.9120067182431666,0.0030605399153430437,0.040321924703571196,255,15,True
rail_weekday,0.3,tied,3,0.4681477631071653,56.36247392353967,1.0128448376464063,0.00635177499248915,0.0466409128777945,3,3,False
rail_weekday,0.3,tied,4,0.13953213113565807,51.822218530088094,1.7227892803570053,0.003903147681570391,0.043739151956070636,151,6,False
rail_weekday,0.3,tied,5,0.17435287121690957,48.60979033481484,1.4877386269888595,0.005627304623018006,0.0466409128777945,3,3,False
rail_weekday,0.3,tied,6,0.12038429783687597,40.46060083189915,1.614198348699813,0.008501531058934472,0.05660272197630778,1,1,False
rail_weekday,0.3,tied,7,0.14540268515764634,44.863488244855446,1.5455904341340394,0.009425595758298691,0.05660272197630778,1,1,False
rail_weekday,0.3,tied,8,0.12121907456697133,38.36211498816071,1.4980225958985383,0.01016549584260767,0.0473526060362186,17,2,False
rail_weekday,0.3,tied,9,0.11946839273873225,41.41835590949276,1.314838345711589,0.009717705558360283,0.046894036281047255,1,1,False
rail_weekday,0.3,tied,10,0.12301117478037416,41.336747829637225,1.2970056975437754,0.009134661180743986,0.05885763264959097,4,1,False
rail_weekday,0.3,tied,11,0.0711177751549124,33.20859951715622,1.5460504696454769,0.007483889895028405,0.051485317510389664,9,1,False
rail_weekday,0.3,tied,12,0.09049838824167354,36.02311078608972,1.5090730115297275,0.008522824838561278,0.05660272197630778,1,1,False
