covariance,K,BIC
spherical,2,-120053.06027058056
spherical,3,-123423.69666712574
spherical,4,-125527.20410792054
spherical,5,-126756.48357760048
spherical,6,-127582.74006914289
spherical,7,-128088.07507475044
spherical,8,-128511.55769715646
spherical,9,-128802.07931318434
spherical,10,-129165.41373693426
spherical,11,-129449.73149312603
spherical,12,-129797.61910890046
diag,2,-124875.03911780921
diag,3,-127366.12987444016
diag,4,-128981.58972895048
diag,5,-129789.27651715554
diag,6,-130064.64941585164
diag,7,-130351.16956802832
diag,8,-130366.17985608308
diag,9,-130252.80732378335
diag,10,-129912.28812268138
diag,11,-129985.50027491566
diag,12,-129800.20907134039
tied,2,-146741.64743433875
tied,3,-146629.4590520499
tied,4,-146400.60668261224
tied,5,-146173.21819108393
tied,6,-146153.17469053436
tied,7,-146006.13407985924
tied,8,-145776.30467411742
tied,9,-145732.47900906068
tied,10,-145606.1512326695
tied,11,-145442.51904351465
tied,12,-145229.00653451946
full,2,-140336.69908657114
full,3,-132630.6414744913
full,4,-124257.02544819385
full,5,-115608.06726300204
full,6,-106890.94684709635
full,7,-98132.92776815247
full,8,-89155.9743993427
full,9,-80422.64296897552
full,10,-71591.11308634855
full,11,-62531.83482515332
full,12,-53902.83334144928
