dataset,w,covariance,K,silhouette,calinski_harabasz,davies_bouldin,overnight_separation,top_overnight_share,top_overnight_cluster_size,smallest,is_bic_best_K
rail_weekend,1.0,tied,2,0.394470152653506,103.46584985877068,1.2125647421937658,0.0018846247826975733,0.16661384908541116,40,40,True
rail_weekend,1.0,tied,3,0.19888213847212954,96.2677603677775,1.4952202900260207,0.02461035364415983,0.18813499272255707,111,31,False
rail_weekend,1.0,tied,4,0.14062177231185946,65.70939891553672,1.7179425498993444,0.05815062567184977,0.23897294855069182,102,15,False
rail_weekend,1.0,tied,5,0.11613535086045114,56.79694294407699,1.6035664011365345,0.08668779195529319,0.3300985352465172,5,5,False
rail_weekend,1.0,tied,6,0.13169072596380088,48.99633371157171,1.5870315840538642,0.08816492835597785,0.3419369824506147,4,4,False
rail_weekend,1.0,tied,7,0.1259923683133666,48.166614701557464,1.5020730225859686,0.0491626699536924,0.23753240603090567,97,1,False
rail_weekend,1.0,tied,8,0.12206447691497715,43.90395138563747,1.5012789824655786,0.07930572987826633,0.3419369824506147,4,2,False
rail_weekend,1.0,tied,9,0.09007298139257716,39.179947249687956,1.8506455035036247,0.07468244329076185,0.3419369824506147,4,4,False
rail_weekend,1.0,tied,10,0.07346415790189345,36.753214302027835,1.8256030457525108,0.060753481993760294,0.2450623670328798,13,2,False
rail_weekend,1.0,tied,11,0.07561109298485039,39.017780397621216,1.4217720302227148,0.07034730177570593,0.3300985352465172,5,1,False
rail_weekend,1.0,tied,12,0.1071022074225549,40.58542301806303,1.610823667450651,0.07067891629350215,0.3419369824506147,4,2,False
rail_weekend,0.5,tied,2,0.384050162924505,88.0018365455547,1.315177889429782,0.003895888339275417,0.16905722517410485,39,39,True
rail_weekend,0.5,tied,3,0.1446579803437417,65.85942051826548,1.8436831010746861,0.062420580630600894,0.2358991882082804,102,29,False
rail_weekend,0.5,tied,4,0.20001338496393553,51.680267347511,1.4559006130059702,0.040305931309545566,0.21392069596738875,2,2,False
rail_weekend,0.5,tied,5,0.1527275553115732,52.32626660089316,1.5844953315631574,0.057889515148854785,0.2360418235232843,102,2,False
rail_weekend,0.5,tied,6,0.15739719986193415,48.773476741212065,1.5185858307972377,0.10590326641720191,0.3462629311867074,6,5,False
rail_weekend,0.5,tied,7,0.1577862624607507,43.00609129087272,1.4769956208909563,0.08038651044166548,0.3300985352465172,5,2,False
rail_weekend,0.5,tied,8,0.11732863152891716,38.82650719448006,1.5303397418275644,0.0703664404519958,0.3300985352465172,5,2,False
rail_weekend,0.5,tied,9,0.1474167785623844,39.074572251036926,1.5941093585077322,0.07468553262613434,0.3300985352465172,5,2,False
rail_weekend,0.5,tied,10,0.12905197063501633,35.23507041556134,1.53593855406795,0.07498326233971424,0.3419369824506147,4,2,False
rail_weekend,0.5,tied,11,0.12565494027973684,36.9966558636269,1.5450093511113003,0.0757523827301801,0.3300985352465172,5,2,False
rail_weekend,0.5,tied,12,0.10530023558842891,34.427321504582295,1.7989820974992672,0.07258212658393554,0.3300985352465172,5,1,False
rail_weekend,0.3,tied,2,0.3744826026695078,75.38824423984694,1.394230842039707,0.007762314034579328,0.1738166769228083,37,37,True
rail_weekend,0.3,tied,3,0.1403579343776962,59.45193100157264,1.8623237098273056,0.062435893152813435,0.2349367192848359,104,26,False
rail_weekend,0.3,tied,4,0.20069018986122786,53.33435493623576,1.4544367444178152,0.03599256190120863,0.21392069596738875,2,2,False
rail_weekend,0.3,tied,5,0.149546472732986,49.492594123530985,1.5985689581487763,0.05649528959062999,0.2360418235232843,102,2,False
rail_weekend,0.3,tied,6,0.14873016018568844,45.94926954777493,1.624831036250067,0.058293539615025244,0.23677148437551188,99,2,False
