covariance,K,BIC
spherical,2,-196123.93301003985
spherical,3,-199903.04052762044
spherical,4,-202664.189515691
spherical,5,-204106.23748437798
spherical,6,-205445.70596861275
spherical,7,-206322.58234871246
spherical,8,-207181.03955775456
spherical,9,-207671.87360048923
spherical,10,-207970.04026293012
spherical,11,-208626.53241094615
spherical,12,-208904.86620105358
diag,2,-204079.53589814366
diag,3,-210906.16201251722
diag,4,-213374.14706376416
diag,5,-214051.97562479734
diag,6,-214447.31097695
diag,7,-214929.91790371458
diag,8,-214813.4647779871
diag,9,-215107.09409847885
diag,10,-214946.21437130688
diag,11,-214857.0387176348
diag,12,-214761.49795408396
tied,2,-230593.0835066925
tied,3,-230311.41915777978
tied,4,-230258.65319274645
tied,5,-229945.22938096587
tied,6,-229536.19833041902
tied,7,-229584.53840946584
tied,8,-229089.66429839836
tied,9,-228926.81395371765
tied,10,-228499.06795112693
tied,11,-228074.16588287143
tied,12,-227731.15327873715
full,2,-212494.4518741801
full,3,-191998.4475467907
full,4,-170877.19046419504
full,5,-149528.50419296144
full,6,-128159.84322100828
full,7,-106523.05872405728
full,8,-84665.985690464
full,9,-63119.85460736201
full,10,-41222.52260335788
full,11,-19414.721803837747
full,12,2499.4796876973705
