covariance,K,BIC
spherical,2,-420092.6381800013
spherical,3,-432021.6746087469
spherical,4,-441063.3098845944
spherical,5,-446297.29497950675
spherical,6,-450040.3918023662
spherical,7,-452372.4552468197
spherical,8,-455625.7541419363
spherical,9,-457615.19922174705
spherical,10,-459558.81858845486
spherical,11,-461316.8174087559
spherical,12,-462404.1170983331
diag,2,-486745.7068698089
diag,3,-504101.7673525745
diag,4,-511575.35662297386
diag,5,-516738.4430943841
diag,6,-521266.6820797185
diag,7,-523807.6197692816
diag,8,-525741.3893735951
diag,9,-527429.4934810715
diag,10,-528724.0868217611
diag,11,-529645.6949572845
diag,12,-530311.8590134721
tied,2,-508172.43948874075
tied,3,-508755.6154130504
tied,4,-511201.60883102147
tied,5,-512419.6779968921
tied,6,-528162.1172497337
tied,7,-528752.1908970838
tied,8,-529660.960287741
tied,9,-530545.7798628946
tied,10,-531451.424686343
tied,11,-541903.5432801541
tied,12,-532711.8012393914
full,2,-547749.0419559228
full,3,-561880.2548826227
full,4,-564975.842943217
full,5,-567085.1366415597
full,6,-568700.5679257459
full,7,-569815.4778622972
full,8,-569259.3508373597
full,9,-567971.4212032158
full,10,-566439.7042640856
full,11,-564242.8325675136
full,12,-563908.7244376529
