lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster
E01002317,True,35.466719999999995,retained,3
E01002319,True,564.16452,retained,0
E01002321,True,314.52415,retained,3
E01002322,True,93.30233,retained,3
E01002323,False,22.6425,at_least_one_direction_below_36,-1
E01002325,True,264.4103,retained,3
E01002326,True,715.10294,retained,0
E01002328,True,166.07583,retained,3
E01002329,True,338.45226,retained,3
E01002331,True,36.66614,retained,3
E01002334,False,8.29741,at_least_one_direction_below_36,-1
E01002335,True,112.87755,retained,1
E01002336,True,124.3146,retained,3
E01002337,True,175.61013,retained,1
E01002338,True,121.92815,retained,1
E01002339,False,17.807669999999998,at_least_one_direction_below_36,-1
E01002341,True,83.79852,retained,2
E01002342,True,65.55085,retained,1
E01002344,True,152.01129999999998,retained,3
E01002345,True,1593.47571,retained,3
E01002346,True,44.39288,retained,3
E01002347,False,10.75468,at_least_one_direction_below_36,-1
E01002348,True,60.67977,retained,3
E01002349,True,44.17588,retained,1
E01002350,True,464.05034,retained,0
E01002352,True,134.23648,retained,3
E01002353,True,1714.47599,retained,0
E01002356,True,8375.5924,retained,0
E01002358,True,131.51244,retained,3
E01002360,True,99.58988,retained,3
E01002361,True,2126.57412,retained,0
E01002362,True,155.7609,retained,3
E01002363,True,57.45188,retained,4
E01002364,False,28.3131,at_least_one_direction_below_36,-1
E01002365,True,152.91501,retained,1
E01002366,True,105.53423,retained,1
E01002367,True,77.25663,retained,3
E01002368,True,960.79963,retained,4
E01002369,False,4.24499,at_least_one_direction_below_36,-1
E01002370,True,628.9432400000001,retained,3
E01002371,True,193.67593,retained,1
E01002372,True,123.40981,retained,1
E01002373,True,121.19348,retained,1
E01002374,True,140.19595,retained,1
E01002375,True,140.87632,retained,2
E01002377,True,165.02179999999998,retained,3
E01002379,True,739.18056,retained,0
E01002380,True,80.36041999999999,retained,3
E01002381,False,6.91095,at_least_one_direction_below_36,-1
E01002382,True,40.78164,retained,3
E01002383,False,28.25195,at_least_one_direction_below_36,-1
E01002384,True,68.65285,retained,3
E01002385,True,40.1425,retained,3
E01002386,True,1068.22097,retained,3
E01002388,False,26.33368,at_least_one_direction_below_36,-1
E01002390,False,23.78909,at_least_one_direction_below_36,-1
E01002391,False,12.75773,at_least_one_direction_below_36,-1
E01002392,False,25.06186,at_least_one_direction_below_36,-1
E01002393,True,835.3986,retained,0
E01002396,True,5028.59541,retained,0
E01002400,True,357.67806,retained,0
E01002401,True,781.54961,retained,0
E01002402,True,101.7691,retained,3
E01002403,True,132.50486999999998,retained,3
E01002404,True,140.49645999999998,retained,3
E01002405,True,375.53469,retained,1
E01002408,True,127.38657,retained,1
E01002409,True,108.20063,retained,1
E01002410,True,972.84134,retained,0
