cluster,poi_count_count,poi_count_mean,poi_count_median,poi_count_std,poi_density_km2_count,poi_density_km2_mean,poi_density_km2_median,poi_density_km2_std,shannon_group_count,shannon_group_mean,shannon_group_median,shannon_group_std,shannon_category_count,shannon_category_mean,shannon_category_median,shannon_category_std,poi_count_no_transport_count,poi_count_no_transport_mean,poi_count_no_transport_median,poi_count_no_transport_std,shannon_group_no_transport_count,shannon_group_no_transport_mean,shannon_group_no_transport_median,shannon_group_no_transport_std
0,604,48.74006622516556,36.0,46.7747538316933,604,182.605388208628,124.220170489506,220.232664969346,604,1.6474716096168023,1.679208243681743,0.20826609017654082,604,2.3679881455799436,2.4177710866044735,0.40189245876369767,604,41.36754966887417,30.0,43.61516472116374,604,1.4687240689890209,1.515426047907147,0.2514695074553498
1,1134,134.92239858906527,84.0,258.7289100027392,1134,626.7171506420348,423.6739263347281,658.9450753353751,1134,1.7679528109650242,1.7840370045699552,0.1538353382341547,1134,2.6698340595548316,2.7134230749769235,0.3118406523901864,1134,124.72927689594356,74.0,251.34035023758636,1134,1.6273721501134497,1.6520701366628878,0.17123183654056806
2,1069,61.28063610851263,45.0,60.693355006269705,1069,310.174476714799,193.37311751304438,502.26562051985337,1069,1.71051878261694,1.731916999425649,0.1894610822624879,1069,2.5106369752540454,2.562279811295472,0.3683452210420515,1069,54.257249766136574,38.0,58.408722736249494,1069,1.5534740448199378,1.58794558847432,0.22015301742452476
3,576,55.979166666666664,40.0,51.88736547226283,576,231.42065853959105,162.07773178668378,221.8208229770644,576,1.6916303176196352,1.7332678289326955,0.20300210166907673,576,2.428934597341762,2.4845996427602817,0.4024169563049568,576,48.576388888888886,33.5,46.76064192085307,576,1.5174629757278963,1.568940367707969,0.2434864756143364
