lsoa,age_0_19_share,age_20_34_share,age_35_64_share,age_65plus_share
E01000001,0.09449354180829368,0.2590074779061863,0.39496940856560164,0.2515295717199184
E01000002,0.07942238267148015,0.2888086642599278,0.43176895306859203,0.2
E01000003,0.07759155803848541,0.2787088764742396,0.46679081315952825,0.17690875232774675
E01000005,0.1996370235934664,0.3030852994555354,0.40199637023593465,0.09528130671506352
E01000006,0.27696476964769645,0.23252032520325203,0.40487804878048783,0.08563685636856369
E01000007,0.2962835512732278,0.29697178251892636,0.38196834136269786,0.02477632484514797
E01000008,0.3818283166109253,0.20345596432552954,0.37848383500557414,0.036231884057971016
E01000009,0.259567387687188,0.24237382140876318,0.408763172490294,0.08929561841375486
E01000011,0.2863849765258216,0.23943661971830985,0.3967136150234742,0.07746478873239436
E01000012,0.3756388415672913,0.2218909710391823,0.36328790459965926,0.039182282793867124
E01000013,0.30288461538461536,0.21207264957264957,0.3942307692307692,0.09081196581196581
E01000014,0.29828571428571427,0.21085714285714285,0.39885714285714285,0.092
E01000015,0.33209417596034696,0.21561338289962825,0.38413878562577447,0.06815365551425032
E01000016,0.3029157667386609,0.21274298056155508,0.3957883369330454,0.08855291576673865
E01000017,0.2923433874709977,0.20127610208816704,0.410092807424594,0.0962877030162413
E01000018,0.2910321489001692,0.20755781161872533,0.419063733784546,0.0823463056965595
E01000019,0.3411693791440627,0.18505123568414708,0.39300783604581074,0.0807715491259795
E01000020,0.32253649635036497,0.19708029197080293,0.3781934306569343,0.10218978102189781
E01000021,0.3242924528301887,0.21816037735849056,0.3761792452830189,0.08136792452830188
E01000022,0.3144016227180527,0.1940500338066261,0.39553752535496955,0.09601081812035159
E01000024,0.3140161725067385,0.21024258760107817,0.3921832884097035,0.08355795148247978
E01000025,0.3007284079084287,0.19042663891779396,0.40634755463059313,0.10249739854318418
E01000027,0.34774255523535064,0.20941402497598463,0.35446685878962536,0.08837656099903939
E01000028,0.33626857457347276,0.18657127132636214,0.3687396807925151,0.10842047330764998
E01000029,0.25824175824175827,0.17967032967032967,0.3587912087912088,0.2032967032967033
E01000030,0.38485558157689304,0.1916471506635441,0.3559718969555035,0.06752537080405933
E01000031,0.26131221719457015,0.2171945701357466,0.37839366515837103,0.1430995475113122
E01000032,0.28234728234728235,0.2106782106782107,0.3838383838383838,0.12313612313612314
E01000033,0.3249190938511327,0.1889967637540453,0.37993527508090613,0.10614886731391586
E01000034,0.25095298602287164,0.2013977128335451,0.3786531130876747,0.16899618805590852
E01000035,0.2770306616460463,0.20279720279720279,0.38676707907477137,0.13340505648197956
E01000036,0.2684745762711864,0.22508474576271187,0.39389830508474577,0.11254237288135593
E01000037,0.2143698468786808,0.24028268551236748,0.4004711425206125,0.14487632508833923
E01000038,0.2469059405940594,0.2073019801980198,0.3910891089108911,0.1547029702970297
E01000039,0.26982316029663433,0.2104962920707359,0.38334284084426695,0.1363377067883628
E01000040,0.32800851970181044,0.18636847710330137,0.3908413205537806,0.09478168264110756
E01000041,0.30727470141150925,0.20195439739413681,0.3979370249728556,0.09283387622149837
E01000042,0.34484590860786396,0.20297555791710944,0.3884165781083953,0.06376195536663125
E01000043,0.2696556205328135,0.24301494476933072,0.3788174139051332,0.10851202079272254
E01000044,0.29678068410462777,0.23189134808853118,0.4119718309859155,0.059356136820925554
E01000045,0.3093441671503192,0.20951828206616366,0.3911781775972142,0.08995937318630295
E01000046,0.31205311542390196,0.2139938712972421,0.390194075587334,0.08375893769152196
E01000049,0.40314401622718055,0.17697768762677485,0.37829614604462475,0.04158215010141988
E01000050,0.30618892508143325,0.22258414766558088,0.38490770901194354,0.08631921824104234
E01000051,0.3297199638663053,0.3170731707317073,0.3297199638663053,0.023486901535682024
E01000052,0.328830730265935,0.19164204305614183,0.39679189531447867,0.08273533136344449
E01000053,0.2874768661320173,0.19740900678593462,0.39358420727945714,0.121529919802591
E01000054,0.32335649385355425,0.18760021378941744,0.3805451630144308,0.10849812934259755
E01000055,0.31671554252199413,0.1912023460410557,0.3935483870967742,0.09853372434017596
E01000056,0.2980599647266314,0.2087007642563198,0.3838918283362728,0.10934744268077601
E01000057,0.3143963847643641,0.19431891542930924,0.3899289864428664,0.1013557133634603
E01000058,0.32007487131492746,0.19934487599438466,0.40851661207299955,0.07206364061768834
E01000059,0.291398478642481,0.19777647747220597,0.3779988297249854,0.13282621416032767
E01000060,0.33715596330275227,0.1926605504587156,0.3756880733944954,0.0944954128440367
E01000061,0.3433766233766234,0.2535064935064935,0.34493506493506493,0.05818181818181818
E01000062,0.29337539432176657,0.2181162685894547,0.3758449752140604,0.11266336187471834
E01000063,0.3110236220472441,0.18166479190101237,0.41226096737907764,0.09505061867266591
E01000064,0.29416884247171454,0.20583115752828546,0.39208006962576153,0.10791993037423847
E01000065,0.27547931382441976,0.17255297679112008,0.4182643794147326,0.13370332996972756
E01000066,0.3157262905162065,0.23569427771108442,0.3445378151260504,0.10404161664665866
E01000067,0.30635062611806796,0.22182468694096602,0.3667262969588551,0.1050983899821109
E01000068,0.2463768115942029,0.2329988851727982,0.4136008918617614,0.10702341137123746
E01000069,0.26717557251908397,0.2748091603053435,0.3640267175572519,0.09398854961832061
E01000070,0.27303424987940184,0.2170767004341534,0.39025566811384466,0.1196333815726001
E01000071,0.291970802919708,0.2197464464079908,0.3907030349596619,0.09757971571263926
E01000072,0.3263500931098696,0.2122905027932961,0.37942271880819367,0.08193668528864059
E01000073,0.314192849404117,0.19014084507042253,0.3905742145178765,0.10509209100758396
E01000074,0.3268902785673678,0.198408186469585,0.3848777714610574,0.08982376350198977
E01000075,0.30739673390970224,0.20941402497598463,0.3760806916426513,0.10710854947166186
E01000076,0.3037037037037037,0.1925925925925926,0.41712962962962963,0.08657407407407407
E01000077,0.29500580720092917,0.1986062717770035,0.4186991869918699,0.08768873403019745
E01000078,0.32981530343007914,0.1941952506596306,0.39947229551451185,0.07651715039577836
E01000079,0.30250145433391507,0.18440954043048283,0.40081442699243747,0.11227457824316463
E01000080,0.29375351716375914,0.2144063027574564,0.42431063590320767,0.06752954417557681
E01000081,0.29817444219066935,0.20588235294117646,0.41227180527383367,0.08367139959432049
E01000082,0.3001043841336117,0.17066805845511482,0.4394572025052192,0.08977035490605428
E01000083,0.3371547681083898,0.1709223553934341,0.4038561750911933,0.0880667014069828
E01000084,0.3,0.18333333333333332,0.41388888888888886,0.10277777777777777
E01000085,0.3031591737545565,0.20899149453219928,0.3827460510328068,0.10510328068043742
E01000086,0.30896551724137933,0.19517241379310346,0.3889655172413793,0.10689655172413794
E01000087,0.3160146699266504,0.21821515892420537,0.3808068459657702,0.08496332518337409
E01000088,0.32151898734177214,0.18430379746835443,0.37670886075949367,0.11746835443037974
E01000089,0.3515881708652793,0.17634173055859803,0.3888280394304491,0.0832420591456736
E01000090,0.3366568914956012,0.18826979472140762,0.3882697947214076,0.08680351906158358
E01000091,0.35772357723577236,0.1989478718316595,0.38067910090865614,0.062649450023912
E01000093,0.32964601769911506,0.20962389380530974,0.3954646017699115,0.06526548672566372
E01000094,0.3644859813084112,0.23770824867939863,0.3746444534741975,0.023161316537992686
E01000095,0.3675555555555556,0.23777777777777778,0.336,0.058666666666666666
E01000096,0.4069837447320891,0.18844069837447322,0.3521974714027694,0.052378085490668275
E01000097,0.30645994832041346,0.19431524547803616,0.3881136950904393,0.1111111111111111
E01000098,0.3333333333333333,0.17881136950904392,0.4015503875968992,0.08630490956072351
E01000099,0.32217422606191504,0.21814254859611232,0.4006479481641469,0.05903527717782577
E01000100,0.3242408646423057,0.19814719505918682,0.3942357179619146,0.08337622233659289
E01000101,0.2912507339988256,0.20199647680563712,0.4022313564298297,0.10452143276570758
E01000102,0.32697700504767246,0.17947279865395402,0.3976444195176669,0.09590577678070668
E01000103,0.32040472175379425,0.2237211916807195,0.3766160764474424,0.07925801011804384
E01000104,0.3310740354535975,0.21480709071949947,0.37747653806047965,0.07664233576642336
E01000105,0.2945205479452055,0.1973458904109589,0.4105308219178082,0.0976027397260274
E01000106,0.329859537834164,0.2152242863615768,0.3602174898051654,0.0946986859990938
E01000107,0.2872340425531915,0.1864501679731243,0.37122060470324747,0.15509518477043674
E01000108,0.2998955067920585,0.22727272727272727,0.3672936259143156,0.10553814002089865
E01000110,0.26764144945963125,0.21487603305785125,0.40559440559440557,0.11188811188811189
E01000111,0.30616025937934227,0.22139879573876795,0.35988883742473365,0.11255210745715609
E01000112,0.2767359351241764,0.2513938165230613,0.38570704510897114,0.08616320324379118
E01000113,0.2987468671679198,0.22706766917293233,0.38596491228070173,0.08822055137844612
E01000114,0.35357290375877737,0.18380834365964477,0.38166047087980176,0.08095828170177613
E01000115,0.20531227566403445,0.14285714285714285,0.4271356783919598,0.22469490308686288
E01000116,0.2700228832951945,0.12757437070938216,0.42219679633867274,0.18020594965675057
E01000117,0.2296595499134449,0.15118291979226775,0.41142527409117136,0.20773225620311597
E01000118,0.24341463414634146,0.16146341463414635,0.4351219512195122,0.16
E01000119,0.226488592097941,0.14969393433500278,0.43350027824151366,0.19031719532554256
E01000120,0.23128342245989306,0.14906417112299467,0.41911764705882354,0.20053475935828877
E01000121,0.23410013531799728,0.21718538565629228,0.4248985115020298,0.12381596752368065
E01000122,0.2582781456953642,0.1304635761589404,0.4377483443708609,0.17350993377483442
E01000123,0.22020431328036322,0.19012485811577753,0.45743473325766176,0.1322360953461975
E01000124,0.25308310991957106,0.20214477211796247,0.4353887399463807,0.10938337801608579
E01000126,0.2605633802816901,0.24779929577464788,0.426056338028169,0.06558098591549295
E01000127,0.27570694087403597,0.18508997429305912,0.43316195372750643,0.10604113110539845
E01000128,0.2764505119453925,0.2023403217942467,0.41540711847879086,0.10580204778156997
E01000129,0.2640449438202247,0.21473158551810237,0.4044943820224719,0.11672908863920099
E01000130,0.25761486835312336,0.2116675271037687,0.4290139390810532,0.10170366546205473
E01000131,0.23677706376668314,0.25902125556104794,0.375185368264953,0.12901631240731587
E01000132,0.3055555555555556,0.21481481481481482,0.40925925925925927,0.07037037037037037
E01000133,0.2772036474164134,0.19270516717325228,0.425531914893617,0.10455927051671733
E01000134,0.2772602739726027,0.2536986301369863,0.3698630136986301,0.09917808219178083
E01000135,0.22,0.19470588235294117,0.38823529411764707,0.19705882352941176
E01000136,0.24949562878278414,0.1324815063887021,0.40282447881640887,0.21519838601210492
E01000137,0.2939046469523235,0.2124321062160531,0.3856366928183464,0.108026554013277
E01000138,0.21706864564007422,0.20902906617192332,0.43413729128014844,0.13976499690785404
E01000139,0.20806335493160547,0.22390208783297336,0.40460763138948885,0.16342692584593232
E01000140,0.20326864147088866,0.28345250255362614,0.41164453524004085,0.10163432073544433
E01000141,0.19731903485254693,0.27238605898123325,0.43753351206434316,0.09276139410187667
E01000142,0.22942754919499106,0.21914132379248658,0.4217352415026834,0.129695885509839
E01000143,0.27065868263473053,0.2748502994011976,0.3658682634730539,0.08862275449101796
E01000144,0.2185430463576159,0.2576760987357014,0.4063816977724263,0.11739915713425647
E01000145,0.3202979515828678,0.196772191185599,0.3271260086902545,0.1558038485412787
E01000146,0.1827899518973811,0.290753607696419,0.4083377872795297,0.11811865312667023
E01000147,0.20491374803972817,0.25039205436487194,0.3962362780972295,0.14845791949817042
E01000150,0.25233229675699687,0.21590404264771212,0.3940470901821413,0.13771657041314972
E01000151,0.3769633507853403,0.19546247818499127,0.37056428155904597,0.05700988947062245
E01000152,0.30631970260223046,0.24386617100371746,0.39888475836431225,0.050929368029739776
E01000153,0.2888198757763975,0.19513457556935818,0.4078674948240166,0.10817805383022774
E01000154,0.2433420365535248,0.27780678851174934,0.3926892950391645,0.08616187989556136
E01000156,0.2893050763923115,0.15722030556924593,0.4460325283390833,0.1074420896993593
E01000157,0.26325757575757575,0.15214646464646464,0.46654040404040403,0.11805555555555555
E01000158,0.24591280653950953,0.1818801089918256,0.43392370572207084,0.138283378746594
E01000159,0.22633053221288515,0.17030812324929973,0.43529411764705883,0.16806722689075632
E01000160,0.24219150025601638,0.2048131080389145,0.4500768049155146,0.10291858678955453
E01000161,0.2501228501228501,0.16805896805896806,0.43095823095823094,0.15085995085995085
E01000162,0.2206060606060606,0.17454545454545456,0.3787878787878788,0.22606060606060607
E01000163,0.25370480142264373,0.2151748666271488,0.44872554831061057,0.08239478363959692
E01000164,0.2675233644859813,0.2003504672897196,0.42406542056074764,0.1080607476635514
E01000165,0.2425414364640884,0.16519337016574587,0.430939226519337,0.16132596685082873
E01000166,0.23362175525339926,0.16378244746600742,0.40914709517923364,0.1934487021013597
E01000167,0.2505399568034557,0.17926565874730022,0.4478041756659467,0.12239020878329733
E01000168,0.20409511228533686,0.1406869220607662,0.41017173051519157,0.2450462351387054
E01000169,0.2294478527607362,0.19693251533742331,0.41595092024539876,0.15766871165644172
E01000170,0.2815941269008915,0.1851074986890404,0.4153120083901416,0.11798636601992658
E01000171,0.28403141361256545,0.22949389179755672,0.41579406631762655,0.07068062827225131
E01000172,0.25680473372781065,0.18698224852071005,0.38284023668639056,0.17337278106508874
E01000173,0.280307510348906,0.1419278533412182,0.42992312241277353,0.14784151389710232
E01000174,0.25368898978433596,0.1935300794551646,0.41430192962542567,0.13847900113507378
E01000175,0.28508124076809455,0.18463810930576072,0.38847858197932056,0.14180206794682423
E01000176,0.2067363530778165,0.21660859465737514,0.3693379790940767,0.2073170731707317
E01000177,0.26217678893565843,0.18220084185207455,0.4149128081779916,0.1407095610342754
E01000178,0.2665869695158398,0.16019127316198445,0.4237895995218171,0.14943215780035865
E01000179,0.24064768285873814,0.2138470128419877,0.4617532104969291,0.08375209380234507
E01000180,0.23000619962802232,0.21698698078115314,0.38189708617482954,0.17110973341599503
E01000181,0.1986989946777055,0.2318154937906564,0.4180958013010053,0.15138971023063277
E01000182,0.20037105751391465,0.19913419913419914,0.43846629560915273,0.16202844774273345
E01000183,0.24226464779460172,0.14746543778801843,0.39038841342988806,0.21988150098749176
E01000184,0.24973375931842384,0.26624068157614483,0.3887113951011715,0.09531416400425985
E01000185,0.22048846675712347,0.2435549525101764,0.4077340569877883,0.1282225237449118
E01000186,0.3112994350282486,0.16666666666666666,0.34124293785310733,0.1807909604519774
E01000187,0.3204833141542002,0.1524741081703107,0.3383199079401611,0.18872266973532797
E01000188,0.2915082382762991,0.12610899873257286,0.36628643852978454,0.21609632446134347
E01000189,0.2736842105263158,0.26275303643724696,0.4097165991902834,0.05384615384615385
E01000190,0.2759815242494226,0.1564665127020785,0.37644341801385683,0.19110854503464203
E01000191,0.2750161394448031,0.1407359586830213,0.34667527437056167,0.23757262750161395
E01000192,0.26028084252758277,0.18956870611835505,0.36810431293881646,0.18204613841524575
E01000193,0.22974358974358974,0.2364102564102564,0.378974358974359,0.15487179487179487
E01000194,0.28136482939632546,0.215748031496063,0.3800524934383202,0.12283464566929134
E01000195,0.29732408325074333,0.21853320118929634,0.38453914767096137,0.099603567888999
E01000196,0.1596045197740113,0.2547080979284369,0.4373822975517891,0.1483050847457627
E01000197,0.2182603997839006,0.2290653700702323,0.4235548352242031,0.12911939492166397
E01000198,0.3073415412676699,0.1801185590515276,0.36206110351117193,0.15047879616963064
E01000199,0.2286257124762508,0.13679544015199493,0.3660544648511716,0.26852438252058264
E01000200,0.217896865520728,0.15824064711830133,0.3690596562184024,0.25480283114256824
E01000201,0.25601039636127354,0.1267056530214425,0.3651721897335932,0.2521117608836907
