lsoa,private_rented_share,social_rented_share
E01000001,0.3930704898446834,0.026284348864994027
E01000002,0.4406779661016949,0.03268765133171913
E01000003,0.32807881773399017,0.2975369458128079
E01000005,0.2175732217573222,0.696652719665272
E01000006,0.46473779385171793,0.039783001808318265
E01000007,0.35042016806722687,0.3798319327731092
E01000008,0.26824817518248173,0.5656934306569343
E01000009,0.4682274247491639,0.1939799331103679
E01000011,0.5221987315010571,0.05919661733615222
E01000012,0.42455242966751916,0.2851662404092072
E01000013,0.27948303715670436,0.3053311793214863
E01000014,0.20347003154574134,0.33753943217665616
E01000015,0.2637889688249401,0.3105515587529976
E01000016,0.1767515923566879,0.3200636942675159
E01000017,0.17420435510887772,0.35510887772194305
E01000018,0.19069767441860466,0.3829457364341085
E01000019,0.2874251497005988,0.24750499001996007
E01000020,0.22439759036144577,0.3147590361445783
E01000021,0.36717428087986465,0.26903553299492383
E01000022,0.22129436325678498,0.24843423799582465
E01000024,0.18736383442265794,0.3159041394335512
E01000025,0.1839080459770115,0.40804597701149425
E01000027,0.138763197586727,0.4555052790346908
E01000028,0.1706924315619968,0.5088566827697263
E01000029,0.16715542521994134,0.07331378299120235
E01000030,0.11602209944751381,0.585635359116022
E01000031,0.23529411764705882,0.06386554621848739
E01000032,0.334716459197787,0.14522821576763487
E01000033,0.12093862815884476,0.4891696750902527
E01000034,0.1487279843444227,0.38747553816046965
E01000035,0.292436974789916,0.20504201680672268
E01000036,0.28662420382165604,0.04670912951167728
E01000037,0.16808149405772496,0.03225806451612903
E01000038,0.1413427561837456,0.12367491166077739
E01000039,0.18847352024922118,0.13239875389408098
E01000040,0.2530487804878049,0.4115853658536585
E01000041,0.21322314049586777,0.3090909090909091
E01000042,0.2147239263803681,0.4371165644171779
E01000043,0.18936170212765957,0.2978723404255319
E01000044,0.367624810892587,0.18456883509833585
E01000045,0.2231833910034602,0.34256055363321797
E01000046,0.1933534743202417,0.36555891238670696
E01000049,0.1582608695652174,0.6139130434782609
E01000050,0.2836767036450079,0.2329635499207607
E01000051,0.14814814814814814,0.44675925925925924
E01000052,0.3601003764115433,0.21580928481806774
E01000053,0.30568356374807987,0.3533026113671275
E01000054,0.1890625,0.3515625
E01000055,0.18838028169014084,0.3626760563380282
E01000056,0.16341030195381884,0.4511545293072824
E01000057,0.2018867924528302,0.4
E01000058,0.27507163323782235,0.30802292263610315
E01000059,0.17017543859649123,0.3473684210526316
E01000060,0.17160493827160495,0.43209876543209874
E01000061,0.058666666666666666,0.6733333333333333
E01000062,0.18985695708712613,0.2808842652795839
E01000063,0.1744,0.3184
E01000064,0.2607052896725441,0.26448362720403024
E01000065,0.18309859154929578,0.45710627400768244
E01000066,0.16312056737588654,0.22127659574468084
E01000067,0.19969742813918306,0.15279878971255673
E01000068,0.3025210084033613,0.012605042016806723
E01000069,0.13992537313432835,0.024253731343283583
E01000070,0.21626297577854672,0.05190311418685121
E01000071,0.2642679900744417,0.12655086848635236
E01000072,0.2483130904183536,0.4156545209176788
E01000073,0.22255639097744362,0.34135338345864663
E01000074,0.19488817891373802,0.402555910543131
E01000075,0.2015625,0.296875
E01000076,0.23203026481715006,0.4073139974779319
E01000077,0.22466216216216217,0.3918918918918919
E01000078,0.2231139646869984,0.3258426966292135
E01000079,0.2459807073954984,0.3215434083601286
E01000080,0.16776315789473684,0.36348684210526316
E01000081,0.17177914110429449,0.2898773006134969
E01000082,0.21377331420373027,0.33428981348637016
E01000083,0.1990521327014218,0.31437598736176936
E01000084,0.21485943775100402,0.3795180722891566
E01000085,0.2465277777777778,0.421875
E01000086,0.2069672131147541,0.35655737704918034
E01000087,0.21001926782273603,0.325626204238921
E01000088,0.3503289473684211,0.12171052631578948
E01000089,0.32450331125827814,0.11092715231788079
E01000090,0.3225806451612903,0.12903225806451613
E01000091,0.15327380952380953,0.5461309523809523
E01000093,0.1593984962406015,0.5172932330827068
E01000094,0.2843601895734597,0.4158767772511848
E01000095,0.19131614654002713,0.32700135685210313
E01000096,0.16563146997929606,0.4554865424430642
E01000097,0.2364963503649635,0.38686131386861317
E01000098,0.2282958199356913,0.3102893890675241
E01000099,0.23687031082529475,0.2754555198285102
E01000100,0.21951219512195122,0.375
E01000101,0.21783876500857632,0.35334476843910806
E01000102,0.20985691573926868,0.3799682034976153
E01000103,0.1951219512195122,0.31144465290806755
E01000104,0.14285714285714285,0.5252525252525253
E01000105,0.16149732620320856,0.5689839572192513
E01000106,0.2747126436781609,0.4241379310344828
E01000107,0.2433774834437086,0.13741721854304637
E01000108,0.32653061224489793,0.1836734693877551
E01000110,0.22796934865900384,0.019157088122605363
E01000111,0.21390374331550802,0.3382352941176471
E01000112,0.36428571428571427,0.10714285714285714
E01000113,0.43769470404984423,0.06386292834890965
E01000114,0.29271523178807946,0.09536423841059603
E01000115,0.0893970893970894,0.002079002079002079
E01000116,0.15483870967741936,0.07419354838709677
E01000117,0.18011527377521613,0.012968299711815562
E01000118,0.16822429906542055,0.02403204272363151
E01000119,0.17038216560509553,0.06210191082802548
