lsoa,asian_share,black_share
E01000001,0.10719131614654002,0.007462686567164179
E01000002,0.1305916305916306,0.007936507936507936
E01000003,0.09491315136476426,0.034739454094292806
E01000005,0.3215258855585831,0.1080835603996367
E01000006,0.4796747967479675,0.10840108401084012
E01000007,0.31968341362697866,0.28492773571920166
E01000008,0.2561247216035635,0.3986636971046771
E01000009,0.48975069252077563,0.11191135734072022
E01000011,0.5481220657276995,0.10093896713615023
E01000012,0.33603066439523,0.2921635434412266
E01000013,0.16853932584269662,0.1803103263777421
E01000014,0.1737142857142857,0.16914285714285715
E01000015,0.15282940933498554,0.20198265179677818
E01000016,0.1447084233261339,0.20302375809935205
E01000017,0.21196283391405343,0.2038327526132404
E01000018,0.13006756756756757,0.18637387387387389
E01000019,0.33897280966767374,0.14984894259818732
E01000020,0.22430333485609869,0.19597989949748743
E01000021,0.31563421828908556,0.15811209439528023
E01000022,0.2535593220338983,0.2
E01000024,0.25623735670937287,0.20498988536749832
E01000025,0.23621227887617066,0.1732570239334027
E01000027,0.1690682036503362,0.16042267050912584
E01000028,0.22319956019791093,0.23859263331500824
E01000029,0.36273972602739724,0.1304109589041096
E01000030,0.16614664586583464,0.28471138845553823
E01000031,0.4276018099547511,0.1430995475113122
E01000032,0.3642479577126382,0.10619894281595386
E01000033,0.10123296560674887,0.22128487994808566
E01000034,0.11540900443880786,0.19150285351934052
E01000035,0.20354457572502685,0.21106337271750805
E01000036,0.2786103542234332,0.19959128065395096
E01000037,0.19044811320754718,0.10613207547169812
E01000038,0.16687344913151364,0.11166253101736973
E01000039,0.1604797258709309,0.1644774414620217
E01000040,0.28548644338118023,0.22115895800106328
E01000041,0.18433931484502447,0.17400761283306146
E01000042,0.2494692144373673,0.22505307855626328
E01000043,0.3697916666666667,0.13736979166666666
E01000044,0.34472361809045227,0.1542713567839196
E01000045,0.20765661252900233,0.21345707656612528
E01000046,0.1746031746031746,0.20020481310803892
E01000049,0.3037974683544304,0.31037974683544306
E01000050,0.36793478260869567,0.17445652173913043
E01000051,0.3285198555956679,0.34115523465703973
E01000052,0.3533389687235841,0.1466610312764159
E01000053,0.14860681114551083,0.2390092879256966
E01000054,0.1436198611852643,0.20768820074746397
E01000055,0.15971814445096888,0.2002348796241926
E01000056,0.1402582159624413,0.2153755868544601
E01000057,0.13457823567289118,0.24855119124275596
E01000058,0.22144194756554308,0.2247191011235955
E01000059,0.11929824561403508,0.20175438596491227
E01000060,0.15190454336851766,0.2533272143184947
E01000061,0.1368584758942457,0.29082426127527217
E01000062,0.14808126410835215,0.2582392776523702
E01000063,0.20022497187851518,0.16591676040494938
E01000064,0.1791630340017437,0.27419354838709675
E01000065,0.15574596774193547,0.2132056451612903
E01000066,0.6106655974338412,0.0797914995990377
E01000067,0.5415921288014311,0.12567084078711985
E01000068,0.5791527313266444,0.11259754738015608
E01000069,0.6236303001429252,0.0547879942829919
E01000070,0.6228874939642685,0.0816030902945437
E01000071,0.5480030721966206,0.10291858678955453
E01000072,0.19543973941368079,0.21405304792926944
E01000073,0.21513513513513513,0.15135135135135136
E01000074,0.16316088686753838,0.20125071063104036
E01000075,0.1766121270452358,0.21703561116458134
E01000076,0.14563106796116504,0.21359223300970873
E01000077,0.1753057658707047,0.23238206173558532
E01000078,0.1979989468141127,0.20168509741969456
E01000079,0.15093240093240093,0.1963869463869464
E01000080,0.17004504504504506,0.20213963963963963
E01000081,0.23684210526315788,0.18319838056680163
E01000082,0.1409921671018277,0.20522193211488252
E01000083,0.22464898595943839,0.16640665626625065
E01000084,0.1511142061281337,0.1873259052924791
E01000085,0.14702308626974483,0.19380315917375457
E01000086,0.15939015939015938,0.20928620928620928
E01000087,0.14146341463414633,0.276219512195122
E01000088,0.22598584428715873,0.2856420626895854
E01000089,0.15616438356164383,0.3167123287671233
E01000090,0.2415204678362573,0.29064327485380115
E01000091,0.25538020086083213,0.3366810138689622
E01000093,0.2195796460176991,0.3125
E01000094,0.1942299878098334,0.4315318976026006
E01000095,0.20959147424511546,0.2784191829484902
E01000096,0.18538647342995168,0.39311594202898553
E01000097,0.2736678737713399,0.13295395757889292
E01000098,0.30785123966942146,0.16993801652892562
E01000099,0.2828900071890726,0.16750539180445723
E01000100,0.23195876288659795,0.14072164948453608
E01000101,0.20470588235294118,0.18176470588235294
E01000102,0.18690542809177393,0.18019026301063235
E01000103,0.1384180790960452,0.33728813559322035
E01000104,0.12265135699373696,0.32411273486430064
E01000105,0.13439244310863033,0.279089738085015
E01000106,0.15074694431869623,0.2983250339520145
E01000107,0.1797312430011198,0.19260918253079506
E01000108,0.21798222686879248,0.19393622582331416
E01000110,0.438652256834075,0.1309599491417673
E01000111,0.23062645011600927,0.1716937354988399
E01000112,0.35264227642276424,0.18089430894308944
E01000113,0.3199799699549324,0.19829744616925388
E01000114,0.39164598842018195,0.22580645161290322
E01000115,0.23672883787661406,0.02582496413199426
E01000116,0.14555873925501434,0.048137535816618914
E01000117,0.10995970063327576,0.03281519861830743
E01000118,0.18475073313782991,0.04985337243401759
E01000119,0.2544642857142857,0.025669642857142856
E01000120,0.21084337349397592,0.03748326639892905
E01000121,0.168135593220339,0.1152542372881356
E01000122,0.199867637326274,0.04037061548643282
E01000123,0.16808149405772496,0.058290888511601587
E01000124,0.1377277599142551,0.0782422293676313
E01000126,0.199297629499561,0.2032484635645303
E01000127,0.25994865211810014,0.18421052631578946
E01000128,0.2618235007313506,0.1833252072159922
E01000129,0.2660836976889444,0.15927545284197375
E01000130,0.2458762886597938,0.21958762886597938
E01000131,0.33581349206349204,0.10515873015873016
E01000132,0.2391841779975278,0.15327564894932014
E01000133,0.3012781497261108,0.14059646987218502
E01000134,0.23864258347016967,0.17515051997810618
E01000135,0.20482636845203062,0.028840494408475574
E01000136,0.16139878950907868,0.03833221250840619
E01000137,0.16847826086956522,0.18780193236714976
E01000138,0.23623995052566482,0.05071119356833643
E01000139,0.15129682997118155,0.05187319884726225
E01000140,0.17058222676200205,0.07763023493360573
E01000141,0.2121374865735768,0.11009667024704618
E01000142,0.18612975391498882,0.09574944071588366
E01000143,0.15269461077844312,0.19520958083832335
E01000144,0.23012048192771084,0.053614457831325305
E01000145,0.13436532507739937,0.03715170278637771
E01000146,0.1808964781216649,0.03575240128068303
E01000147,0.42484342379958245,0.04488517745302714
E01000150,0.31427304964539005,0.11702127659574468
E01000151,0.18619489559164734,0.28596287703016243
E01000152,0.2809825083736509,0.23446222553033122
E01000153,0.2012448132780083,0.23340248962655602
E01000154,0.22936259143155696,0.23772204806687566
E01000156,0.09772951628825272,0.05231984205330701
E01000157,0.07901390644753477,0.06637168141592921
E01000158,0.16541353383458646,0.07997265892002735
E01000159,0.15509518477043674,0.07054871220604703
E01000160,0.1746031746031746,0.07578084997439836
E01000161,0.20943952802359883,0.06784660766961652
E01000162,0.1929611650485437,0.09466019417475728
E01000163,0.10295857988165681,0.13136094674556212
E01000164,0.13885647607934656,0.12835472578763127
E01000165,0.2495858641634456,0.08614025400331309
E01000166,0.12523133867982728,0.05305367057371992
E01000167,0.11159107271418287,0.06047516198704104
E01000168,0.17139090309822017,0.02241265655899802
E01000169,0.0819571865443425,0.06360856269113149
E01000170,0.11409043112513144,0.08569926393270241
E01000171,0.1,0.08646288209606987
E01000172,0.1267021906453523,0.02605091770278271
E01000173,0.1343990526939017,0.07460035523978685
E01000174,0.12074829931972789,0.0481859410430839
E01000175,0.1256776737309019,0.02464268112370626
E01000176,0.1329849012775842,0.11382113821138211
E01000177,0.10361445783132531,0.023493975903614458
E01000178,0.09820359281437126,0.04730538922155689
E01000179,0.11521252796420582,0.042505592841163314
E01000180,0.13358070500927643,0.08348794063079777
E01000181,0.11183431952662722,0.018343195266272188
E01000182,0.11021671826625387,0.019195046439628483
E01000183,0.11045364891518737,0.02564102564102564
E01000184,0.17866666666666667,0.14613333333333334
E01000185,0.21099050203527817,0.18792401628222524
E01000186,0.18602029312288612,0.018038331454340473
E01000187,0.14400921658986174,0.06912442396313365
