lsoa,dependent_children_share,lone_parent_dependent_share,one_person_share
E01000001,0.10939357907253269,0.011890606420927468,0.44351961950059454
E01000002,0.08859223300970874,0.015776699029126214,0.4963592233009709
E01000003,0.07866273352999016,0.02261553588987217,0.5722713864306784
E01000005,0.22641509433962265,0.06079664570230608,0.4591194968553459
E01000006,0.463898916967509,0.09566787003610108,0.16787003610108303
E01000007,0.380672268907563,0.11260504201680673,0.3663865546218487
E01000008,0.5208711433756806,0.15245009074410162,0.24319419237749546
E01000009,0.37104825291181365,0.05490848585690516,0.2878535773710483
E01000011,0.4767932489451477,0.052742616033755275,0.20253164556962025
E01000012,0.5261813537675607,0.17369093231162197,0.2081736909323116
E01000013,0.4659090909090909,0.13474025974025974,0.18668831168831168
E01000014,0.4116719242902208,0.10094637223974763,0.26025236593059936
E01000015,0.4969915764139591,0.1793020457280385,0.2226233453670277
E01000016,0.45773524720893144,0.14354066985645933,0.19457735247208932
E01000017,0.3996655518394649,0.11204013377926421,0.24247491638795987
E01000018,0.4161490683229814,0.13354037267080746,0.2406832298136646
E01000019,0.536144578313253,0.14056224899598393,0.1465863453815261
E01000020,0.46907993966817496,0.08144796380090498,0.2171945701357466
E01000021,0.45714285714285713,0.1226890756302521,0.27058823529411763
E01000022,0.4549266247379455,0.11530398322851153,0.19077568134171907
E01000024,0.45021645021645024,0.11688311688311688,0.16017316017316016
E01000025,0.406025824964132,0.09469153515064563,0.3314203730272597
E01000027,0.5249621785173979,0.16187594553706505,0.19818456883509833
E01000028,0.4453376205787781,0.14630225080385853,0.3054662379421222
E01000029,0.3489736070381232,0.0718475073313783,0.2697947214076246
E01000030,0.5403314917127072,0.2110497237569061,0.2419889502762431
E01000031,0.37583892617449666,0.06208053691275168,0.25838926174496646
E01000032,0.3988919667590028,0.08310249307479224,0.24653739612188366
E01000033,0.42882882882882883,0.15495495495495495,0.2756756756756757
E01000034,0.3578336557059961,0.10251450676982592,0.23984526112185686
E01000035,0.4158249158249158,0.09595959595959595,0.23905723905723905
E01000036,0.4088983050847458,0.08050847457627118,0.20127118644067796
E01000037,0.3440677966101695,0.06271186440677966,0.21694915254237288
E01000038,0.3678571428571429,0.05892857142857143,0.21964285714285714
E01000039,0.3736434108527132,0.08527131782945736,0.25426356589147286
E01000040,0.4496951219512195,0.10975609756097561,0.2347560975609756
E01000041,0.4925373134328358,0.12603648424543948,0.1791044776119403
E01000042,0.4541284403669725,0.14984709480122324,0.2889908256880734
E01000043,0.4200426439232409,0.08528784648187633,0.21748400852878466
E01000044,0.44764795144157815,0.08801213960546282,0.2928679817905918
E01000045,0.4583333333333333,0.125,0.203125
E01000046,0.4486404833836858,0.12386706948640483,0.21601208459214502
E01000049,0.5476603119584056,0.1923743500866551,0.2027729636048527
E01000050,0.4426751592356688,0.1178343949044586,0.2484076433121019
E01000051,0.42494226327944573,0.12471131639722864,0.30484988452655887
E01000052,0.49370277078085645,0.12846347607052896,0.21032745591939547
E01000053,0.3765432098765432,0.13734567901234568,0.35802469135802467
E01000054,0.48200312989045385,0.16901408450704225,0.19405320813771518
E01000055,0.44815465729349735,0.13708260105448156,0.15992970123022848
E01000056,0.45936395759717313,0.1431095406360424,0.1978798586572438
E01000057,0.48867924528301887,0.1792452830188679,0.1792452830188679
E01000058,0.46275071633237824,0.14183381088825214,0.17478510028653296
E01000059,0.4168126094570928,0.1243432574430823,0.22066549912434325
E01000060,0.4250614250614251,0.1597051597051597,0.3071253071253071
E01000061,0.4204244031830239,0.20822281167108753,0.35809018567639256
E01000062,0.41460234680573665,0.13298565840938723,0.24641460234680573
E01000063,0.4424920127795527,0.11182108626198083,0.2268370607028754
E01000064,0.4217171717171717,0.12373737373737374,0.2676767676767677
E01000065,0.3460559796437659,0.10432569974554708,0.35877862595419846
E01000066,0.4619718309859155,0.08028169014084507,0.2830985915492958
E01000067,0.48861911987860396,0.10015174506828528,0.18968133535660092
E01000068,0.4168421052631579,0.029473684210526315,0.13473684210526315
E01000069,0.4803738317757009,0.08037383177570094,0.15514018691588785
E01000070,0.43523316062176165,0.0535405872193437,0.17616580310880828
E01000071,0.45590062111801244,0.06956521739130435,0.231055900621118
E01000072,0.49592391304347827,0.20923913043478262,0.21467391304347827
E01000073,0.4496240601503759,0.1368421052631579,0.2706766917293233
E01000074,0.4440894568690096,0.13258785942492013,0.25878594249201275
E01000075,0.42946708463949845,0.06426332288401254,0.19592476489028213
E01000076,0.3836477987421384,0.11823899371069183,0.28679245283018867
E01000077,0.4228187919463087,0.09731543624161074,0.23154362416107382
E01000078,0.49114331723027377,0.1320450885668277,0.18518518518518517
E01000079,0.4184168012924071,0.11308562197092084,0.2859450726978998
E01000080,0.4337152209492635,0.1309328968903437,0.18985270049099837
E01000081,0.45329249617151607,0.0995405819295559,0.2082695252679939
E01000082,0.39341917024320455,0.11874105865522175,0.24034334763948498
E01000083,0.47709320695102686,0.14691943127962084,0.1848341232227488
E01000084,0.4228456913827655,0.12424849699398798,0.22244488977955912
E01000085,0.4124783362218371,0.12824956672443674,0.24436741767764297
E01000086,0.4610655737704918,0.17418032786885246,0.1987704918032787
E01000087,0.48936170212765956,0.13152804642166344,0.1760154738878143
E01000088,0.49917081260364843,0.14759535655058043,0.19900497512437812
E01000089,0.4766666666666667,0.15666666666666668,0.18666666666666668
E01000090,0.46953405017921146,0.13261648745519714,0.1917562724014337
E01000091,0.5119047619047619,0.16517857142857142,0.25595238095238093
E01000093,0.40929535232383807,0.15442278860569716,0.32083958020989506
E01000094,0.5634638196915777,0.199288256227758,0.1933570581257414
E01000095,0.5495251017639078,0.18181818181818182,0.19131614654002713
E01000096,0.6139630390143738,0.19507186858316222,0.1540041067761807
E01000097,0.41897810218978104,0.11532846715328467,0.291970802919708
E01000098,0.47665056360708535,0.10950080515297907,0.23671497584541062
E01000099,0.49678800856531047,0.12205567451820129,0.20770877944325483
E01000100,0.500763358778626,0.19236641221374046,0.1801526717557252
E01000101,0.436426116838488,0.1013745704467354,0.22852233676975944
E01000102,0.47217806041335453,0.15580286168521462,0.2273449920508744
E01000103,0.4981203007518797,0.12218045112781954,0.17105263157894737
E01000104,0.42568542568542567,0.13564213564213565,0.3189033189033189
E01000105,0.3839572192513369,0.1358288770053476,0.3422459893048128
E01000106,0.43184421534937,0.16838487972508592,0.34822451317296677
E01000107,0.42786069651741293,0.1077943615257048,0.208955223880597
E01000108,0.42961876832844575,0.13929618768328444,0.24193548387096775
E01000110,0.4329501915708812,0.1053639846743295,0.18773946360153257
E01000111,0.42456608811748997,0.12817089452603472,0.32176234979973295
E01000112,0.41714285714285715,0.12428571428571429,0.26
E01000113,0.48598130841121495,0.12305295950155763,0.18847352024922118
E01000114,0.5,0.11477572559366754,0.19129287598944592
E01000115,0.30462184873949577,0.018907563025210083,0.16596638655462184
E01000116,0.3695299837925446,0.04538087520259319,0.2188006482982172
E01000117,0.32230215827338127,0.0618705035971223,0.2589928057553957
E01000118,0.36351531291611183,0.04660452729693742,0.23435419440745672
E01000119,0.3646496815286624,0.06528662420382166,0.15764331210191082
E01000120,0.37349397590361444,0.03614457831325301,0.15863453815261044
E01000121,0.37595419847328243,0.12213740458015267,0.21946564885496184
E01000122,0.40576923076923077,0.05576923076923077,0.18269230769230768
E01000123,0.29508196721311475,0.06967213114754098,0.2786885245901639
E01000124,0.31651954602774274,0.1021437578814628,0.38209331651954603
E01000126,0.36753246753246754,0.1,0.24805194805194805
E01000127,0.4,0.09902912621359224,0.21359223300970873
E01000128,0.40249609984399376,0.07020280811232449,0.1794071762870515
E01000129,0.3572679509632224,0.12259194395796848,0.2609457092819615
E01000130,0.3662613981762918,0.11094224924012158,0.22492401215805471
E01000131,0.37130801687763715,0.11533052039381153,0.22362869198312235
E01000132,0.46732673267326735,0.1306930693069307,0.15841584158415842
E01000133,0.3778162911611785,0.1022530329289428,0.2634315424610052
E01000134,0.4287974683544304,0.12183544303797468,0.2468354430379747
E01000135,0.30670926517571884,0.03194888178913738,0.28913738019169327
E01000136,0.31316725978647686,0.051601423487544484,0.26334519572953735
E01000137,0.38863976083707025,0.19133034379671152,0.2825112107623318
E01000138,0.28091603053435116,0.06870229007633588,0.37251908396946565
E01000139,0.29174311926605506,0.04954128440366973,0.26238532110091745
E01000140,0.25144175317185696,0.05767012687427912,0.31949250288350634
E01000141,0.2585551330798479,0.07731305449936629,0.3637515842839037
E01000142,0.3292273236282195,0.08622620380739082,0.3180291153415454
E01000143,0.3397058823529412,0.16176470588235295,0.32941176470588235
E01000144,0.2292225201072386,0.032171581769437,0.43297587131367293
E01000145,0.34355828220858897,0.05521472392638037,0.2310838445807771
E01000146,0.20344827586206896,0.034482758620689655,0.39770114942528734
E01000147,0.3470483005366726,0.03220035778175313,0.19856887298747763
E01000150,0.3549222797927461,0.06606217616580311,0.24093264248704663
E01000151,0.49390243902439024,0.2545731707317073,0.3323170731707317
E01000152,0.44288793103448276,0.11745689655172414,0.1961206896551724
E01000153,0.38836265223274696,0.12584573748308525,0.33152909336941816
E01000154,0.33663366336633666,0.10466760961810467,0.26591230551626593
E01000156,0.432,0.08,0.23866666666666667
E01000157,0.34672619047619047,0.09523809523809523,0.3244047619047619
E01000158,0.37453874538745385,0.09778597785977859,0.23247232472324722
E01000159,0.35030864197530864,0.07561728395061729,0.21604938271604937
E01000160,0.33957553058676654,0.08114856429463171,0.2908863920099875
E01000161,0.3620689655172414,0.1145320197044335,0.29064039408866993
E01000162,0.3423913043478261,0.07065217391304347,0.24818840579710144
E01000163,0.3074027603513174,0.1191969887076537,0.4228356336260979
E01000164,0.37712519319938176,0.10973724884080371,0.2797527047913447
E01000165,0.3507779349363508,0.09759547383309759,0.2857142857142857
E01000166,0.33537519142419603,0.08269525267993874,0.29249617151607965
E01000167,0.3650190114068441,0.10456273764258556,0.23954372623574144
E01000168,0.2826475849731664,0.025044722719141325,0.20930232558139536
E01000169,0.31746031746031744,0.08513708513708514,0.31746031746031744
E01000170,0.4172661870503597,0.08201438848920864,0.23741007194244604
E01000171,0.39418254764292876,0.1675025075225677,0.3139418254764293
E01000172,0.3815789473684211,0.03618421052631579,0.20559210526315788
E01000173,0.41475409836065574,0.09672131147540984,0.19508196721311474
E01000174,0.36268068331143233,0.09855453350854139,0.3455978975032852
E01000175,0.39184952978056425,0.047021943573667714,0.20376175548589343
E01000176,0.2510402219140083,0.0970873786407767,0.37447988904299584
E01000177,0.37117903930131,0.06550218340611354,0.3056768558951965
E01000178,0.35502958579881655,0.07544378698224852,0.2973372781065089
E01000179,0.3437094682230869,0.055771725032425425,0.3099870298313878
E01000180,0.30104321907600595,0.07153502235469449,0.3144560357675112
E01000181,0.2777777777777778,0.03508771929824561,0.25877192982456143
E01000182,0.25991792065663477,0.03283173734610123,0.332421340629275
E01000183,0.3372093023255814,0.04983388704318937,0.32059800664451826
E01000184,0.31971830985915495,0.09718309859154929,0.31690140845070425
E01000185,0.26791277258566976,0.1059190031152648,0.37538940809968846
E01000186,0.41025641025641024,0.03747534516765286,0.1222879684418146
E01000187,0.3601340033500838,0.051926298157453935,0.25125628140703515
E01000188,0.3791748526522593,0.03536345776031434,0.14145383104125736
E01000189,0.38022426095820594,0.11416921508664628,0.2670744138634047
E01000190,0.39267015706806285,0.055846422338568937,0.17452006980802792
E01000191,0.33153153153153153,0.03783783783783784,0.24144144144144145
E01000192,0.3328631875881523,0.05923836389280677,0.23272214386459802
E01000193,0.3271954674220963,0.07365439093484419,0.2535410764872521
E01000194,0.39488636363636365,0.13636363636363635,0.26988636363636365
E01000195,0.42083333333333334,0.13194444444444445,0.2972222222222222
E01000196,0.19304666056724612,0.04666056724611162,0.44190301921317476
E01000197,0.332421340629275,0.06566347469220246,0.2640218878248974
E01000198,0.39537869062901154,0.06033376123234917,0.25802310654685495
E01000199,0.2852807283763278,0.0409711684370258,0.2959028831562974
E01000200,0.25773195876288657,0.029782359679266894,0.3665521191294387
E01000201,0.3503787878787879,0.017045454545454544,0.1875
E01000202,0.3225283630470016,0.03889789303079417,0.2171799027552674
E01000203,0.38563049853372433,0.1378299120234604,0.2316715542521994
E01000204,0.2949640287769784,0.0460431654676259,0.2805755395683453
E01000205,0.34933774834437087,0.03145695364238411,0.2682119205298013
E01000206,0.29714285714285715,0.03238095238095238,0.18095238095238095
E01000207,0.3027950310559006,0.040372670807453416,0.30434782608695654
E01000208,0.32125984251968503,0.03307086614173228,0.231496062992126
E01000209,0.21891891891891893,0.032432432432432434,0.4445945945945946
E01000210,0.40273037542662116,0.06313993174061433,0.22184300341296928
E01000211,0.29405405405405405,0.0972972972972973,0.3567567567567568
E01000212,0.25364963503649635,0.03832116788321168,0.2718978102189781
E01000213,0.4222222222222222,0.022222222222222223,0.18888888888888888
E01000214,0.2235142118863049,0.03875968992248062,0.3979328165374677
E01000215,0.3909985935302391,0.04219409282700422,0.3234880450070324
E01000216,0.3120665742024965,0.027739251040221916,0.33703190013869627
E01000217,0.39492753623188404,0.028985507246376812,0.21014492753623187
E01000218,0.36177474402730375,0.04607508532423208,0.24232081911262798
E01000219,0.36322188449848025,0.031914893617021274,0.2765957446808511
E01000220,0.30666666666666664,0.04148148148148148,0.38666666666666666
E01000221,0.3787878787878788,0.13068181818181818,0.3390151515151515
E01000222,0.35253772290809327,0.11522633744855967,0.27434842249657065
E01000223,0.3873994638069705,0.1193029490616622,0.2949061662198391
E01000224,0.3602150537634409,0.06630824372759857,0.22939068100358423
E01000225,0.3865979381443299,0.02577319587628866,0.3024054982817869
E01000226,0.37104825291181365,0.09650582362728785,0.2545757071547421
E01000227,0.38166666666666665,0.021666666666666667,0.155
E01000228,0.39565217391304347,0.05434782608695652,0.13695652173913042
E01000229,0.38054607508532423,0.09215017064846416,0.20819112627986347
E01000230,0.3404255319148936,0.0364741641337386,0.24012158054711247
E01000231,0.4135702746365105,0.09531502423263329,0.1987075928917609
E01000232,0.3338068181818182,0.0625,0.2684659090909091
E01000233,0.4015267175572519,0.05343511450381679,0.19083969465648856
E01000234,0.3624260355029586,0.0695266272189349,0.22928994082840237
E01000235,0.37003058103975534,0.10856269113149847,0.2217125382262997
E01000236,0.3902439024390244,0.043041606886657105,0.29411764705882354
E01000237,0.33837689133425036,0.061898211829436035,0.20907840440165062
E01000238,0.4263565891472868,0.07441860465116279,0.17519379844961241
E01000239,0.2580299785867238,0.061027837259100645,0.4004282655246253
E01000240,0.3072,0.0576,0.2432
E01000241,0.30714285714285716,0.047142857142857146,0.2957142857142857
E01000242,0.32941176470588235,0.05042016806722689,0.3176470588235294
E01000243,0.2511111111111111,0.056666666666666664,0.3477777777777778
E01000244,0.2650793650793651,0.06031746031746032,0.3111111111111111
E01000245,0.29076396807297605,0.10718358038768529,0.3363740022805017
E01000246,0.27414330218068533,0.04205607476635514,0.29595015576323985
E01000247,0.3150684931506849,0.06712328767123288,0.33835616438356164
E01000248,0.31710709318497915,0.05146036161335188,0.31710709318497915
E01000249,0.32741935483870965,0.0532258064516129,0.19838709677419356
E01000250,0.26532399299474607,0.063922942206655,0.35288966725043786
E01000251,0.26988636363636365,0.07102272727272728,0.4327651515151515
E01000252,0.25566750629722923,0.061712846347607056,0.3702770780856423
E01000253,0.32956152758132956,0.018387553041018388,0.20933521923620935
E01000254,0.29541864139020535,0.0315955766192733,0.2669826224328594
E01000255,0.3380952380952381,0.08095238095238096,0.2507936507936508
E01000256,0.37813884785819796,0.060561299852289516,0.23190546528803546
E01000257,0.2975929978118162,0.08096280087527352,0.34573304157549234
E01000258,0.27365728900255754,0.03836317135549872,0.29411764705882354
E01000259,0.36465781409601633,0.06741573033707865,0.24821246169560776
E01000260,0.36481700118063753,0.08382526564344746,0.24793388429752067
E01000261,0.27058823529411763,0.026470588235294117,0.34705882352941175
E01000263,0.4163346613545817,0.02390438247011952,0.14143426294820718
E01000264,0.34305555555555556,0.058333333333333334,0.3013888888888889
E01000265,0.35797665369649806,0.0907911802853437,0.2814526588845655
E01000266,0.3273809523809524,0.031746031746031744,0.16071428571428573
E01000267,0.3258620689655172,0.05172413793103448,0.23793103448275862
E01000268,0.3247588424437299,0.12004287245444802,0.3440514469453376
E01000269,0.30386740331491713,0.04788213627992634,0.22467771639042358
E01000270,0.30757097791798105,0.04574132492113565,0.2981072555205047
E01000271,0.2947882736156352,0.03908794788273615,0.2296416938110749
E01000272,0.3220675944333996,0.02982107355864811,0.17693836978131214
E01000273,0.24629878869448182,0.059219380888290714,0.3566621803499327
E01000274,0.3715925394548063,0.08608321377331421,0.24390243902439024
E01000275,0.2949101796407186,0.04640718562874251,0.23652694610778444
E01000276,0.4708249496981891,0.02414486921529175,0.12072434607645875
E01000277,0.22311827956989247,0.053763440860215055,0.4260752688172043
E01000278,0.428,0.03,0.158
E01000279,0.2885375494071146,0.02766798418972332,0.17786561264822134
E01000280,0.2978303747534517,0.023668639053254437,0.16370808678500987
E01000281,0.3217948717948718,0.06794871794871794,0.34615384615384615
E01000282,0.3352601156069364,0.036127167630057806,0.24855491329479767
E01000283,0.35881104033970274,0.025477707006369428,0.14437367303609341
E01000284,0.2733990147783251,0.0665024630541872,0.35591133004926107
E01000285,0.3284313725490196,0.08333333333333333,0.3006535947712418
E01000286,0.3308270676691729,0.08270676691729323,0.26015037593984963
E01000287,0.36617405582922824,0.12807881773399016,0.25287356321839083
E01000288,0.36991150442477877,0.0584070796460177,0.23716814159292035
E01000289,0.3806921675774135,0.12750455373406194,0.21129326047358835
E01000290,0.27802690582959644,0.05530642750373692,0.30792227204783257
E01000291,0.36348949919224555,0.1098546042003231,0.3134087237479806
E01000292,0.27076923076923076,0.05692307692307692,0.2953846153846154
