lsoa,bres_total_jobs,bres_manufacturing_share,bres_manufacturing_per_km2,bres_wholesale_retail_share,bres_wholesale_retail_per_km2,bres_transport_storage_share,bres_transport_storage_per_km2,bres_accom_food_share,bres_accom_food_per_km2,bres_info_comms_share,bres_info_comms_per_km2,bres_professional_sci_share,bres_professional_sci_per_km2,bres_education_share,bres_education_per_km2,bres_health_social_share,bres_health_social_per_km2,bres_admin_support_share,bres_admin_support_per_km2
E01000001,13000,0.0019230769230769232,158.42751686598928,0.05730769230769231,4721.140002606481,0.0,0.0,0.03769230769230769,3105.17933057339,0.08846153846153847,7287.665775835508,0.26615384615384613,21926.36833425292,0.0034615384615384616,285.1695303587807,0.007692307692307693,633.7100674639571,0.11692307692307692,9632.39302545215
E01000002,66000,0.0007575757575757576,303.23571748009584,0.00962121212121212,3851.093611997217,0.0009090909090909091,363.882860976115,0.012878787878787878,5155.007197161629,0.08,32021.69176589812,0.34515151515151515,138154.19288393165,0.015151515151515152,6064.714349601916,0.016666666666666666,6671.185784562108,0.051666666666666666,20680.675932142534
E01000003,600,0.11666666666666667,1658.075522553571,0.03333333333333333,473.7358635867346,0.0,0.0,0.041666666666666664,592.1698294834182,0.15833333333333333,2250.2453520369895,0.225,3197.7170792104585,0.03333333333333333,473.7358635867346,0.016666666666666666,236.8679317933673,0.225,3197.7170792104585
E01000005,24000,0.0016666666666666668,188.05119369236564,0.014583333333333334,1645.4479448081993,0.011666666666666667,1316.3583558465593,0.05625,6346.72778711734,0.16,18052.9145944671,0.22,24822.757567392262,0.041666666666666664,4701.279842309141,0.036041666666666666,4066.607063597407,0.12645833333333334,14268.384321408243
E01000006,100,0.0,0.0,0.05,38.29882255897534,0.55,421.28704814872873,0.05,38.29882255897534,0.0,0.0,0.05,38.29882255897534,0.05,38.29882255897534,0.0,0.0,0.0,0.0
E01000007,1750,0.0,0.0,0.05142857142857143,427.1703286127914,0.2,1661.2179446052999,0.02857142857142857,237.31684922932857,0.04857142857142857,403.43864368985857,0.054285714285714284,450.9020135357243,0.04285714285714286,355.97527384399285,0.18571428571428572,1542.5595199906356,0.1,830.6089723026499
E01000008,1250,0.056,413.7113719653591,0.164,1211.5833036128374,0.008,59.10162456647987,0.0,0.0,0.012,88.6524368497198,0.072,531.9146210983189,0.016,118.20324913295974,0.104,768.3211193642384,0.552,4078.012095087111
E01000009,1750,0.0,0.0,0.09714285714285714,1222.1757944339479,0.0,0.0,0.07142857142857142,898.6586723779029,0.014285714285714285,179.7317344755806,0.022857142857142857,287.5707751609289,0.02857142857142857,359.4634689511612,0.05142857142857143,647.03424411209,0.6571428571428571,8267.659785876707
E01000011,150,0.0,0.0,0.06666666666666667,106.63466695872712,0.03333333333333333,53.31733347936356,0.0,0.0,0.0,0.0,0.0,0.0,0.2,319.9040008761814,0.0,0.0,0.13333333333333333,213.26933391745425
E01000012,175,0.0,0.0,0.2,258.61886450506694,0.0,0.0,0.11428571428571428,147.78220828860967,0.0,0.0,0.0,0.0,0.05714285714285714,73.89110414430483,0.05714285714285714,73.89110414430483,0.05714285714285714,73.89110414430483
E01000013,500,0.0,0.0,0.28,612.6650124828418,0.03,65.6426799088759,0.15,328.2133995443795,0.06,131.2853598177518,0.02,43.76178660591727,0.1,218.80893302958634,0.07,153.16625312071045,0.13,284.4516129384623
E01000014,125,0.08,30.08862403619971,0.08,30.08862403619971,0.04,15.044312018099856,0.0,0.0,0.04,15.044312018099856,0.0,0.0,0.0,0.0,0.32,120.35449614479884,0.08,30.08862403619971
E01000015,175,0.0,0.0,0.05714285714285714,36.13313515295724,0.0,0.0,0.05714285714285714,36.13313515295724,0.0,0.0,0.6,379.397919106051,0.0,0.0,0.0,0.0,0.05714285714285714,36.13313515295724
E01000016,400,0.025,52.69124506118084,0.2375,500.566828081218,0.025,52.69124506118084,0.0625,131.7281126529521,0.025,52.69124506118084,0.05,105.38249012236167,0.05,105.38249012236167,0.075,158.0737351835425,0.05,105.38249012236167
E01000017,125,0.0,0.0,0.0,0.0,0.0,0.0,0.08,54.325990078161865,0.0,0.0,0.0,0.0,0.32,217.30396031264746,0.2,135.81497519540466,0.0,0.0
E01000018,175,0.0,0.0,0.05714285714285714,66.94087460464412,0.08571428571428572,100.41131190696618,0.05714285714285714,66.94087460464412,0.0,0.0,0.0,0.0,0.5714285714285714,669.4087460464411,0.0,0.0,0.0,0.0
E01000019,250,0.0,0.0,0.08,97.96667472655913,0.0,0.0,0.06,73.47500604491935,0.0,0.0,0.04,48.98333736327957,0.6,734.7500604491935,0.08,97.96667472655913,0.0,0.0
E01000020,225,0.0,0.0,0.15555555555555556,201.97478480981493,0.022222222222222223,28.85354068711642,0.0,0.0,0.022222222222222223,28.85354068711642,0.0,0.0,0.0,0.0,0.4888888888888889,634.7778951165612,0.044444444444444446,57.70708137423284
E01000021,450,0.0,0.0,0.12222222222222222,264.79411397167314,0.0,0.0,0.022222222222222223,48.14438435848602,0.0,0.0,0.022222222222222223,48.14438435848602,0.0,0.0,0.022222222222222223,48.14438435848602,0.5666666666666667,1227.6818011413936
E01000022,75,0.0,0.0,0.13333333333333333,84.55325987895468,0.06666666666666667,42.27662993947734,0.0,0.0,0.0,0.0,0.26666666666666666,169.10651975790935,0.0,0.0,0.13333333333333333,84.55325987895468,0.0,0.0
E01000024,150,0.0,0.0,0.06666666666666667,74.0268837626133,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,37.01344188130665,0.0,0.0,0.13333333333333333,148.0537675252266,0.13333333333333333,148.0537675252266
E01000025,75,0.0,0.0,0.06666666666666667,32.27881751877527,0.06666666666666667,32.27881751877527,0.0,0.0,0.0,0.0,0.06666666666666667,32.27881751877527,0.13333333333333333,64.55763503755054,0.0,0.0,0.13333333333333333,64.55763503755054
E01000027,450,0.022222222222222223,6.615239444991517,0.2222222222222222,66.15239444991516,0.011111111111111112,3.3076197224957586,0.4444444444444444,132.30478889983033,0.0,0.0,0.0,0.0,0.044444444444444446,13.230478889983035,0.15555555555555556,46.30667611494062,0.044444444444444446,13.230478889983035
E01000028,175,0.0,0.0,0.6,657.886526510028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34285714285714286,375.93515800573033,0.02857142857142857,31.32792983381086
E01000029,150,0.06666666666666667,34.40315894374292,0.13333333333333333,68.80631788748585,0.23333333333333334,120.41105630310022,0.0,0.0,0.03333333333333333,17.20157947187146,0.06666666666666667,34.40315894374292,0.0,0.0,0.13333333333333333,68.80631788748585,0.0,0.0
E01000030,225,0.0,0.0,0.13333333333333333,158.53552857989862,0.0,0.0,0.3111111111111111,369.9162333530968,0.022222222222222223,26.42258809664977,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,264.2258809664977
E01000031,400,0.025,11.80282381744348,0.0875,41.30988336105218,0.0375,17.70423572616522,0.05,23.60564763488696,0.0,0.0,0.025,11.80282381744348,0.375,177.0423572616522,0.375,177.0423572616522,0.025,11.80282381744348
E01000032,600,0.0,0.0,0.2833333333333333,452.37209936560066,0.0,0.0,0.25,399.1518523814123,0.0,0.0,0.05,79.83037047628247,0.0,0.0,0.11666666666666667,186.27086444465908,0.06666666666666667,106.44049396837663
E01000033,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,59.76931916755038,0.2,59.76931916755038
E01000034,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,761.0067241559833,0.0,0.0,0.02,19.025168103899585
E01000035,1250,0.08,231.2913618204987,0.26,751.6969259166208,0.032,92.51654472819948,0.076,219.72679372947377,0.012,34.69370427307481,0.024,69.38740854614962,0.16,462.5827236409974,0.16,462.5827236409974,0.024,69.38740854614962
E01000036,900,0.16666666666666666,487.99391702678207,0.011111111111111112,32.53292780178547,0.011111111111111112,32.53292780178547,0.08333333333333333,243.99695851339104,0.011111111111111112,32.53292780178547,0.1111111111111111,325.3292780178547,0.03333333333333333,97.59878340535641,0.05555555555555555,162.66463900892734,0.08333333333333333,243.99695851339104
