cluster,1,2,3,4,5,6,7
0,0.02072312275689431,0.08788073779725541,0.12398023069366407,0.1655008989438877,0.35109993974707254,0.16237751884285395,0.08843755121837203
1,0.844330199418065,0.03905420340886499,0.10161915553409956,0.004777952519551814,0.005434221688497311,0.0006499542575758565,0.004134313173345598
2,0.5928201378893057,0.21655296506720526,0.1424282008282225,0.03554326981269176,0.008510532835811836,0.0026173963607758594,0.001527497205987059
3,0.15205161847299387,0.4154995822027166,0.19194962363573181,0.12800793136044317,0.08112810086011006,0.021916451679721942,0.009446691788282805
4,0.13622583180678868,0.29685338713393383,0.1607618325710546,0.21553367022328473,0.13528702484624078,0.04189885910330831,0.013439394315389227
