cluster,stations,eligible_stations,eligibility_rate,mean_total_activity,mean_lnwc_entropy,mean_lnwc_coverage
0,89,75,0.8426966292134831,9721.390485107402,0.6150632214275158,0.9777953173355204
1,26,26,1.0,81310.95106016632,0.1314478377347195,0.9337342997325186
2,90,90,1.0,47288.97563078578,0.4600577425516096,0.9714110016583665
3,31,31,1.0,26577.988266861303,0.5891866718966017,0.9535437847924776
4,167,167,1.0,23356.317836849852,0.6043619678879663,0.9803735318998656
