variant,n,k,kruskal_H,kruskal_p,epsilon_squared
canonical_common_window_fri_excluded,403,5,115.4730543496571,4.94598857460923e-24,0.2800830511297917
full_window_fri_excluded,403,5,118.12638187129278,1.3421173602624897e-24,0.28674970319420295
full_window_bus_aligned,403,5,110.97468150789109,4.5092594601675825e-23,0.26878060680374644
