NLC,canonical_common_window_fri_excluded,full_window_fri_excluded,full_window_bus_aligned,cluster,Station,total_activity,log_total_activity
500,0.8606663913080502,0.9114212786810831,0.8613282305431919,4,Acton Town,20020.017376020107,9.904537869561043
501,0.5786905917405434,0.5797891889690201,0.5862906543694125,2,Barbican,17385.19949178,9.763432037850185
502,0.718626561852749,0.7190092570080353,0.692194461392289,2,Aldgate,25375.977887714904,10.14159765962032
503,0.9715872266803496,0.9738449783923052,0.89920376917725,2,Aldgate East,51676.27325639999,10.852773374997954
504,0.8338349816284116,0.83195853514552,0.8310387441424734,3,Stratford International DLR,17004.300557321185,9.741280371929099
505,0.6830609290046609,0.6847020200389481,0.6717197204063824,0,Alperton,9844.40784943342,9.194760417277964
506,0.632739216497464,0.6372998858868705,0.6578489918098251,0,Amersham,6726.80084282051,8.814003599969194
507,0.9995170764451783,1.0001791652317185,0.8693274905292924,1,Angel,57649.7526291,10.962158580756826
508,0.7869622795228649,0.8214300770186214,0.7846198872077477,4,Archway,29411.10724528072,10.28916167961984
509,0.8076543921912906,0.8501019669189016,0.7922066848914727,4,Arnos Grove,12838.801213037,9.460305095273407
510,0.7795247513301725,0.8137099693271029,0.7606147740752867,4,Arsenal,9476.03758149126,9.15662705500958
511,0.7351039335757854,0.7496284636582689,0.7311074022177726,2,Baker Street,75030.76102672383,11.225666783232267
512,0.8330448818161511,0.8865190813166666,0.8144809013218768,4,Balham LU,45341.0916581799,10.721991055731888
513,0.36887434725126994,0.3748927003272311,0.406402513556757,1,Bank and Monument,123963.7431025811,11.727752474339892
514,0.7932289796292948,0.7933077587244445,0.7715402257266173,4,Barking,69390.79412222427,11.147523899190187
515,0.6336395767575607,0.6572195326311743,0.6283784719505818,0,Barkingside,4761.892493370778,8.468610429345366
516,0.703028114888279,0.7571155972663696,0.7162247420287166,4,Barons Court,20384.78428750208,9.922593088268572
517,1.1123525396319067,1.112677795231378,1.0084080788155956,2,Bayswater,16717.59432058,9.72427681136882
518,0.6324132281232546,0.6377106977201266,0.6223352910117321,0,Becontree,10009.01991756841,9.211341862074361
519,0.7395206590769943,0.7621152940987311,0.7352623665983617,4,Belsize Park,18062.861970411308,9.801668645218271
520,0.9197338984095031,0.9821685401818767,0.8787181961695292,4,Bethnal Green LU,53180.23618422369,10.88146090981123
521,0.5376192094244548,0.5378856197415756,0.5645674622583212,2,Blackfriars LU,35737.95363923861,10.483996511262976
522,0.8140081796458517,0.8557553042730759,0.8065717073817045,4,Blackhorse Road,40149.85087683648,10.600398911599578
523,0.8755031251920741,0.8757050443772226,0.8427544502902071,3,King George V,5855.107481398567,8.675240409536677
524,0.7375944902654422,0.7492432476084014,0.7434612388568834,1,Bond Street,153076.62950538774,11.938700454087806
525,0.8829796394422516,0.8843127977319741,0.8038400316535564,2,Borough,17856.609618220005,9.790185005507837
526,0.8362006842500928,0.8795339914743496,0.8435524135309255,4,Boston Manor,4990.382503890155,8.515468205260753
527,0.7561632338523945,0.7960495573080036,0.755707180036234,4,Bounds Green,17652.05632646356,9.778664210342905
528,0.8216225232848932,0.8261126546803613,0.7893515354479266,4,Bow Road,18998.70603240848,9.852178786050384
529,0.7344192556304447,0.7574835978900646,0.7695299455893144,4,Brent Cross,6647.912770347756,8.802208627102644
530,0.8624137336975358,0.8678601643220716,0.8247534442235518,4,Bromley-by-Bow,15791.65384053436,9.667300164092156
531,0.7563627752523807,0.7792224861063087,0.7439660690119634,0,Buckhurst Hill,8184.041335866071,9.010063539989925
532,0.6955221696539434,0.717345380708643,0.7051655480812226,0,Burnt Oak,11079.60218075326,9.312951307267886
533,0.6490830363354395,0.649939930848518,0.6190563685030923,2,London City Airport,10490.789808579248,9.258348307291929
534,0.7897634269784524,0.8225472053934565,0.7374716393946429,4,Caledonian Road,17030.47117498809,9.74281815718265
535,1.4045596788438535,1.5210776091624547,1.2431715823586122,3,Camden Town,87890.99312374106,11.383863988781831
536,0.34885641161473047,0.3489065876049363,0.3745592901377519,1,Cannon Street LU,13879.225486608004,9.538220479361692
537,0.7305764873183377,0.7667233620927977,0.7485613473397238,4,Canons Park,8646.437054414151,9.06501826173472
538,0.7876915875732416,0.7900771374794272,0.7663523863640042,4,Pontoon Dock,12189.223321612755,9.40838954237418
539,0.6804428592251364,0.6859918502902977,0.6858937235675444,0,Chalfont & Latimer,5219.506636796215,8.560349733024484
540,0.8612796254755544,0.8854962288760546,0.8270662349866044,1,Chalk Farm,23358.99228246095,10.058780106568006
541,0.3303282857380648,0.3576337997278777,0.38080514331829945,1,Chancery Lane,23917.078064615074,10.082389856367188
