lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster
E01003604,True,134.68304,retained,-1
E01003605,True,1620.62126,retained,1
E01003607,True,599.90545,retained,0
E01003611,True,496.66144,retained,1
E01003615,True,582.58728,retained,1
E01003616,True,952.17097,retained,5
E01003618,True,183.12315,retained,5
E01003619,True,3411.99744,retained,4
E01003622,True,868.02594,retained,1
E01003623,True,164.03751,retained,0
E01003630,True,3084.45618,retained,2
E01003631,False,26.62023,at_least_one_direction_below_36,-1
E01003633,False,24.83088,at_least_one_direction_below_36,-1
E01003635,True,506.54061,retained,1
E01003636,True,1479.96665,retained,2
E01003638,False,28.3884,at_least_one_direction_below_36,-1
E01003639,True,53.58644,retained,-1
E01003640,True,509.68686,retained,0
E01003641,True,952.46173,retained,4
E01003643,True,134.00808,retained,6
E01003644,False,24.08707,at_least_one_direction_below_36,-1
E01003645,True,179.71084,retained,6
E01003646,True,66.93827999999999,retained,-1
E01003647,True,662.13306,retained,5
E01003648,True,229.16094,retained,6
E01003650,True,270.89722,retained,1
E01003651,True,231.52367,retained,6
E01003653,True,1035.37325,retained,2
E01003654,False,24.94976,at_least_one_direction_below_36,-1
E01003655,True,354.20918,retained,4
E01003656,True,60.74472,retained,-1
E01003657,True,252.19245,retained,0
E01003658,False,16.19745,at_least_one_direction_below_36,-1
E01003659,True,197.29181,retained,0
E01003660,False,4.291829999999999,at_least_one_direction_below_36,-1
E01003661,True,48.33901,retained,-1
E01003662,True,1657.59491,retained,2
E01003663,True,239.07026,retained,0
E01003665,True,105.66131,retained,-1
E01003666,False,6.09453,at_least_one_direction_below_36,-1
E01003668,True,45.95649,retained,-1
E01003670,True,147.76085,retained,-1
E01003672,True,292.80496,retained,6
E01003673,True,408.73722,retained,6
E01003674,True,278.23559,retained,2
E01003675,True,635.20678,retained,5
E01003676,False,0.3296499999999999,at_least_one_direction_below_36,-1
E01003677,True,77.47187,retained,-1
E01003679,False,13.4632,at_least_one_direction_below_36,-1
E01003680,True,56.07575,retained,-1
E01003681,True,563.93591,retained,6
E01003684,True,278.40372,retained,3
E01003686,True,396.9098,retained,1
E01003689,True,6029.18189,retained,2
E01003690,True,4061.61077,retained,2
E01003692,True,204.65885,retained,1
E01003693,True,138.9664,retained,0
E01003694,True,117.63002,retained,0
E01003695,True,321.0057,retained,0
E01003696,True,255.04069,retained,1
E01003699,False,7.132229999999999,at_least_one_direction_below_36,-1
E01003700,True,302.98406,retained,6
E01003701,True,1805.28242,retained,2
E01003702,True,157.49318,retained,1
E01003703,False,28.21922,at_least_one_direction_below_36,-1
E01003704,True,393.33559,retained,6
E01003705,True,177.80788,retained,6
E01003706,True,129.17917,retained,0
E01003707,False,6.59133,at_least_one_direction_below_36,-1
E01003708,True,147.38038,retained,0
E01003709,True,141.5437,retained,3
E01003710,True,292.89852,retained,6
E01003711,True,814.04697,retained,2
E01003713,True,130.24678,retained,-1
E01003714,True,158.39606,retained,1
E01003715,True,317.73907,retained,1
E01003716,True,78.37738,retained,-1
E01003719,True,1907.23952,retained,2
E01003720,True,753.35759,retained,1
E01003721,True,1084.59488,retained,4
E01003722,True,336.10932,retained,0
E01003723,True,91.06877,retained,-1
E01003724,True,68.67705,retained,-1
E01003726,True,123.73575,retained,-1
E01003727,False,6.63108,at_least_one_direction_below_36,-1
E01003729,True,1128.47755,retained,2
E01003733,True,740.05385,retained,2
E01003734,True,811.79229,retained,2
E01003735,True,535.89552,retained,2
E01003737,False,23.84823,at_least_one_direction_below_36,-1
E01003738,True,1274.88992,retained,1
E01003739,True,392.71874,retained,0
E01003740,True,407.8714,retained,6
E01003741,True,348.11401,retained,6
E01003743,True,169.06914,retained,1
E01003744,True,40.44534,retained,-1
E01003746,True,280.39857,retained,5
E01003750,True,496.34701,retained,6
E01003751,True,279.12769,retained,0
E01003752,True,50.74618,retained,-1
E01003754,True,252.75913,retained,0
E01003755,True,1034.48304,retained,0
E01003756,True,265.75706,retained,0
E01003759,False,23.23884,at_least_one_direction_below_36,-1
E01003760,True,119.41313,retained,-1
E01003761,True,129.52366,retained,0
E01003762,True,58.91041,retained,-1
E01003763,True,422.65231,retained,6
E01003764,True,704.36033,retained,2
E01003765,True,365.01691,retained,4
E01003767,True,1066.49698,retained,1
E01003769,True,1072.46777,retained,2
E01003770,True,890.17204,retained,0
E01003771,True,116.95376,retained,-1
E01003773,True,571.06852,retained,6
E01003774,True,37.73697,retained,-1
E01003775,True,50.99125,retained,-1
E01003776,True,61.87923,retained,-1
E01003777,False,21.06819,at_least_one_direction_below_36,-1
