cluster,A,B,C,D,E,F,G
0,0.08878660578753567,0.14996895129670565,0.20745561516344432,0.019001130187408385,0.06986466829641232,0.2178364541768057,0.247086575091688
1,0.07413673402496132,0.03483859658221189,0.10897435897435896,0.6221257173361822,0.14653577601699788,0.012473066149536737,0.0009157509157509158
2,0.13892574118965317,0.17045285626652723,0.03761109253506141,0.3097400191362159,0.25850955122814284,0.07080421803681859,0.013956521607580881
3,0.08132934999029942,0.16038959780343798,0.07163679607104906,0.23514156154486687,0.2952361547297515,0.15415125694150475,0.0021152829190904283
4,0.12132327048295119,0.1921753171234774,0.15004019793914658,0.1572306305774228,0.18658932058698902,0.13059138766072148,0.062049875629291505
