seed,bic_k3,bic_k4,bic_k5,k4_advantage_over_best_rival,k4_is_grid_optimum,grid,n_init
7,-381869.37421465386,-382888.1148796793,-382808.14507447847,79.96980520081706,True,A,20
42,-381868.59541304834,-399342.66708341485,-382766.40386091033,16576.263222504524,True,A,20
123,-381869.37421465386,-382965.89781006356,-382766.40386091033,199.49394915322773,True,A,20
999,-381869.37421465386,-399342.6956313312,-382831.82341349835,16510.87221783283,True,A,20
2026,-381869.37421465386,-399342.6956322673,-381789.5101695793,17473.32141761342,True,A,20
7,-381869.37421465386,-401814.36071602965,-382808.14507447847,19006.215641551185,True,B,100
42,-381869.37421465386,-399342.66708341485,-382851.8572467632,16490.809836651664,True,B,100
123,-381869.37421465386,-398062.27354339417,-382850.08213910065,15212.191404293524,True,B,100
