K,adopted_night_jaccard_mean,adopted_night_jaccard_min,metric_night_jaccard_mean,metric_night_jaccard_min
2,0.7923875432525952,0.7923875432525952,0.4114441416893733,0.4114441416893733
3,0.9447194719471949,0.9447194719471947,0.40130796670630203,0.40130796670630203
4,0.9952838427947597,0.9860262008733625,0.40314233610507877,0.4015990159901599
5,0.9844541484716156,0.9729257641921397,0.4010330472804891,0.3978960396039604
6,0.8871615720524018,0.8096069868995633,0.3952242022549152,0.3924731182795699
7,0.840349344978166,0.8323144104803494,0.3874244948970934,0.3838051349572087
