variable,C0 outer arrival-oriented,C1 central departure-oriented,"C2 central interchange, direction-balanced","C3 late-night, extended-duration persistent",C4 inner-middle ring mixed
imd_education,0.15317744261843594,-0.274304780840506,-0.16836014057963267,0.3481584463514672,1.8664196059363724e-05
imd_health,-0.520489924724973,0.21787761744889259,0.18996452648226106,0.7543828857045489,-0.04257934454816019
deprived_1plus_share,0.021045824619653854,-0.47488305702359884,-0.14005164579940316,0.2868791620362477,0.08670608823330693
social_rented_share,-0.6368230403887651,0.005994911411165426,0.3518647838992904,0.7364618322484945,-0.04127117974953516
no_car_household_share,-1.1120462257746577,1.017436610907533,0.6416348524610023,0.5245863691878804,-0.10215089291503522
age_20_34_share,-0.9772325007607746,0.9991989633713556,0.4630004181935973,0.7400530166519582,-0.1035833331989909
dependent_children_share,0.8183023525637999,-1.4349007334884594,-0.5800567473343682,-0.07041391206326991,0.1815729410926315
private_rented_share,-0.9266185553562227,1.209773601207277,0.3952354067464823,0.054493242574738934,0.00468144247501373
asian_share,0.051099327223028713,0.019374250217445727,-0.2207579088943587,0.3601593196293469,0.02615025655450143
black_share,-0.019084626133821996,-0.6915681978689571,-0.052850554511349825,0.3220626430074781,0.08493849148155165
unemployed_share,-0.3848852217946965,-0.5791797832688842,-0.07697197810617584,0.739918415755835,0.16715612659112555
accom_food_share,-0.6818290596942899,0.37502186001493987,-0.03451870048290457,0.6899351045888669,0.1383551252568257
transport_storage_share,0.3874255452242229,-0.11594821124976715,-0.4360769090292629,0.22388093588629004,0.03751108024452678
admin_support_share,0.18805653159203517,-0.6904036981515708,-0.38032233019057243,0.29804674655141783,0.17266956201554343
wholesale_retail_share,0.38901546095908546,-0.681967497309617,-0.3137041636173046,-0.08774171520734844,0.11681654643774604
health_social_share,0.5273594006572374,-1.1040779544939698,-0.32316430646498706,-0.0015766569044510024,0.10950739948165925
manufacturing_share,0.4978188801271628,-0.5319685120041304,-0.22003548686961666,-0.4695620300412619,0.06499629971326187
log1p_poi_count,-0.47682727391329943,2.3371491783948564,0.4221845496215025,-0.10722364666230753,-0.35734436834833827
shannon_group,-0.3697719848182691,0.12365950829853649,0.2675885965590432,0.6162626570110717,-0.1117926012697557
population_density,-0.6371702853143059,-0.45704098813124855,0.3646986673036916,0.35694263758528644,0.09450739681143298
