cluster,log_total_activity,direction_balance,post_2300_share,post_midnight_persistence,weekend_ratio
0,-0.7212297500885796,-0.21492182837172163,-0.7803344378901995,-0.6657720687824621,-0.319802886871461
1,0.688707558709592,0.21635551020142837,0.5115715838915377,0.5632672433078862,0.24382857727072058
2,-0.1673458484059359,-0.01950835986803018,0.0774957872942964,0.11870056871257402,-0.031246840534373932
3,-0.2889153996383933,-0.20239622387723777,-0.3409022781193483,-0.3715695632088945,-0.24788613440799737
