variable,"C0 low activity, weak night-persistence","C1 relatively high activity, stronger night-persistence","C2 moderate activity and persistence, transitional",C3 moderate activity with destination characteristics
imd_education,0.015859842861194018,0.11065627443276771,-0.13294721276033228,0.012389660768713062
imd_health,-0.12938214470401233,0.23893119654198647,-0.10516254013274229,-0.0816751523967858
deprived_1plus_share,-0.032487030210018863,0.16137095616864405,-0.13414705138042082,-0.015579849978229032
social_rented_share,-0.14879870075709734,0.23245683168611886,-0.07534080995574988,-0.09693091180778213
no_car_household_share,-0.421559877892138,0.5321695003775928,-0.09383279715208115,-0.2582340032854372
age_20_34_share,-0.37472803357251283,0.47758321746761045,-0.09717641751149908,-0.21563341151090532
dependent_children_share,0.2601047592039636,-0.24250440917107585,-0.036021031133548376,0.16760492122867432
private_rented_share,-0.35351882257899236,0.4267607080709199,-0.0471906878293189,-0.23396060938922536
asian_share,0.012141677529436734,0.10542173162597046,-0.10560116038301048,-0.01733142342556304
black_share,-0.057109375186176314,0.17220587162783696,-0.12627412108182756,-0.019154123619522623
unemployed_share,-0.16628259724661543,0.2693178155605902,-0.08820228761684079,-0.11724656612437157
accom_food_share,-0.2733950704074313,0.37775676118643364,-0.09050413434958482,-0.17357585698452282
transport_storage_share,0.15593178736455293,-0.07674741586109601,-0.08430079081007702,0.0881551082610934
admin_support_share,0.015202714779007254,0.11986005145928069,-0.12653163361585595,-0.01126152871788777
wholesale_retail_share,0.10082418040697849,-0.01113173560187053,-0.1050291348953335,0.07357721767011038
health_social_share,0.1087555912484599,-0.06751148658663109,-0.06563254699704812,0.09400110834026054
manufacturing_share,0.11345140588472202,-0.12058426123936716,0.005100122651966688,0.0646251434904801
log1p_poi_count,-0.30617223785772674,0.46516617614883504,-0.1384152104609111,-0.20412510390689942
shannon_group,-0.24394226805106412,0.2349713727363052,-0.03076001368010073,-0.07033012706329411
population_density,-0.23820446156009234,0.23500862229185926,-0.0057299570758542195,-0.11464023473063378
