metric,kruskal_h,df,p_value,epsilon_squared,n,p_fdr_bh,mode
imd_score,204.1592413295988,3,5.326236356390392e-44,0.05953218151216301,3383,5.326236356390392e-44,bus
imd_score,21.50565936798624,4,0.00025133203404329287,0.04582633342404775,387,0.00025133203404329287,rail
