NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit,easting,northing,lon,lat,coord_source,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason
500,20020.017376020103,9.904537869561045,-0.4042366511243259,0.1748834720400288,0.0478428670795634,0.0856030654478587,0.0439520951913644,0.0754671459637347,0.8606663913080502,high,4,Acton Town,LU,5963.59629824346,14056.421077776648,519477.6064,179592.1471,-0.2800217640856027,51.50264555083834,underground_stations_csv,1231702.4429543123,True,0.0002784640214610489,0.37175371272309177,0.0,0.29202738108978626,0.3359404421656609,0.0,0.0,1231702.4429543177,1.0000000000000044,True,2,0.5632574842229449,
501,17385.19949178,9.763432037850183,0.2714045770053398,0.0810999149136391,0.0196241072362688,0.0030242846023453,0.0015360510867089,0.0289725246312853,0.5786905917405434,medium,2,Barbican,LU,11051.811102999998,6333.388388780002,532004.2025,181856.329700001,-0.0987999629121527,51.520208600153815,underground_stations_csv,506176.4778921927,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,506176.4778921934,1.0000000000000013,True,1,-0.0,
502,25375.977887714907,10.14159765962032,-0.0347998518544436,0.1050819505156647,0.0252125253540988,0.0011259831342128,0.0006462421717327,0.0379643771206456,0.718626561852749,high,2,Aldgate,LU,12246.448808280393,13129.529079434513,533613.1509,181262.295499999,-0.0758489668880275,51.51449244157986,underground_stations_csv,290636.5934304191,True,0.9623054982957545,0.037694501704245424,0.0,0.0,0.0,0.0,0.0,290636.5934303945,0.9999999999999153,True,1,0.08250464585505898,
503,51676.2732564,10.852773374997954,-0.0244787692085233,0.1258288250729206,0.0357460228481148,0.0055808327194924,0.0033319312816095,0.0567115139724642,0.9715872266803496,high,2,Aldgate East,LU,25205.65084489999,26470.6224115,533936.1921,181374.788000001,-0.07115364166807,51.51542691621208,underground_stations_csv,525377.6255496435,True,0.6033583831515508,0.39664161684844934,0.0,0.0,0.0,0.0,0.0,525377.6255496411,0.9999999999999953,True,1,0.345147714370274,
504,17004.30055732119,9.7412803719291,-0.1406607616488786,0.2667176403321278,0.1423957912181667,0.0074236059799021,0.0063382406714273,0.2679403579262617,0.8338349816284116,medium,3,Stratford International DLR,DLR,7306.23134481097,9698.069212510216,538214.2,184786.0,-0.008202,51.54505,naptan_rse_tmu,1034454.611946668,True,0.511478182277623,0.08375981065143219,0.015277911456516894,0.3894840956144279,0.0,0.0,0.0,1034454.6119466705,1.0000000000000024,True,1,0.5045288630904969,
505,9844.40784943342,9.194760417277964,-0.445756849584725,0.1249462443180076,0.0418735033586676,0.0126601953871513,0.0078973250371204,0.0618501173884954,0.6830609290046609,medium,0,Alperton,LU,2728.0978102214176,7116.310039212001,517996.164,183795.164000001,-0.299949349972513,51.540730963558445,underground_stations_csv,1805377.1462870107,True,0.0,0.11237491855519416,0.02203477086563012,0.7066091507607548,0.1525901138749586,0.006391045943462326,0.0,1805377.1462870128,1.000000000000001,True,4,0.45955849234236706,
506,6726.80084282051,8.814003599969194,-0.6804064652314571,0.1473900473356061,0.0611649913468232,0.0196468677975107,0.0127133931618293,0.0908015876210264,0.632739216497464,low,0,Amersham,LU,1074.9210295205105,5651.8798133,496371.5781,198181.3279,-0.6077052134228341,51.674145407023566,underground_stations_csv,2007391.033949385,False,,,,,,,,,,False,,,no LNWC-covered catchment area
507,57649.7526291,10.962158580756826,0.1010869824159205,0.1256461478282857,0.0333334412160701,0.0016221041040503,0.0010401452267417,0.0541395500013579,0.9995170764451784,high,1,Angel,LU,31738.6960797,25911.0565494,531560.5615,183099.9257,-0.1047264384023203,51.53148758749647,underground_stations_csv,1744083.0416587647,True,0.6101522620650413,0.3822979074188436,0.0,0.007549830516115075,0.0,0.0,0.0,1744083.0416587521,0.9999999999999928,True,1,0.36277854603577125,
508,29411.10724528071,10.28916167961984,-0.3228278045251127,0.1471867270725261,0.0385168401682111,0.0535156528883775,0.0255376330749552,0.0594346891371752,0.7869622795228649,high,4,Archway,LU,9958.19203231706,19452.91521296366,529363.5176,186721.2423,-0.1350520245238837,51.56453819250787,underground_stations_csv,1065454.843219534,True,0.05492011933035514,0.7476576147576551,0.12343092923905669,3.046030657303002e-06,0.07398829064227579,0.0,0.0,1065454.8432195575,1.000000000000022,True,2,0.42536256552338036,
509,12838.801213037006,9.460305095273409,-0.5136177944530995,0.1645031480994017,0.0473234208235082,0.0706297407645615,0.0357158069306186,0.0728189197409532,0.8076543921912906,medium,4,Arnos Grove,LU,3122.28222528758,9716.51898774942,529355.1742,192497.914799999,-0.1330451742909319,51.61645247794506,underground_stations_csv,1866175.6874052533,True,0.0,0.0,0.0,0.055354853408868046,0.7740056169445595,0.1706395296465725,0.0,1866175.687405239,0.9999999999999923,True,5,0.3392774189571216,
510,9476.03758149126,9.15662705500958,-0.4114243059201732,0.1591433835651731,0.0416753791554409,0.0589532698304804,0.0281155675435195,0.0658047065624402,0.7795247513301725,medium,4,Arsenal,LU,2788.682698326369,6687.3548831648895,531305.0253,186112.096899999,-0.1072853032769284,51.55861585603557,underground_stations_csv,1076994.4512768188,True,0.012405435967405478,0.6685728708955363,0.31902169313705825,0.0,0.0,0.0,0.0,1076994.451276804,0.9999999999999863,True,2,0.3536187245100702,
511,75030.76102672385,11.225666783232269,0.3622115629022567,0.1172525856390728,0.0309190431703475,0.0285076311505231,0.0136539997478299,0.045736296897985,0.7351039335757854,high,2,Baker Street,LU,51103.88512197959,23926.87590474425,527954.6729,182063.567500001,-0.1570581597729946,51.5230020037108,underground_stations_csv,826930.1649370067,True,0.3761614104903645,0.0,0.0,0.6238385895096354,0.0,0.0,0.0,826930.1649370403,1.0000000000000406,True,4,0.3402796579810559,
512,45341.09165817992,10.721991055731888,-0.2734990845390407,0.1570646322691073,0.0422643080748414,0.0675715701991157,0.0342980506863984,0.0639307447376751,0.8330448818161511,high,4,Balham LU,LU,16470.17229883347,28870.91935934644,528480.3274,173244.480799999,-0.1526912294756308,51.44362737290878,underground_stations_csv,1550139.7748050364,True,0.0,0.31683852642961025,0.24765670234361234,0.24064173554489487,0.08498114784535342,0.10988188783652912,0.0,1550139.7748050394,1.000000000000002,True,2,0.7732961474975009,
513,123963.74310258112,11.727752474339892,0.4748658002295345,0.1046785428325625,0.0316963767675859,0.019706374035511,0.0079869830706521,0.0445810634212127,0.3688743472512699,high,1,Bank and Monument,"DLR,LU",91414.94258521836,32548.80051736275,532710.1551,181119.8978,-0.088908087271181,51.513425435909184,underground_stations_csv,270882.80513192236,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,270882.80513192236,1.0,True,1,-0.0,
514,69390.79412222424,11.147523899190189,-0.457024645922826,0.1338571657874689,0.0434653215271612,0.0171419569191642,0.0128497330856328,0.0668130160098733,0.7932289796292948,high,4,Barking,"LO,LU",18838.745504105504,50552.048618118766,544358.8052,184382.179,0.080182080144555,51.539885097485445,underground_stations_csv,1986932.0038579528,True,0.1945652596464581,0.13890377101208556,0.1110711135871772,0.4146639761087174,0.14079587964556176,0.0,0.0,1986932.0038579472,0.9999999999999972,True,4,0.7594529393331162,
515,4761.8924933707785,8.468610429345366,-0.6985312262106093,0.1483273423941771,0.0511553079372187,0.0618815726544248,0.0320571746112488,0.0745695305382272,0.6336395767575607,low,0,Barkingside,LU,717.7809454466961,4044.111547924081,544798.7557,189493.9487,0.0886252042343672,51.58570377518845,underground_stations_csv,1622174.0786462568,True,0.0,0.0,0.03849237562414775,0.05054173285502378,0.7046298479104656,0.12538036230948557,0.08095568130087741,1622174.0786462468,0.9999999999999938,True,5,0.507102275899891,
516,20384.784287502065,9.922593088268572,-0.2735829559955752,0.1646991827852925,0.0425489722815002,0.089181449875139,0.0423661674967574,0.0663516325465069,0.703028114888279,high,4,Barons Court,LU,7403.927372397547,12980.856915104529,524045.7583,178327.6646,-0.2146840501234848,51.49029837209941,underground_stations_csv,844102.373359655,True,0.2112569278796086,0.6622471026142644,0.12649596950612688,0.0,0.0,0.0,0.0,844102.3733596635,1.00000000000001,True,2,0.44344083954269364,
