cluster,stations,eligible_stations,eligibility_rate,mean_total_activity,mean_lnwc_entropy,mean_lnwc_coverage
0,89,75,0.8426966292134831,9721.390485107402,0.5461966189728145,0.9777953173355204
1,26,26,1.0,81310.95106016632,0.10655213612263946,0.9337342997325186
2,90,90,1.0,47288.97563078578,0.38588575645666723,0.9714110016583665
3,31,31,1.0,26577.988266861303,0.45808724060167944,0.9535437847924776
4,167,167,1.0,23356.317836849852,0.5392279813460158,0.9803735318998656
