lsoa21cd,lnc_grp,cluster,max_posterior,entropy,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,volume_band,tot_boardings,tot_alightings,distance_to_centre_km
E01000001,1,1,1.0,5.036394846282373e-17,2786.14103,7.932771629000378,0.2576753661317711,0.1137794629154145,0.0628047425151339,0.192616695694358,0.618916772307786,high,1752.0304699999997,1034.11056,2.3797048735499833
E01000002,1,2,1.0,2.515532044093877e-24,104.74833,4.661062025839518,0.3690230670025957,0.0445834315449229,0.0406900997848844,0.0784923678171274,1.096502696494131,low,71.70143999999999,33.04689,2.663313677252293
E01000005,1,1,1.0,2.3353178453779562e-20,12380.10901,9.423927123001912,-0.0272503311342005,0.1544194019984643,0.0886642734012565,0.3008541196971855,0.8320712320605262,high,6021.373470000001,6358.735539999999,3.549148304810311
E01000007,1,1,0.9999999954641794,9.16747245725526e-08,10134.6106,9.2238103037413,0.3325205765675891,0.1819672449970598,0.1064141684930647,0.3369050458936069,0.8278088962982468,high,6752.28858,3382.3220200000005,14.560370280673798
E01000009,2,1,1.0,1.2096882880581957e-21,12366.52623,9.422829463980957,-0.0895152292091972,0.1795897448235955,0.1217674213431883,0.3267291805978071,0.8848026893887314,high,5629.766900000001,6736.759330000002,15.020524651212993
E01000011,4,1,0.9920929806215067,0.0461456846890628,660.67767,6.494778534037831,0.090198492708252,0.0466275332114675,0.0258515472454215,0.0769624272600823,0.867742887113613,medium,360.1349,300.5427700000001,14.901101881798308
E01000012,4,1,1.0,1.1593630583289513e-18,1509.22083,7.32001116414932,-0.3984554533348178,0.078469225739483,0.049829175760846,0.1267731056837961,0.7988560963902472,high,453.93178000000006,1055.28905,14.418253551492136
E01000013,4,1,0.9999999990916422,1.982028143727089e-08,4766.06251,8.469485568187865,0.1967504765270064,0.0924474928886318,0.0653362433553142,0.1439357080495904,0.6387898618772582,high,2851.8937899999987,1914.16872,19.338684230284482
E01000015,4,0,1.0,-0.0,1.81088,1.03349760157881,0.6983566001060257,0.0,0.0,0.0,4.986185167232188,low,1.53776,0.27312,20.001851628783356
E01000016,5,2,1.0,1.1848877370892279e-25,110.70556,4.715866481022575,0.094881955341719,0.2310862254795513,0.2239018528066702,0.3706612258168555,0.7483064703454714,low,60.60476,50.10079999999999,19.902092932755494
E01000017,5,1,0.999999999994884,1.376910042284159e-10,1268.87044,7.146670158500645,-0.2459897954593378,0.1132413960246406,0.0890416912856761,0.1737420193883827,0.6823637426593248,high,478.37063000000006,790.49981,19.476830722430932
E01000018,4,2,1.0,5.5926569403488205e-14,239.47937,5.482634306240754,-0.318624982185313,0.0656000974113135,0.0416696436106375,0.1063507636975467,0.8243564096463923,low,81.58763000000002,157.89174000000003,19.78413586550135
E01000019,5,2,0.9864316754715468,0.071819885599455,232.41289,5.452808945405474,-0.0631017066222102,0.1407925782429709,0.1228686584466119,0.2267483252352473,0.6825466306617132,low,108.87362000000002,123.53927,18.06251311656905
E01000020,4,2,1.0,7.047075820407586e-17,343.35764,5.841680768473204,-0.1475875125423159,0.0578450795502904,0.0523865436633359,0.0856658896810376,0.7978333261516573,low,146.34117,197.01647,18.24459476603495
