lnwc_group,metric,n,median,q25,q75,mean
1,log_total_activity,260,7.618949585058209,6.551358413725524,8.628583385152506,7.527262831808854
1,post_midnight_share,260,0.1227151258078771,0.09106935081167467,0.169230761220727,0.13460347159196184
1,direction_balance,260,0.0150143899876132,-0.11143218643750502,0.17980106269005264,0.027757730130004498
1,weekend_ratio,260,0.8352735327712272,0.7708009391539621,0.9106202490360006,0.8404528455021213
1,deep_night_share,260,0.06534379074706351,0.04280428865118348,0.09532218929716367,0.07309761024896241
2,log_total_activity,768,7.08496352163662,6.120716248788998,7.92024773189156,6.9837023468700705
2,post_midnight_share,768,0.1057412315556551,0.07584278909939426,0.14051583320071118,0.11284539589339743
2,direction_balance,768,-0.0708477152585365,-0.2350569865926067,0.09101357420498637,-0.06770218637317142
2,weekend_ratio,768,0.8265378938058929,0.766383795897065,0.9016449378822381,0.8488571852698653
2,deep_night_share,768,0.053509167920116,0.0338289981067982,0.079030119683348,0.06175623015549886
3,log_total_activity,534,6.723707643386447,5.838609547778249,7.681953049661751,6.672581004484624
3,post_midnight_share,534,0.1037313013527075,0.07325202987233098,0.14030625579789865,0.11097779051915728
3,direction_balance,534,-0.10446930748815944,-0.27421314659637114,0.07263223835056533,-0.10514112184845816
3,weekend_ratio,534,0.8059350071740266,0.7462629995486976,0.8777474003689609,0.8231750169134292
3,deep_night_share,534,0.0559881521567375,0.034627934344851924,0.0886513047538415,0.06744003233151406
4,log_total_activity,641,6.770210265403377,5.792889423844295,7.557738902786823,6.600030662030493
4,post_midnight_share,641,0.1072349357322789,0.0728209957241586,0.1413184235714491,0.11229120060116839
4,direction_balance,641,-0.1299549181779127,-0.2777462763868219,0.0394943857616855,-0.11473762449529148
4,weekend_ratio,641,0.7912174160802181,0.7330733866360374,0.848869829171493,0.8009128318362284
4,deep_night_share,641,0.0623021252776514,0.0372834125674115,0.0920265372005526,0.06985234485622756
5,log_total_activity,1036,6.181852690351818,5.405938706929382,7.015481229467837,6.131993336588865
5,post_midnight_share,1036,0.0934598416450709,0.06296036462342533,0.12671965430949228,0.09960633990506627
5,direction_balance,1036,-0.18857823223469478,-0.3232804591538678,-0.01776555398847445,-0.15888848922676693
5,weekend_ratio,1036,0.7510645849516706,0.6938250643143165,0.8123582069314316,0.7563667211424273
5,deep_night_share,1036,0.056524709995521547,0.03190485338126512,0.08889755524623848,0.06605193374158845
6,log_total_activity,555,6.013696916267656,5.159811400866664,6.743501151239469,5.894839490215629
6,post_midnight_share,555,0.0813508904972806,0.053182209861463,0.12103303584357594,0.08902444185776996
6,direction_balance,555,-0.175178312691624,-0.3274291415045629,-0.00644562235096925,-0.15406592976394806
6,weekend_ratio,555,0.7456899499679416,0.6799901214372456,0.8053108885405689,0.7471507807834834
6,deep_night_share,555,0.0509451922747018,0.0260583976900671,0.0809280514306636,0.05842349056272346
7,log_total_activity,306,5.313581065994652,4.502300412866578,6.06377137752465,5.258248525541978
7,post_midnight_share,306,0.06014069189132365,0.03021248303364545,0.09794846315551972,0.06923769664296682
7,direction_balance,306,-0.18591591470570695,-0.3520083450813434,-0.003989307558864975,-0.15874790197474947
7,weekend_ratio,306,0.723818351320663,0.6327025034776363,0.7909664087230168,0.7244364834464794
7,deep_night_share,306,0.03653069942671145,0.013115121314345451,0.06685150015950513,0.046392626098768604
