lsoa,total_activity,tot_boardings_Weekday,tot_boardings_Saturday,tot_boardings_Sunday,tot_boardings,tv_boardings,tot_alightings_Weekday,tot_alightings_Saturday,tot_alightings_Sunday,tot_alightings,tv_alightings
E01000001,2639.39277,854.1910999999999,499.51659000000006,388.79609999999997,1742.5037899999995,0.00039343426934924735,351.25649999999996,332.81432,212.81816,896.88898,0.00039361558929611813
E01000002,186.04697,3.4571999999999994,13.71861,3.13185,20.307660000000006,0.09278238413708963,46.66832,68.14139999999999,50.92959,165.73931,0.004506816067763738
E01000005,12380.10901,2426.8226500000005,1975.8019,1618.74892,6021.37347,7.967960372313185e-05,2220.1169100000006,2261.76558,1876.8530500000002,6358.735539999999,7.828491060158391e-05
E01000007,135.92386,12.069919999999998,7.15475,12.99139,32.21606,0.038557315630843456,41.55949,31.917540000000002,30.23077,103.70779999999996,0.006925463349720503
E01000008,422.68066,45.57725,32.25834,43.25626,121.09185000000002,0.012523573717920664,127.27691999999999,102.44972999999999,71.86215999999999,301.5888100000001,0.002227995290998439
E01000009,31483.76693,6624.805899999999,5821.18123,5029.271699999999,17475.25883,2.302738756410018e-05,5091.9141899999995,4554.59262,4362.001289999999,14008.5081,4.419306270242885e-05
E01000011,440.40113,62.91236,71.69189999999999,52.47741,187.08167000000003,0.007646405413312542,92.05456000000002,100.07107,61.19383,253.31946,0.0033328359832269523
E01000013,7928.70168,2140.42508,1312.7527599999999,1077.0565,4530.23434,0.00014560399943029428,1376.0470100000002,1050.84227,971.57806,3398.467340000001,0.0001953985043093882
E01000017,1630.97699,254.97524999999996,168.29629,194.59253,617.86407,0.0014450762670063415,422.32699999999994,339.20354000000003,251.58238000000003,1013.1129199999998,0.0005147939735475847
E01000019,211.85787,42.72685,25.318730000000002,30.220439999999996,98.26602000000003,0.011926328122561844,51.4771,36.79119,25.323559999999997,113.59185000000001,0.007079275798024509
E01000020,106.56273,15.958489999999998,10.18289,9.68106,35.82244000000001,0.03594823358434158,31.037480000000002,24.03379,15.669019999999998,70.74029,0.010474853752353627
E01000021,529.83531,99.68038,77.94894,52.03586,229.66518,0.003989250331107342,118.84242,108.48648999999999,72.84122000000002,300.17013,0.001956377530649118
E01000024,2780.44804,385.78909000000004,345.3637,354.84841,1086.0012000000002,0.0009624725136014641,698.3835700000001,563.3733199999998,432.68994999999995,1694.4468400000003,0.00019797311852478205
E01000027,1813.19829,239.34363,243.62427999999997,194.97179,677.9397000000001,0.0008079468909279753,486.05170000000004,400.41981000000004,248.78707999999997,1135.2585900000001,0.0004512810771947257
E01000029,1086.15141,142.20154000000002,107.28743999999999,120.19595999999999,369.68494,0.004107757421035961,316.88730999999996,226.06161999999998,173.51754,716.4664700000001,0.0007481252844198712
E01000030,586.74213,64.71392,49.36125,55.54821999999999,169.62338999999997,0.006482837362615854,179.20217999999997,149.05797999999996,88.85857999999999,417.11873999999995,0.0015385840240315623
E01000031,326.12029,55.20652,36.2125,39.41295,130.83196999999998,0.007527203180818368,91.16917,59.76659999999999,44.35255,195.28832,0.0036482968133446244
E01000032,1031.2933,217.90267999999998,191.00375,127.50978,536.4162100000002,0.0014317935395719828,198.44459999999995,177.46101999999996,118.97147,494.87709000000007,0.0012479597974552484
