unit,cluster
E01000001,0
E01000005,0
E01000008,9
E01000009,0
E01000011,1
E01000013,3
E01000017,3
E01000019,9
E01000021,9
E01000024,8
E01000027,7
E01000029,3
E01000030,7
E01000031,7
E01000032,8
E01000034,7
E01000035,3
E01000036,7
E01000038,7
E01000040,9
E01000041,7
E01000042,9
E01000043,9
E01000045,7
E01000049,9
E01000050,8
E01000052,5
E01000057,7
E01000058,9
E01000060,8
E01000061,8
E01000062,7
E01000063,10
E01000064,7
E01000065,3
E01000067,8
E01000068,1
E01000070,8
E01000071,9
E01000072,9
E01000073,9
E01000074,9
E01000075,3
E01000077,7
E01000078,7
E01000079,9
E01000080,9
E01000082,10
E01000083,8
E01000084,3
E01000085,9
E01000086,3
E01000087,3
E01000088,3
E01000090,7
E01000091,8
E01000093,8
E01000094,8
E01000095,6
E01000096,9
E01000097,7
E01000098,10
E01000099,8
E01000101,8
E01000104,7
E01000105,9
E01000106,9
E01000110,5
E01000111,9
E01000112,8
E01000113,6
E01000114,8
E01000118,7
E01000120,7
E01000121,9
E01000123,9
E01000124,7
E01000126,8
E01000127,10
E01000128,5
E01000129,0
E01000130,10
E01000131,1
E01000133,3
E01000134,7
E01000135,1
E01000136,1
E01000138,10
E01000139,0
E01000140,0
E01000141,0
E01000143,7
E01000144,1
E01000146,0
E01000150,8
E01000151,8
E01000152,9
E01000154,8
E01000156,8
E01000160,7
E01000161,8
E01000162,0
E01000164,8
E01000170,9
E01000171,3
E01000172,7
E01000173,7
E01000174,7
E01000175,9
E01000176,7
E01000178,8
E01000180,1
E01000181,1
E01000182,0
E01000183,10
E01000184,1
E01000185,1
E01000186,1
E01000188,9
E01000191,5
E01000192,4
E01000193,0
E01000194,0
E01000196,0
E01000197,1
E01000198,9
E01000200,9
E01000201,1
E01000202,5
E01000203,8
E01000205,1
E01000206,7
E01000208,0
E01000210,1
E01000211,0
E01000213,9
E01000214,0
E01000215,1
E01000218,0
E01000219,1
E01000221,0
E01000222,8
E01000223,0
E01000224,7
E01000226,7
E01000227,7
E01000228,9
E01000229,10
E01000231,10
E01000232,5
E01000233,3
E01000234,7
E01000235,3
E01000236,1
E01000237,0
E01000239,8
E01000240,10
E01000242,7
E01000243,3
E01000244,3
E01000246,9
E01000248,0
E01000250,0
E01000251,3
E01000252,9
E01000253,9
E01000255,7
E01000256,1
E01000257,7
E01000258,5
E01000259,7
E01000260,10
E01000261,3
E01000263,1
E01000264,0
E01000265,3
E01000266,7
E01000268,0
E01000269,1
E01000271,1
E01000273,0
E01000274,3
E01000278,7
E01000279,9
E01000281,0
E01000282,9
E01000284,1
E01000285,7
E01000286,7
E01000288,1
E01000289,7
E01000290,9
E01000292,7
E01000296,0
E01000297,9
E01000298,0
E01000299,0
E01000301,7
E01000302,8
E01000305,8
E01000307,0
E01000309,10
E01000313,8
E01000314,2
E01000315,9
E01000316,0
E01000318,1
E01000321,8
E01000323,0
E01000324,10
E01000325,4
E01000326,3
E01000327,1
E01000329,7
E01000330,1
E01000331,10
E01000332,7
E01000333,3
E01000334,7
E01000335,6
E01000336,7
E01000338,7
E01000340,10
E01000343,10
E01000344,7
E01000345,3
E01000347,8
E01000349,1
E01000350,3
E01000352,5
E01000353,9
E01000354,3
E01000356,3
E01000358,9
E01000359,9
E01000360,0
E01000362,0
E01000363,9
E01000367,10
E01000369,5
E01000370,8
E01000374,9
E01000375,5
E01000383,9
E01000384,5
E01000385,9
E01000386,8
E01000389,8
E01000392,0
E01000394,1
E01000398,3
E01000399,10
E01000400,3
E01000402,7
E01000403,6
E01000404,7
E01000405,6
E01000406,3
E01000407,7
E01000408,6
E01000409,3
E01000412,7
E01000413,8
E01000414,0
E01000416,6
E01000417,7
E01000418,5
E01000420,3
E01000421,3
E01000422,8
E01000423,1
E01000426,1
E01000427,10
E01000428,0
E01000429,10
E01000430,10
E01000431,9
E01000433,8
E01000434,8
E01000436,7
E01000439,5
E01000441,1
E01000442,3
E01000443,7
E01000444,7
E01000445,7
E01000447,0
E01000448,1
E01000450,3
E01000451,3
E01000454,3
E01000455,7
E01000457,0
E01000459,1
E01000461,7
E01000462,3
E01000463,3
E01000465,7
E01000466,7
E01000467,8
E01000469,10
E01000470,10
E01000472,8
E01000473,0
E01000475,10
E01000476,7
E01000477,7
E01000478,7
E01000479,8
E01000480,9
E01000481,0
E01000483,8
E01000485,3
E01000487,7
E01000489,1
E01000491,9
E01000493,8
E01000494,8
E01000495,10
E01000497,0
E01000498,5
E01000499,7
E01000501,7
E01000502,9
E01000506,10
E01000507,3
E01000508,0
E01000510,0
E01000511,2
E01000512,5
E01000513,8
E01000515,0
E01000516,0
E01000518,8
E01000519,8
E01000520,7
E01000521,8
E01000523,0
E01000524,0
E01000525,8
E01000526,8
E01000528,1
E01000530,7
E01000531,1
E01000532,10
E01000533,8
E01000535,0
E01000541,3
E01000543,0
E01000544,1
E01000545,0
E01000547,1
E01000548,0
E01000550,0
E01000551,1
E01000552,1
E01000553,1
E01000554,1
E01000555,7
E01000556,8
E01000557,8
E01000563,10
E01000564,7
E01000565,8
E01000568,0
E01000571,3
E01000574,9
E01000575,7
E01000576,7
E01000577,3
E01000578,1
E01000580,1
E01000581,0
E01000583,0
E01000586,0
E01000587,7
E01000589,1
E01000590,7
E01000591,1
E01000592,8
E01000594,0
E01000595,9
E01000596,7
E01000599,8
E01000601,7
E01000602,3
E01000603,6
E01000604,7
E01000605,8
E01000606,7
E01000608,0
E01000609,7
E01000612,0
E01000615,9
E01000616,1
E01000620,8
E01000621,8
E01000622,7
E01000623,8
E01000625,2
E01000626,8
E01000627,8
E01000628,0
E01000633,0
E01000634,8
E01000636,8
E01000638,0
E01000640,0
E01000642,0
E01000643,8
E01000646,7
E01000648,9
E01000649,7
E01000650,9
E01000651,9
E01000653,9
E01000656,9
E01000657,9
E01000659,9
E01000661,8
E01000662,1
E01000663,1
E01000665,3
E01000666,9
E01000667,3
E01000668,8
E01000670,2
E01000671,1
E01000672,5
E01000673,9
E01000674,5
E01000676,0
E01000677,3
E01000678,1
E01000679,9
E01000682,3
E01000683,7
E01000684,9
E01000685,9
E01000686,3
E01000687,9
E01000690,9
E01000691,10
E01000692,4
E01000693,3
E01000694,9
E01000696,1
E01000697,3
E01000698,9
E01000699,3
E01000700,9
E01000702,1
E01000703,0
E01000704,9
E01000705,3
E01000706,7
E01000707,7
E01000708,3
E01000710,9
E01000712,3
E01000714,0
E01000715,9
E01000716,9
E01000717,9
E01000718,3
E01000719,3
E01000722,8
E01000727,8
E01000728,1
E01000730,0
E01000732,9
E01000735,7
E01000736,9
E01000737,9
E01000738,3
E01000741,0
E01000742,9
E01000743,0
E01000744,5
E01000745,1
E01000747,9
E01000751,3
E01000752,3
E01000753,9
E01000754,4
E01000755,1
E01000756,3
E01000757,1
E01000760,1
E01000761,9
E01000762,3
E01000763,1
E01000765,4
E01000766,9
E01000767,4
E01000769,3
E01000770,1
E01000771,3
E01000772,1
E01000773,9
E01000774,3
E01000775,3
E01000777,7
E01000778,3
E01000779,7
E01000780,3
E01000781,8
E01000782,10
E01000784,7
E01000785,9
E01000787,9
E01000788,1
E01000789,7
E01000790,0
E01000791,9
E01000794,7
E01000795,9
E01000797,1
E01000798,10
E01000799,0
E01000801,8
E01000802,3
E01000805,7
E01000806,8
E01000807,0
E01000809,7
E01000813,1
E01000819,3
E01000820,9
E01000824,8
E01000827,1
E01000828,7
E01000832,9
E01000834,9
E01000835,0
E01000838,1
E01000841,1
E01000843,9
E01000846,1
E01000847,1
E01000848,1
E01000849,0
E01000850,2
E01000855,2
E01000856,0
E01000858,0
E01000861,0
E01000862,7
E01000863,0
E01000867,0
E01000868,1
E01000869,0
E01000871,1
E01000872,0
E01000873,9
E01000874,1
E01000875,8
E01000876,0
E01000877,1
E01000879,9
E01000880,4
E01000881,1
E01000883,0
E01000884,1
E01000886,9
E01000887,0
E01000888,1
E01000890,10
E01000895,1
E01000896,1
E01000898,0
E01000899,1
E01000900,8
E01000902,9
E01000904,0
E01000905,1
E01000906,8
E01000908,9
E01000909,1
E01000912,0
E01000913,1
E01000914,0
E01000916,2
E01000917,1
E01000918,2
E01000919,2
E01000920,3
E01000921,1
E01000922,8
E01000924,10
E01000926,8
E01000927,0
E01000928,8
E01000929,8
E01000930,0
E01000931,0
E01000932,1
E01000933,0
E01000934,2
E01000935,10
E01000938,1
E01000939,0
E01000942,0
E01000946,0
E01000947,8
E01000948,4
E01000954,1
E01000956,0
E01000958,1
E01000959,1
E01000960,1
E01000963,0
E01000969,0
E01000972,0
E01000973,0
E01000974,0
E01000975,3
E01000976,3
E01000977,7
E01000978,1
E01000979,7
E01000980,9
E01000981,3
E01000982,7
E01000983,3
E01000984,3
E01000985,9
E01000992,3
E01000993,7
E01000994,7
E01000995,8
E01000997,8
E01000998,7
E01001000,8
E01001003,9
E01001004,9
E01001006,10
E01001008,10
E01001010,4
E01001011,0
E01001013,0
E01001015,1
E01001016,7
E01001018,1
E01001019,3
E01001020,5
E01001021,1
E01001023,0
E01001026,9
E01001027,9
E01001029,1
E01001032,7
E01001033,8
E01001034,9
E01001035,10
E01001036,5
E01001037,10
E01001038,1
E01001040,10
E01001041,8
E01001042,0
E01001044,10
E01001047,9
E01001049,10
E01001050,8
E01001051,10
E01001052,10
E01001053,10
E01001054,10
E01001055,10
E01001058,9
E01001059,9
E01001060,9
E01001061,10
E01001062,1
E01001063,8
E01001064,8
E01001065,0
E01001066,10
E01001068,7
E01001070,3
E01001071,7
E01001074,8
E01001075,7
E01001076,4
E01001078,6
E01001079,10
E01001080,1
E01001081,10
E01001083,10
E01001084,0
E01001085,8
E01001087,8
E01001089,0
E01001091,10
E01001092,9
E01001093,10
E01001094,9
E01001095,8
E01001097,0
E01001099,9
E01001102,7
E01001103,9
E01001104,9
E01001105,9
E01001106,9
E01001107,9
E01001108,9
E01001109,3
E01001110,8
E01001111,8
E01001112,3
E01001114,8
E01001115,9
E01001116,8
E01001118,8
E01001119,9
E01001120,5
E01001122,5
E01001125,0
E01001127,7
E01001129,9
E01001130,7
E01001132,9
E01001133,1
E01001134,4
E01001135,8
E01001136,3
E01001137,8
E01001138,9
E01001139,10
E01001140,7
E01001142,7
E01001143,3
E01001144,9
E01001145,3
E01001147,10
E01001148,9
E01001149,1
E01001150,10
E01001151,10
E01001152,8
E01001154,10
E01001155,0
E01001156,8
E01001157,8
E01001158,10
E01001159,8
E01001162,9
E01001163,10
E01001164,0
E01001165,7
E01001166,10
E01001167,8
E01001168,3
E01001169,10
E01001170,0
E01001171,1
E01001172,1
E01001173,9
E01001175,10
E01001176,9
E01001177,8
E01001178,0
E01001180,10
E01001181,8
E01001182,8
E01001183,0
E01001185,3
E01001186,3
E01001187,9
E01001192,3
E01001193,9
E01001195,7
E01001197,1
E01001199,1
E01001202,1
E01001204,1
E01001205,3
E01001206,9
E01001207,7
E01001208,8
E01001209,8
E01001210,8
E01001211,1
E01001212,1
E01001214,10
E01001215,8
E01001216,10
E01001218,7
E01001219,9
E01001220,7
E01001225,0
E01001226,1
E01001228,1
E01001229,1
E01001230,4
E01001233,0
E01001235,2
E01001239,10
E01001240,2
E01001241,1
E01001243,0
E01001244,8
E01001245,0
E01001246,6
E01001247,6
E01001248,3
E01001249,0
E01001250,8
E01001251,8
E01001252,0
E01001253,3
E01001254,3
E01001257,8
E01001258,8
E01001259,8
E01001260,5
E01001261,0
E01001263,7
E01001264,9
E01001266,1
E01001267,10
E01001268,9
E01001269,3
E01001271,7
E01001272,6
E01001275,1
E01001276,6
E01001277,1
E01001278,0
E01001280,1
E01001281,1
E01001282,9
E01001283,8
E01001285,3
E01001286,3
E01001289,8
E01001290,7
E01001291,10
E01001293,10
E01001294,3
E01001295,10
E01001296,10
E01001297,3
E01001298,8
E01001299,9
E01001301,8
E01001302,8
E01001303,0
E01001308,3
E01001312,3
E01001313,9
E01001315,10
E01001316,8
E01001317,7
E01001318,1
E01001321,8
E01001322,0
E01001323,8
E01001324,6
E01001325,5
E01001326,8
E01001327,8
E01001328,0
E01001329,3
E01001330,8
E01001331,10
E01001333,8
E01001334,9
E01001336,3
E01001337,0
E01001338,0
E01001339,7
E01001341,10
E01001342,5
E01001343,5
E01001344,0
E01001347,9
E01001348,1
E01001349,8
E01001351,0
E01001352,0
E01001353,0
E01001354,1
E01001355,0
E01001357,7
E01001358,7
E01001359,1
E01001361,0
E01001362,0
E01001363,8
E01001367,8
E01001369,3
E01001370,8
E01001375,1
E01001376,8
E01001377,4
E01001384,1
E01001385,1
E01001386,1
E01001387,1
E01001388,0
E01001390,1
E01001393,8
E01001394,8
E01001395,7
E01001396,8
E01001397,7
E01001398,7
E01001399,7
E01001400,1
E01001402,8
E01001403,7
E01001404,7
E01001406,3
E01001408,7
E01001409,7
E01001411,7
E01001412,3
E01001414,7
E01001415,1
E01001418,5
E01001419,0
E01001423,7
E01001425,8
E01001426,3
E01001427,6
E01001429,0
E01001430,8
E01001433,9
E01001436,7
E01001437,4
E01001438,6
E01001439,0
E01001440,1
E01001441,8
E01001442,1
E01001444,2
E01001445,4
E01001446,10
E01001447,4
E01001449,4
E01001450,8
E01001451,1
E01001453,7
E01001454,7
E01001455,10
E01001458,0
E01001461,7
E01001465,8
E01001468,7
E01001469,9
E01001470,3
E01001471,9
E01001474,1
E01001476,10
E01001478,7
E01001479,8
E01001480,3
E01001481,9
E01001483,9
E01001485,8
E01001486,3
E01001488,3
E01001489,7
E01001491,8
E01001492,7
E01001493,5
E01001498,8
E01001499,8
E01001500,1
E01001501,0
E01001502,8
E01001504,9
E01001505,0
E01001507,0
E01001509,9
E01001511,0
E01001512,0
E01001513,0
E01001515,5
E01001516,3
