K,cluster,day_type,direction,hour_bin,mean_share
2,0,Weekday,boardings,1080,0.12774090908128954
2,0,Weekday,boardings,1140,0.08697748756932432
2,0,Weekday,boardings,1200,0.054957463189818145
2,0,Weekday,boardings,1260,0.03349865132190122
2,0,Weekday,boardings,1320,0.023067990612376348
2,0,Weekday,boardings,1380,0.013185696427369343
2,0,Weekday,boardings,1440,0.004276182815460117
2,0,Weekday,boardings,1500,0.0009766805466960924
2,0,Weekday,boardings,1560,0.0005594059301078883
2,0,Weekday,boardings,1620,0.0006662782509828119
2,0,Weekday,boardings,1680,0.00345812113171722
2,0,Weekday,boardings,1740,0.037252191551873225
2,0,Saturday,boardings,1080,0.110245274898366
2,0,Saturday,boardings,1140,0.08736385499661503
2,0,Saturday,boardings,1200,0.05738891103045305
2,0,Saturday,boardings,1260,0.03759521573286083
2,0,Saturday,boardings,1320,0.028753756920112526
2,0,Saturday,boardings,1380,0.02048606308628886
2,0,Saturday,boardings,1440,0.0030020215658657346
2,0,Saturday,boardings,1500,0.0006975003144004562
2,0,Saturday,boardings,1560,0.0005528096082369263
2,0,Saturday,boardings,1620,0.0006213149888368924
2,0,Saturday,boardings,1680,0.002233846433200636
2,0,Saturday,boardings,1740,0.006095994832787475
2,0,Sunday,boardings,1080,0.06248732497365892
2,0,Sunday,boardings,1140,0.054541482485795434
2,0,Sunday,boardings,1200,0.04132961175852936
2,0,Sunday,boardings,1260,0.02611271353001267
2,0,Sunday,boardings,1320,0.01763009617744019
2,0,Sunday,boardings,1380,0.009056288010785396
2,0,Sunday,boardings,1440,0.004276182815460117
2,0,Sunday,boardings,1500,0.0009766805466960924
2,0,Sunday,boardings,1560,0.0005594059301078883
2,0,Sunday,boardings,1620,0.0006662782509828119
2,0,Sunday,boardings,1680,0.00345812113171722
2,0,Sunday,boardings,1740,0.037252191551873225
2,0,Weekday,alightings,1080,0.12909072253915857
2,0,Weekday,alightings,1140,0.09200302448380562
2,0,Weekday,alightings,1200,0.05806742779303075
2,0,Weekday,alightings,1260,0.0425595848182845
2,0,Weekday,alightings,1320,0.034418467769102415
2,0,Weekday,alightings,1380,0.025087881228644585
2,0,Weekday,alightings,1440,0.011199961092129564
2,0,Weekday,alightings,1500,0.002174935088997629
2,0,Weekday,alightings,1560,0.0008328069150392128
2,0,Weekday,alightings,1620,0.0009312589556392476
2,0,Weekday,alightings,1680,0.0014068220783830167
2,0,Weekday,alightings,1740,0.007961245345527375
2,0,Saturday,alightings,1080,0.09297725527666091
2,0,Saturday,alightings,1140,0.0768178701680041
2,0,Saturday,alightings,1200,0.05699415838051938
2,0,Saturday,alightings,1260,0.04407453614557687
2,0,Saturday,alightings,1320,0.03731976187548486
2,0,Saturday,alightings,1380,0.031823801771385336
2,0,Saturday,alightings,1440,0.007705569484952744
2,0,Saturday,alightings,1500,0.0014646763546707095
2,0,Saturday,alightings,1560,0.0006577903096288838
2,0,Saturday,alightings,1620,0.000861739314109201
2,0,Saturday,alightings,1680,0.001326614288728724
2,0,Saturday,alightings,1740,0.0024045014275299406
2,0,Sunday,alightings,1080,0.05794404322812455
2,0,Sunday,alightings,1140,0.049276478768002833
2,0,Sunday,alightings,1200,0.03799697846869417
2,0,Sunday,alightings,1260,0.030411138293992612
2,0,Sunday,alightings,1320,0.022987535051590183
2,0,Sunday,alightings,1380,0.016714383808885517
2,0,Sunday,alightings,1440,0.011199961092129564
2,0,Sunday,alightings,1500,0.002174935088997629
2,0,Sunday,alightings,1560,0.0008328069150392128
2,0,Sunday,alightings,1620,0.0009312589556392476
2,0,Sunday,alightings,1680,0.0014068220783830167
2,0,Sunday,alightings,1740,0.007961245345527375
2,1,Weekday,boardings,1080,0.10992891993572892
2,1,Weekday,boardings,1140,0.07734075959486747
2,1,Weekday,boardings,1200,0.05105669831088218
2,1,Weekday,boardings,1260,0.035622424793342655
2,1,Weekday,boardings,1320,0.027013764251014358
2,1,Weekday,boardings,1380,0.017362650970649186
2,1,Weekday,boardings,1440,0.007444976966456469
2,1,Weekday,boardings,1500,0.003006871440224638
2,1,Weekday,boardings,1560,0.0023191923052144057
2,1,Weekday,boardings,1620,0.003584666148649666
2,1,Weekday,boardings,1680,0.008435143056310187
2,1,Weekday,boardings,1740,0.03488193157835329
2,1,Saturday,boardings,1080,0.09439752256439056
2,1,Saturday,boardings,1140,0.07650196142656006
2,1,Saturday,boardings,1200,0.05357101054023998
2,1,Saturday,boardings,1260,0.03841145313085707
2,1,Saturday,boardings,1320,0.03242025546805006
2,1,Saturday,boardings,1380,0.024975936683500243
2,1,Saturday,boardings,1440,0.005767879176906371
2,1,Saturday,boardings,1500,0.0023084828697238617
2,1,Saturday,boardings,1560,0.001972890907297292
2,1,Saturday,boardings,1620,0.0037344057092634293
2,1,Saturday,boardings,1680,0.007079781409376091
2,1,Saturday,boardings,1740,0.011027692280695913
2,1,Sunday,boardings,1080,0.06030004694986244
2,1,Sunday,boardings,1140,0.05108805547791108
2,1,Sunday,boardings,1200,0.038305465705918654
2,1,Sunday,boardings,1260,0.027359851751862715
2,1,Sunday,boardings,1320,0.020408458028029874
2,1,Sunday,boardings,1380,0.01269806907265225
2,1,Sunday,boardings,1440,0.007444976966456469
2,1,Sunday,boardings,1500,0.003006871440224638
2,1,Sunday,boardings,1560,0.0023191923052144057
2,1,Sunday,boardings,1620,0.003584666148649666
2,1,Sunday,boardings,1680,0.008435143056310187
2,1,Sunday,boardings,1740,0.03488193157835329
2,1,Weekday,alightings,1080,0.11522654100887061
2,1,Weekday,alightings,1140,0.0842727624949337
2,1,Weekday,alightings,1200,0.056545640422263836
2,1,Weekday,alightings,1260,0.042272982317126055
2,1,Weekday,alightings,1320,0.034863729338020975
2,1,Weekday,alightings,1380,0.025805111574717203
2,1,Weekday,alightings,1440,0.012546006269445608
2,1,Weekday,alightings,1500,0.004411368966744364
2,1,Weekday,alightings,1560,0.0025647252058343907
2,1,Weekday,alightings,1620,0.002204616878016932
2,1,Weekday,alightings,1680,0.002897202765026835
2,1,Weekday,alightings,1740,0.011013311650361164
2,1,Saturday,alightings,1080,0.08639869546206758
2,1,Saturday,alightings,1140,0.07249247035803838
2,1,Saturday,alightings,1200,0.05551931352802825
2,1,Saturday,alightings,1260,0.04246267169456987
2,1,Saturday,alightings,1320,0.037281972177817646
2,1,Saturday,alightings,1380,0.03179713950000052
2,1,Saturday,alightings,1440,0.009057213853324605
2,1,Saturday,alightings,1500,0.0031836444920469056
2,1,Saturday,alightings,1560,0.001807983575779325
2,1,Saturday,alightings,1620,0.0016634282150504174
2,1,Saturday,alightings,1680,0.002588887728351852
2,1,Saturday,alightings,1740,0.004847212641043632
2,1,Sunday,alightings,1080,0.05845409157547519
2,1,Sunday,alightings,1140,0.049952671898158905
2,1,Sunday,alightings,1200,0.03929559932002742
2,1,Sunday,alightings,1260,0.03061721312163844
2,1,Sunday,alightings,1320,0.02456718342184721
2,1,Sunday,alightings,1380,0.017751376809942893
2,1,Sunday,alightings,1440,0.012546006269445608
2,1,Sunday,alightings,1500,0.004411368966744364
2,1,Sunday,alightings,1560,0.0025647252058343907
2,1,Sunday,alightings,1620,0.002204616878016932
2,1,Sunday,alightings,1680,0.002897202765026835
2,1,Sunday,alightings,1740,0.011013311650361164
