K,cluster,n,share
2,0,1117,0.31088227108266075
2,1,2476,0.6891177289173392
3,0,1882,0.5237962705260228
3,1,494,0.13748956303924298
3,2,1217,0.33871416643473423
4,0,1040,0.28945171166156414
4,1,1430,0.3979961035346507
4,2,868,0.24158085165599777
4,3,255,0.07097133314778736
5,0,222,0.06178680768160312
5,1,1035,0.2880601168939605
5,2,1035,0.2880601168939605
5,3,192,0.05343723907598107
5,4,1109,0.3086557194544948
6,0,1031,0.28694684107987756
6,1,139,0.03868633453938213
6,2,182,0.050654049540773724
6,3,133,0.03701642081825773
6,4,1451,0.40384080155858615
6,5,657,0.18285555246312274
7,0,151,0.04202616198163095
7,1,935,0.260228221541887
7,2,946,0.26328973003061507
7,3,244,0.06790982465905929
7,4,108,0.030058446980239354
7,5,133,0.03701642081825773
7,6,1076,0.2994711939883106
8,0,75,0.020873921514055108
8,1,763,0.21235736153632062
8,2,133,0.03701642081825773
8,3,580,0.16142499304202615
8,4,319,0.0887837461731144
8,5,866,0.2410242137489563
8,6,716,0.19927637072084609
8,7,141,0.0392429724464236
