sub_k,sub,n,direction_balance,post_midnight_share,post_midnight_persistence,weekend_ratio,median_activity,km_to_centre,top_lsoas
2,0,565,-0.03654384562521258,0.14580967045969986,0.26427636370326757,0.8473121453628172,4761.60539,8.81664963776766,"City of London 001F (E01032739), Lambeth 011B (E01003047), Hillingdon 031A (E01002444), Westminster 018C (E01004736), E01034220 (E01034220), Westminster 023E (E01004750)"
2,1,580,-0.10470906185719574,0.12385612287854698,0.20935073787387973,0.8015881588556036,1730.503835,11.173323607959839,"Barnet 039D (E01000307), Bromley 028C (E01000790), Lambeth 014C (E01003076), Ealing 043B (E01001367), Bexley 002A (E01000416), Croydon 037E (E01001097)"
3,0,498,-0.0295657121429684,0.1522077332295874,0.27849438327085113,0.8550277385901481,5047.320705,8.48354881025523,"City of London 001F (E01032739), Lambeth 011B (E01003047), Hillingdon 031A (E01002444), Westminster 018C (E01004736), E01034220 (E01034220), Westminster 023E (E01004750)"
3,1,390,-0.17532555716996173,0.137889701056197,0.23652409190984003,0.8039201125806402,1689.79603,11.641502326498198,"Ealing 043B (E01001367), Greenwich 007B (E01001631), Newham 021C (E01003630), Lambeth 028D (E01003166), Barnet 039C (E01000223), Harrow 005C (E01002142)"
3,2,257,0.006701024467177755,0.09588552731142536,0.15488317021585582,0.7950188192291759,2497.42204,10.493935887603238,"Barnet 039D (E01000307), Newham 010C (E01003531), Greenwich 028C (E01001615), Southwark 006F (E01003981), Bromley 028C (E01000790), Lambeth 014C (E01003076)"
