metric,kruskal_h,df,p_value,epsilon_squared,n,p_fdr_bh
log_total_activity,610.4156148193124,6,1.3211148182186562e-128,0.14767056311246332,4100,5.284459272874625e-128
post_midnight_share,276.2878158139896,6,9.790027587136469e-57,0.06603660293525278,4100,1.305337011618196e-56
direction_balance,183.5754457645276,6,5.9033689130899044e-37,0.04338515655131385,4100,5.9033689130899044e-37
weekend_ratio,498.55791252828203,6,1.7192951883039995e-104,0.12034153738780407,4100,3.438590376607999e-104
