lnwc_group,metric,weighted_mean,weighted_sd,sum_station_weights,effective_n
1,log_total_activity,10.814430001275847,1.0118890920471664,55.472309137207475,73.81806515267962
1,night_tube_extension_share,0.02810263538914104,0.029424871936718815,55.472309137207475,73.81806515267962
1,direction_balance,0.155604484565409,0.279363700980166,55.472309137207475,73.81806515267962
1,weekend_common_ratio,0.7872680363900881,0.22463484182343588,55.472309137207475,73.81806515267962
1,midnight_share_common_window,0.029213273210551706,0.008879251472417252,55.472309137207475,73.81806515267962
2,log_total_activity,10.162078967088448,0.7595143488640059,52.02341295402827,106.34695264446337
2,night_tube_extension_share,0.0397587334637649,0.03699157187671569,52.02341295402827,106.34695264446337
2,direction_balance,-0.19032920184534144,0.20167043481729735,52.02341295402827,106.34695264446337
2,weekend_common_ratio,0.8418237991729589,0.12880829505556818,52.02341295402827,106.34695264446337
2,midnight_share_common_window,0.036997157985894404,0.009837973393662566,52.02341295402827,106.34695264446337
3,log_total_activity,10.108887493301527,0.8017006974856459,25.389181216324985,87.54215016151231
3,night_tube_extension_share,0.04451064890936263,0.03257919103382444,25.389181216324985,87.54215016151231
3,direction_balance,-0.19190775218520034,0.28286159150057216,25.389181216324985,87.54215016151231
3,weekend_common_ratio,0.8721152328942675,0.17621348495068911,25.389181216324985,87.54215016151231
3,midnight_share_common_window,0.035854131107722585,0.010838849445457682,25.389181216324985,87.54215016151231
4,log_total_activity,9.874450997965349,0.7954784043996972,42.727297733953634,112.3327707471926
4,night_tube_extension_share,0.04650896288854576,0.03349238541336835,42.727297733953634,112.3327707471926
4,direction_balance,-0.3184864680306229,0.25479200024760734,42.727297733953634,112.3327707471926
4,weekend_common_ratio,0.8084312378074491,0.11424058340917856,42.727297733953634,112.3327707471926
4,midnight_share_common_window,0.04034904700077735,0.009482172809998113,42.727297733953634,112.3327707471926
5,log_total_activity,9.344877816860103,0.7333803270394554,47.34495682066602,100.10934062370049
5,night_tube_extension_share,0.04390369860584607,0.031867844745832416,47.34495682066602,100.10934062370049
5,direction_balance,-0.47618300139634384,0.13081496659148217,47.34495682066602,100.10934062370049
5,weekend_common_ratio,0.7609115145837625,0.09999297168722605,47.34495682066602,100.10934062370049
5,midnight_share_common_window,0.04272961684021489,0.007397829248436661,47.34495682066602,100.10934062370049
6,log_total_activity,9.245832683083282,0.7776966732663592,14.643393865407516,66.23077221443405
6,night_tube_extension_share,0.03971081575354735,0.026622845850701425,14.643393865407516,66.23077221443405
6,direction_balance,-0.47444464517110535,0.15267955021187388,14.643393865407516,66.23077221443405
6,weekend_common_ratio,0.7341536836906062,0.10813343205025922,14.643393865407516,66.23077221443405
6,midnight_share_common_window,0.04276222495646045,0.006247392889767182,14.643393865407516,66.23077221443405
7,log_total_activity,8.903244295418409,0.6770166744632773,16.39944827241207,40.006549723094864
7,night_tube_extension_share,0.0384567332638148,0.027478125515437744,16.39944827241207,40.006549723094864
7,direction_balance,-0.5061135484245517,0.13790900213166668,16.39944827241207,40.006549723094864
7,weekend_common_ratio,0.7520789645537755,0.12379590593672138,16.39944827241207,40.006549723094864
7,midnight_share_common_window,0.04312909987157385,0.008429480861206692,16.39944827241207,40.006549723094864
