lsoa,rep_stop,n_stops
E01000095,CHEQUERS LANE / MERRIELANDS RETAIL PARK,17
E01000096,LODGE AVENUE,6
E01000097,GREENWAY,4
E01000098,GREENWAY,3
E01000099,VALENCE AVENUE,5
E01000101,WHALEBONE LANE SOUTH,1
E01000102,LINDISFARNE ROAD,4
E01000103,FARM CLOSE,4
E01000104,BALLARDS ROAD,8
E01000105,DAGENHAM HEATHWAY STATION,4
E01000106,ST GILES AVENUE,3
E01000108,SANDOWN AVENUE,1
E01000110,ALBANY ROAD,2
E01000111,STANLEY AVENUE,6
E01000112,CHADWELL HEATH STATION,3
E01000113,HERBERT GARDENS,3
E01000114,BECONTREE HEATH LEISURE CENTRE,4
E01000115,CHASE SIDE,3
E01000116,HAIL & RIDE BROOKSIDE SOUTH,4
E01000117,PARKSIDE GARDENS,4
E01000118,OSIDGE LIBRARY,7
E01000119,,1
E01000120,HAMPDEN WAY,3
E01000121,NORTH LONDON BUSINESS PARK,2
E01000122,,4
E01000123,BRUNSWICK AVENUE,4
E01000124,CARLISLE PLACE,6
E01000126,NORTH ACRE,3
E01000127,GUNTER GROVE,4
E01000128,ANGUS GARDENS,1
E01000129,BURNT OAK STATION,9
E01000130,BURNT OAK LEISURE CENTRE,3
E01000131,CARLISLE ROAD,1
E01000133,GOLDBEATERS GROVE,2
E01000134,DEANS LANE,5
E01000135,THE VALE,2
E01000136,DUNSTAN ROAD,5
E01000137,LYNDALE AVENUE,1
E01000138,CRICKLEWOOD LANE,4
E01000139,LYNDALE AVENUE,11
E01000140,CHILDS HILL / CRICKLEWOOD LANE,6
E01000141,CRICKLEWOOD BROADWAY,12
E01000143,CLAREMONT ROAD,3
E01000144,GOLDERS GREEN STATION,6
E01000145,WOODSTOCK AVENUE,2
E01000146,GOLDERS GREEN / FINCHLEY ROAD,10
E01000147,HAIL & RIDE CLOVELLY AVENUE,3
E01000150,KINGSBURY ROAD,1
E01000151,QUAKERS COURSE,5
E01000152,WIGGINS MEAD,4
E01000153,WOODCROFT PK / THE ORION PRIMARY SCHOOL,1
E01000154,COLINDALE LIBRARY,2
E01000156,WILTON ROAD,4
E01000158,BEACONSFIELD ROAD,1
E01000159,THE RIDGEWAY,3
E01000160,BEACONSFIELD ROAD / NEW SOUTHGATE STN,4
E01000161,ST JOHN'S CHURCH,8
E01000162,COLNEY HATCH LANE,9
E01000164,NORTH CIRCULAR ROAD,11
E01000166,HAIL & RIDE BEVAN ROAD,5
E01000167,HAIL & RIDE BARING ROAD,10
E01000168,HAIL & RIDE NORRYS ROAD,2
E01000169,HAIL & RIDE PARK ROAD,3
E01000170,CRESCENT ROAD,1
E01000171,NEW BARNET SAINSBURY'S,6
E01000172,HEDDON COURT AVENUE,5
E01000173,EAST BARNET WAR MEMORIAL,3
E01000174,EAST BARNET VILLAGE,5
E01000175,CEDAR AVENUE,4
E01000176,LONG LANE,2
E01000178,CHANDOS ROAD,4
E01000180,ABBOTS GARDENS,2
E01000181,KITCHENER ROAD,2
E01000182,FAIRLAWN AVENUE,6
E01000183,TRINITY AVENUE,5
E01000184,STRAWBERRY VALE,5
E01000185,OAK LANE,1
E01000186,BROADFIELDS AVENUE,4
E01000187,GLENGALL ROAD,3
E01000188,EDGWARE WAY,7
E01000189,WILLOW COURT,2
E01000190,PARK GROVE,1
E01000191,EDGWAREBURY LANE / EDGWARE WAY,4
E01000192,BROADFIELDS AVENUE,5
E01000193,EDGWARE STATION,8
E01000194,EDGWARE BUS STATION,11
E01000195,SPRINGWOOD CRESCENT,2
E01000196,HENDON LANE,10
E01000197,BASING WAY,8
E01000198,GREAT NORTH WAY,4
E01000199,HENDON CEMETERY,2
E01000200,ARDEN ROAD,4
E01000201,CROOKED USAGE,5
E01000202,MOUNTFIELD ROAD,2
E01000203,HENLYS CORNER,6
E01000204,HOLDERS HILL CIRCUS,3
E01000205,BROOKLAND RISE,8
E01000206,KENWOOD HOUSE,36
E01000207,HAIL & RIDE THORNTON WAY,15
E01000208,EAST FINCHLEY STATION,14
E01000209,HAIL & RIDE CENTRAL SQUARE,7
E01000210,MARKET PLACE,16
E01000211,TEMPLE FORTUNE LANE,13
E01000212,HOOP LANE,20
E01000213,HAIL & RIDE WILDWOOD ROAD,9
E01000214,GOLDERS GREEN STATION,18
E01000215,GOLDERS MANOR DRIVE,3
E01000218,LIMES AVENUE,5
E01000219,BRENT CROSS STATION,4
E01000221,TILLING ROAD,15
E01000222,CLITTERHOUSE ROAD SOUTH,8
E01000223,GLADSTONE PARK GARDENS,11
E01000224,PENNINE DRIVE,2
E01000225,BRIDGE LANE,1
E01000226,DEANS LANE,4
E01000227,FARM ROAD,1
E01000228,THE FAIRWAY,7
E01000229,KENILWORTH ROAD,2
E01000230,ALDRIDGE AVENUE,4
E01000231,MOUNT GROVE,4
E01000232,GLENDOR GARDENS,5
E01000233,CLOISTER GARDENS,6
E01000234,ASHBOURNE GROVE,4
E01000235,EDWIN ROAD,9
E01000236,BRENT STREET / GREEN LANE,4
E01000237,HENDON WAR MEMORIAL,9
E01000238,SOUTHBOURNE CRESCENT,2
E01000239,GREYHOUND HILL,6
E01000240,WESTSIDE,4
E01000242,GREAT NORTH WAY,5
E01000243,HENDON / THE QUADRANT,6
E01000244,CHURCH END,5
E01000245,BELL LANE,2
E01000246,HIGH BARNET STATION,6
E01000247,CLIFFORD ROAD,1
E01000248,BARNET HOSPITAL,13
E01000249,BARNET HOSPITAL / QUEENS ROAD,2
E01000250,BARNET HIGH STREET / BARNET CHURCH,15
E01000251,NEW BARNET STATION  / STATION ROAD,6
E01000252,HADLEY ROAD,1
E01000253,BRICKFIELD LANE,13
E01000254,,13
E01000255,BARNET COPTHALL LEISURE CENTRE,7
E01000256,BUNNS LANE BRIDGE,9
E01000257,MILL HILL EAST STATION,13
E01000258,UNIVERSITY COLLEGE LONDON OBSERVATORY,8
E01000259,SALCOMBE GARDENS,3
E01000260,FIVEWAYS CORNER,5
E01000261,MILL HILL VILLAGE / THE RIDGEWAY,11
E01000263,MILL HILL CIRCUS,6
E01000264,MILL HILL BROADWAY STATION,11
E01000265,BEACONSFIELD ROAD,3
E01000266,FRIARY ROAD,7
E01000267,YORK ROAD,9
E01000268,BARNET EVERYMAN CINEMA,7
E01000269,DINSDALE GARDENS,3
E01000270,HASLUCK GARDENS,5
E01000271,LYONSDOWN ROAD,7
E01000272,OAKLEIGH PARK STATION,8
E01000273,WHETSTONE / THE GRIFFIN,13
E01000274,POLLARD ROAD,6
E01000275,HAIL & RIDE SOUTHOVER,7
E01000276,CISSBURY RING / WESTERN ARM,2
E01000277,WOODSIDE PARK STATION,3
E01000278,SUSSEX RING,6
E01000279,TOTTERIDGE WAR MEMORIAL,17
E01000280,LONGLAND DRIVE,11
E01000281,ATHENAEUM ROAD,6
E01000282,TOTTERIDGE & WHETSTONE STATION,6
E01000283,HAIL & RIDE LAUREL WAY,10
E01000284,SWAN LANE,4
E01000285,KENERNE DRIVE,3
E01000286,CHESTERFIELD ROAD,8
E01000287,MAYS LANE,5
E01000288,UNDERHILL,20
E01000289,HERA AVENUE,1
E01000290,STIRLING CORNER / BARNET ROAD,7
E01000292,LEESIDE,6
E01000293,HIGH BARNET STATION,1
E01000294,BARNET HOSPITAL,1
E01000295,,2
E01000296,FINCHLEY CENTRAL STATION,11
E01000297,SQUIRES LANE / LONG LANE,5
E01000298,LONG LANE,6
E01000299,TALLY HO CORNER,1
E01000301,VICTORIA PARK,12
E01000302,WOODBERRY GROVE,7
E01000303,HAIL & RIDE CHILVINS COURT,1
E01000304,DOLLIS ROAD,1
E01000305,PARK ROAD,5
E01000307,BRENT CROSS SHOPPING CENTRE,7
E01000308,HENDON MAGISTRATES COURT,2
E01000309,HENDON WAR MEMORIAL,8
E01000310,HENDON CENTRAL STATION,7
E01000311,HENDON CENTRAL STATION,4
E01000312,EDGWARE ROAD / THE HYDE,2
E01000313,WEST HENDON BROADWAY / HERBERT ROAD,6
E01000314,HENDON WAY,4
E01000315,SUNNY WAY,7
E01000316,LEISURE WAY,10
E01000318,GRANVILLE ROAD,5
E01000319,HAIL & RIDE SQUIRES LANE,2
E01000321,RAVENSDALE AVENUE,9
E01000322,,4
E01000323,NORTH FINCHLEY BUS STATION,13
E01000324,LEWES ROAD,9
E01000325,NORTHALL ROAD / BARNEHURST STATION,4
E01000326,PERRY STREET,6
E01000327,BEXLEYHEATH BUS GARAGE,11
E01000328,WOODSIDE ROAD,4
E01000329,PARK GROVE,4
E01000330,FORESTERS CRESCENT,9
E01000331,OLD ROAD,4
E01000332,EARDLEY ROAD,5
E01000333,THE EARDLEY ARMS,7
E01000334,THE VIEW,2
E01000335,LOWER ROAD / BELVEDERE STATION,15
E01000336,GILBERT ROAD,5
E01000337,KINGSWOOD AVENUE,1
E01000338,HALT ROBIN ROAD,2
E01000340,BLACKFEN ROAD / BOUNDARY ROAD,4
E01000342,BERWICK CRESCENT,2
E01000343,WELLINGTON AVENUE / BLACKFEN ROAD,6
E01000344,HALFWAY STREET / DAYS LANE,6
E01000345,OAKLANDS AVENUE,4
E01000347,BLACKFEN ROAD / WELLINGTON AVENUE,7
E01000349,BEECHWAY,7
E01000350,THE OVAL,5
E01000352,BLENDON / PENHILL ROAD,10
E01000353,HAIL & RIDE HUDSON ROAD,10
E01000354,PICKFORD LANE / LONG LANE,4
E01000356,BEXLEYHEATH STATION,6
E01000357,GIPSY ROAD,3
E01000358,HEVERSHAM ROAD,2
E01000359,BRAMPTON ROAD / LONG LANE,4
E01000360,BEXLEYHEATH / LION ROAD,7
E01000361,ALERS ROAD,1
E01000362,BEXLEYHEATH CLOCK TOWER,12
E01000363,TOWNLEY GRAMMAR SCHOOL,7
E01000364,BROOMFIELD ROAD,4
E01000365,PELHAM ROAD,7
E01000367,COLYERS WALK,4
E01000369,NORTHUMBERLAND WAY,2
E01000370,BARNEHURST STATION,6
E01000372,HAIL & RIDE LESNEY PARK,7
E01000374,STANHAM PLACE,8
E01000375,HEATH ROAD,2
E01000376,VILLAGE GREEN ROAD,3
E01000377,OLD ROAD / PERRY STREET,4
E01000379,CRAYFORD STATION,6
E01000380,THAMES ROAD,2
E01000381,BUNKERS HILL / THE WHITE CROSS,6
E01000382,HAIL & RIDE ROYAL ROAD,6
E01000383,ELLENBOROUGH ROAD,11
E01000384,KNOLL ROAD,4
E01000385,RUXLEY CORNER,5
E01000386,SIDCUP HILL / CRAY ROAD,7
E01000387,LONGMEAD DRIVE / ALBANY PARK,6
E01000389,BETHEL ROAD,8
E01000390,BRASTED CLOSE,8
E01000391,DANSON UNDERPASS,1
E01000392,WELLING HIGH STREET / UPPER WICKHAM LANE,8
E01000394,CROOK LOG / DALLIN ROAD,4
E01000396,WELLING WAY / SHERWOOD ROAD,4
E01000398,CHAUCER ROAD,3
E01000399,BELLEGROVE ROAD / WELLING WAY,6
E01000400,WELLING STATION,8
E01000401,UPPER WICKHAM LANE / BURNELL AVENUE,1
E01000402,BROOK STREET,4
E01000403,ERITH TOWN CENTRE / CROSS STREET,23
E01000404,MAXIM ROAD / THE SHIP,5
E01000405,LOWER ROAD / CHURCH MANORWAY,4
E01000406,ALFORD ROAD,6
E01000407,CARLTON ROAD,10
E01000408,CHURCH MANORWAY / WAR MEMORIAL,9
E01000409,HOOK LANE / WESTWOOD LANE,5
E01000410,FALCONWOOD COMMUNITY CENTRE,5
E01000411,WENDOVER WAY,1
E01000412,FALCONWOOD STATION,7
E01000413,WESTWOOD LANE / BLACKFEN ROAD,1
E01000414,DEEPDENE ROAD,10
E01000415,YORKLAND AVENUE,3
E01000416,ABBEY WOOD STATION,4
E01000417,HARROW MANORWAY / ABBEY WOOD STATION,13
E01000418,LESNES ABBEY,9
E01000419,HAIL & RIDE BRAMPTON ROAD,2
E01000420,BEDONWELL ROAD / DRYHILL ROAD,3
E01000421,LECKWITH AVENUE,5
E01000422,HARROW MANORWAY / YARNTON WAY,4
E01000423,MARECHAL NIEL PARADE,3
E01000424,HAIL & RIDE LITTLE BIRCHES,5
E01000425,HAIL & RIDE BEDFORD ROAD,3
E01000426,NORTHCOTE ROAD,6
E01000427,SYDNEY ROAD,3
E01000428,SIDCUP / CARLTON ROAD,13
E01000429,MANOR ROAD / FROBISHER ROAD,2
E01000430,GRANGE WAY,6
E01000431,LARNER ROAD,2
E01000433,NORTHEND ROAD / COLYERS LANE,11
E01000434,HAZEL ROAD,5
E01000435,BRIDGE ROAD / NORTHEND ROAD,2
E01000436,THE PANTILES,4
E01000437,HAIL & RIDE CARLTON ROAD / BROOK STREET,4
E01000439,NORTHUMBERLAND PARK,7
E01000440,LITTLE HEATH ROAD,3
E01000442,PARSONAGE MANORWAY,9
E01000443,CROFTON AVENUE,6
E01000444,TILE KILN LANE,9
E01000445,CARISBROOKE AVENUE,5
E01000446,HAIL & RIDE PENHILL ROAD,1
E01000447,BEXLEY LIBRARY,8
E01000448,BEXLEY WAR MEMORIAL,11
E01000449,BEXLEY STATION,1
E01000450,HAIL & RIDE ST ANDREW'S PARISH CHURCH,4
E01000451,TOR ROAD,7
E01000452,OKEHAMPTON CRESCENT / BRAMPTON ROAD,1
E01000454,EAST ROAD,5
E01000455,UPPER WICKHAM LANE / BURNELL AVENUE,3
E01000456,AVONDALE ROAD,3
E01000457,SIDCUP HIGH STREET / STATION ROAD,6
E01000458,,4
E01000459,CHURCH ROAD,5
E01000460,HOLLIES AVENUE,1
E01000461,WREN ROAD,11
E01000462,SIDCUP STATION  / STATION ROAD,13
E01000463,HOLLIES AVENUE,1
E01000464,BUCKWHEAT COURT,2
E01000465,NORTHWOOD PLACE,7
E01000466,LIMESTONE WALK,5
E01000467,EASTGATE CLOSE,5
E01000469,LISTER WALK,3
E01000470,SOUTHMERE LAKE,2
E01000472,ALPERTON SAINSBURY'S,9
E01000473,ALPERTON STATION,4
E01000474,EAGLE ROAD,1
E01000475,ALPERTON STATION,6
E01000476,BERESFORD AVENUE,2
E01000477,KENMERE GARDENS,4
E01000478,MOUNT PLEASANT,2
E01000479,BLACKBIRD CROSS,3
E01000480,CORRINGHAM ROAD,3
E01000481,LYCEE INTERNATIONAL / KINGS DRIVE,5
E01000483,BLACKBIRD HILL,1
E01000484,,1
E01000485,JOHN PERRIN PLACE,6
E01000486,RAVENSCROFT AVENUE,1
E01000487,PRESTON ROAD STATION,8
E01000488,WILLESDEN GREEN LIBRARY,1
E01000489,HANOVER ROAD,6
E01000490,BRONDESBURY STATION,4
E01000491,BRONDESBURY PARK STN  / THE AVENUE,7
E01000493,OKEHAMPTON ROAD,4
E01000494,SIDMOUTH ROAD,6
E01000495,KILBURN STATION,2
E01000497,CRICKLEWOOD BUS GARAGE,7
E01000498,BROOK ROAD,2
E01000499,STAPLES CORNER,11
E01000501,HUMBER ROAD,1
E01000502,BROOK ROAD,4
E01000503,NEWFIELD RISE,3
E01000504,,1
E01000506,NEASDEN STATION,4
E01000507,DOLLIS HILL STATION,5
E01000508,WILLESDEN MAGISTRATES COURT,6
E01000510,NEASDEN SHOPPING CENTRE / BIRSE CRESCENT,8
E01000511,MULGRAVE ROAD,5
E01000512,DOLLIS HILL STATION,4
E01000513,EDGWARE ROAD / THE HYDE,1
E01000515,KINGSBURY  / PIPERS GREEN,6
E01000516,SHEAVESHILL AVENUE,3
E01000518,KINGSBURY GREEN,6
E01000519,QUEENSBURY ROAD,4
E01000520,FAIRFIELDS CRESCENT,5
E01000521,ST MARY'S ROAD,5
E01000523,ST MARY'S ROAD,1
E01000524,HARLESDEN JUBILEE CLOCK,2
E01000525,WILLESDEN COUNTY COURT,6
E01000526,CURZON CRESCENT,5
