lsoa,rep_stop,n_stops
E01000787,BROW CRESCENT,4
E01000788,CARLTON PARADE,6
E01000789,RAMSDEN ESTATE / RYE CRESCENT,2
E01000790,HIGH STREET / ORPINGTON WAR MEMORIAL,18
E01000791,RAMSDEN ROAD / TINTAGEL ROAD,10
E01000792,ELDRED DRIVE,3
E01000793,,4
E01000794,SEVENOAKS ROAD / TOWER ROAD,14
E01000795,WINCHESTER ROAD,10
E01000797,KENT HOUSE STATION,4
E01000798,AVENUE ROAD,1
E01000799,PENGE / PAWLEYNE ARMS,10
E01000800,ANERLEY STATION,3
E01000801,ANERLEY ROAD / OAK GROVE ROAD,2
E01000802,PENGE EAST STATION,3
E01000803,STUDLAND ROAD,2
E01000804,LENNARD ROAD,8
E01000805,GREEN LANE / RALEIGH ROAD,4
E01000806,HIGH STREET / PENGE WEST STATION,3
E01000807,QUEENSWAY / PETTS WOOD STATION,11
E01000808,WILLETT WAY,3
E01000809,PETTS WOOD LIBRARY,9
E01000810,WILLETT WAY,5
E01000811,HAIL & RIDE RYECROFT ROAD,1
E01000813,PLACE FARM AVENUE,7
E01000815,LADYWOOD AVENUE,5
E01000816,TREEWALL GARDENS,2
E01000818,LOGS HILL,2
E01000819,NEW STREET HILL,10
E01000820,SUNDRIDGE PARK STATION,6
E01000822,WARNER ROAD,2
E01000823,PLAISTOW GREEN,2
E01000824,MORGAN ROAD,4
E01000825,FREELANDS ROAD,2
E01000826,BRABOURNE RISE,4
E01000827,WESTMORELAND ROAD / BARNFIELD WOOD ROAD,12
E01000828,SHORTLANDS STATION,12
E01000829,QUEEN ANNE AVENUE,1
E01000830,HAIL & RIDE WHITECROFT WAY,10
E01000831,DURHAM AVENUE,7
E01000832,RED LODGE ROAD / WEST WICKHAM STATION,12
E01000834,THE PICKHURST,6
E01000835,SHERWOOD WAY,6
E01000837,HIGH STREET / MANOR ROAD,3
E01000838,TIEPIGS LANE,3
E01000840,COURTFIELD RISE,6
E01000841,WICKHAM COURT ROAD,1
E01000843,ENGLAND'S LANE,3
E01000844,BUCKLAND CRESCENT,2
E01000845,PRIMROSE HILL ROAD,3
E01000846,ELSWORTHY RISE,4
E01000847,WINCHESTER ROAD,2
E01000848,BELSIZE AVENUE,4
E01000849,BELSIZE PARK STATION,4
E01000850,TOTTENHAM COURT ROAD STATION,3
E01000851,GREAT PORTLAND ST STN  / EUSTON RD,1
E01000855,RUSSELL SQUARE,11
E01000856,CAMDEN TOWN / CAMDEN ROAD,9
E01000858,HARTLAND ROAD / CAMDEN MARKET,2
E01000860,ALBERT TERRACE / LONDON ZOO,1
E01000861,CAMDEN ROAD STATION,5
E01000862,REGENT'S PARK ROAD,4
E01000863,CAMDEN TOWN STATION,9
E01000867,MURRAY STREET,6
E01000868,VALE ROYAL,2
E01000869,CAMDEN PARK ROAD,4
E01000871,FORTUNE GREEN,5
E01000872,SKARDU ROAD,5
E01000873,HILLFIELD ROAD,3
E01000874,WEST HAMPSTEAD POLICE STATION,4
E01000875,MILL LANE,3
E01000876,KILBURN STATION,1
E01000877,LYNCROFT GARDENS,5
E01000878,WEST END LANE,1
E01000879,FITZJOHN'S AVENUE,2
E01000880,LANGLAND GARDENS,2
E01000881,FINCHLEY ROAD & FROGNAL STATION,5
E01000882,BELSIZE SQUARE,3
E01000883,FINCHLEY ROAD / COLLEGE CRESCENT,6
E01000884,FORTUNE GREEN ROAD,2
E01000886,GOSPEL OAK STATION,3
E01000887,SOUTH END GREEN,5
E01000888,MANSFIELD ROAD,3
E01000890,ST DOMINIC'S PRIORY,2
E01000891,GRAFTON TERRACE,1
E01000895,HAMPSTEAD STATION,3
E01000896,PILGRIM'S LANE,3
E01000897,ROYAL FREE HOSPITAL,1
E01000898,ROYAL FREE HOSPITAL,4
E01000899,JACK STRAW'S CASTLE / WHITESTONE POND,10
E01000900,QUEEN'S CRESCENT,4
E01000901,KENTISH TOWN WEST STATION,1
E01000902,PRINCE OF WALES ROAD / QUEEN'S CRESCENT,2
E01000903,ST DOMINIC'S PRIORY,2
E01000904,STABLES MARKET,8
E01000905,MALDEN ROAD,2
E01000906,CHALK FARM STATION,5
E01000907,DARTMOUTH PARK HILL,2
E01000908,CHESTER ROAD / HIGHGATE LIBRARY,2
E01000909,PARLIAMENT HILL FIELDS,7
E01000911,DARTMOUTH PARK ROAD,3
E01000912,GORDON HOUSE ROAD,7
E01000913,SOUTH GROVE,7
E01000914,KINGSWAY / HOLBORN STATION,21
E01000916,CLERKENWELL ROAD,4
E01000917,HOLBORN CIRCUS / FETTER LANE,5
E01000918,MUSEUM STREET,6
E01000919,TOTTENHAM CT RD STN  / NEW OXFORD ST,6
E01000920,GRAY'S INN ROAD,4
E01000921,TUFNELL PARK STATION / BRECKNOCK ROAD,7
E01000922,KENTISH TOWN POST OFFICE,2
E01000924,CARLETON ROAD,2
E01000925,KENTISH TOWN STATION,2
E01000926,CAMDEN ROAD,4
E01000927,PRINCE OF WALES ROAD,4
E01000928,KENTISH TOWN STATION,8
E01000929,BOUNDARY ROAD,4
E01000930,KILBURN HIGH ROAD STATION,3
E01000931,KINGSGATE PLACE,1
E01000932,WOODCHURCH ROAD,3
E01000933,QUEX ROAD,7
E01000934,SOUTH HAMPSTEAD STATION  / LOUDOUN ROAD,2
E01000935,BELSIZE ROAD,2
E01000938,KING'S CROSS STATION,8
E01000942,ST PANCRAS INTERNATIONAL STATION,3
E01000946,ALBANY STREET,9
E01000947,MORNINGTON CRESCENT STATION,11
E01000948,ARLINGTON ROAD,5
E01000952,MORNINGTON CRESCENT STATION,1
E01000954,ALDENHAM STREET,1
E01000955,ALDENHAM STREET,1
E01000956,ST PANCRAS INTERN'L & KING'S X STNS,6
E01000957,AGAR GROVE ESTATE,1
E01000958,ROYAL VETERINARY COLLEGE,4
E01000959,PRATT STREET,4
E01000960,FINCHLEY ROAD STATION,9
E01000963,SWISS COTTAGE STATION,9
E01000964,FAIRHAZEL GARDENS,3
E01000965,PRIORY ROAD,2
E01000969,WEST END GREEN,7
E01000970,MILL LANE,1
E01000972,FINCHLEY ROAD / O2 CENTRE,6
E01000973,WEST HAMPSTEAD STATION,6
E01000974,BRONDESBURY STATION,1
E01000975,EAST CROYDON BUS STATION,7
E01000976,LESLIE GROVE,8
E01000977,ASHBURTON ROAD,5
E01000978,SANDILANDS TRAM STOP,1
E01000979,CANNING ROAD,4
E01000980,BRAMPTON ROAD,4
E01000981,NORTHWAY ROAD,3
E01000982,BURNHAM GARDENS,1
E01000983,ADDISCOMBE TRAM STOP,1
E01000984,GORDON CRESCENT,3
E01000985,BINGHAM ROAD,6
E01000986,ADDISCOMBE TRAM STOP,2
E01000989,HOMER ROAD,2
E01000990,LONGHURST ROAD,1
E01000991,DARLEY CLOSE,2
E01000992,ASHBURTON PARK,11
E01000993,PARKVIEW ROAD,2
E01000994,BRAEMAR AVENUE,3
E01000995,HEATHVIEW ROAD,1
E01000997,BENSHAM LANE,2
E01000998,THORNTON HEATH LIBRARY,4
E01001000,BROOK ROAD,2
E01001003,LAKEHALL ROAD,3
E01001004,FAIRGREEN ROAD,3
E01001005,BROAD GREEN AVENUE,1
E01001006,DRAKE ROAD,8
E01001007,OCKLEY ROAD,3
E01001008,LOMBARD ROUNDABOUT,4
E01001010,PURLEY WAY / BEDDINGTON FARM ROAD,12
E01001011,SUMNER ROAD,4
E01001013,WEST CROYDON STATION,7
E01001015,COULSDON SOUTH STATION,14
E01001016,STOATS NEST VILLAGE,8
E01001018,OLD COULSDON / TUDOR ROSE,16
E01001019,OASIS ACADEMY BYRON,12
E01001020,TAUNTON LANE,6
E01001021,COULSDON ROAD / LACEY DRIVE,10
E01001022,COULSDON COMMON / THE FOX,11
E01001023,COULSDON TOWN STATION,24
E01001024,PORTNALLS ROAD,8
E01001025,CHIPSTEAD VALLEY ROAD / RICKMAN HILL,9
E01001026,CHIPSTEAD VALLEY SCHOOL,16
E01001027,WOODFIELD HILL,9
E01001028,SMITHAM DOWNS ROAD,10
E01001029,GROVELANDS ROAD,8
E01001030,HAIL & RIDE THE DRIVE,4
E01001031,BRAMLEY AVENUE,5
E01001032,ARKWRIGHT ROAD,4
E01001033,PURLEY OAKS STATION,4
E01001034,SANDERSTEAD STATION,6
E01001035,ELMHURST SCHOOL,4
E01001036,OLD PALACE OF JOHN WHITGIFT SCHOOL,8
E01001037,SWAN & SUGAR LOAF,5
E01001038,BIRDHURST ROAD / SOUTH CROYDON STATION,3
E01001039,CARLTON ROAD,5
E01001040,HALING PARK ROAD,2
E01001041,SANDERSTEAD ROAD,4
E01001042,CHURCH STREET TRAM STOP,5
E01001044,SELBORNE ROAD,5
E01001047,COOMBE ROAD,2
E01001049,BIRCH TREE WAY,8
E01001050,SANDILANDS TRAM STOP,6
E01001051,FOXCOMBE,4
E01001052,THE LINDENS,4
E01001053,FRIMLEY CLOSE,6
E01001054,APPLEGARTH,5
E01001055,MERROW WAY,6
E01001057,BETCHWORTH WAY,2
E01001058,THE GREEN,4
E01001059,PIXTON WAY,4
E01001060,CROFTERS MEAD,8
E01001061,MONKS HILL,11
E01001062,TRINITY SCHOOL,9
E01001063,SHIRLEY LIBRARY,6
E01001064,GRAVEL HILL,21
E01001065,ADDINGTON VILLAGE INTERCHANGE,16
E01001066,PIXTON WAY,3
E01001067,LODGE HILL,2
E01001068,GARSTON LANE,10
E01001069,HAIL & RIDE OAKS WAY,6
E01001070,WHITEFIELD AVENUE,4
E01001071,OLD BARN LANE,8
E01001073,GROVELANDS ROAD,6
E01001074,SMITHAM DOWNS ROAD,11
E01001075,THE KENLEY HOTEL / KENLEY STATION,9
E01001076,SALCOT CRESCENT,4
E01001077,WOLSEY CRESCENT,5
E01001078,NEW ADDINGTON TRAM STOP,16
E01001079,VULCAN WAY,9
E01001080,CENTRAL PARADE,5
E01001081,HOMESTEAD WAY / MILNE PARK,9
E01001082,GOLDCREST WAY / KING HENRY'S DRIVE,5
E01001083,HERMITAGE LANE,5
E01001084,CROWN POINT / BEULAH HILL,4
E01001085,NORBURY STATION,2
E01001087,TYLECROFT ROAD,11
E01001089,OAKHILL ROAD,4
E01001090,EDERLINE AVENUE,1
E01001091,EDERLINE AVENUE,2
E01001092,PLOUGH LANE,5
E01001093,CHRISTCHURCH ROAD / PURLEY HOSPITAL,8
E01001094,WOODCOTE DRIVE,10
E01001095,BRIGHTON ROAD / PURLEY DOWNS ROAD,3
E01001096,NORMAN AVENUE,2
E01001097,PURLEY / DOWNLANDS PRECINCT,18
E01001099,ST JAMES ROAD,6
E01001101,MITCHLEY HILL,4
E01001102,SANDERSTEAD / ALL SAINTS CHURCH,12
E01001103,SANDERSTEAD METHODIST CHURCH,4
E01001104,LOWER BARN ROAD,8
E01001105,HILTON WAY,4
E01001106,HAMSEY GREEN,3
E01001107,BEECHWOOD ROAD,4
E01001108,SANDERSTEAD UNITED REFORMED CHURCH,6
E01001109,SELHURST STATION,2
E01001110,HOGARTH CRESCENT,5
E01001111,TALBOT ROAD,4
E01001112,CLIFTON ROAD,7
E01001113,SELHURST STATION,1
E01001114,PAWSONS ROAD,4
E01001115,WINDMILL GROVE,3
E01001116,BEACONSFIELD ROAD,5
E01001118,DEVONSHIRE ROAD,4
E01001119,DOVE CLOSE,8
E01001120,SELSDON PRIMARY SCHOOL,1
E01001121,HAWTHORN CRESCENT,11
E01001122,FARLEY ROAD / CROHAM VALLEY ROAD,7
E01001123,ASHEN VALE,4
E01001124,ARUNDEL AVENUE,5
E01001125,OLD FARLEIGH ROAD,15
E01001126,PIXTON WAY,3
E01001127,SHIRLEY YOUTH AND COMMUNITY CENTRE,4
E01001129,MILLERS POND,5
E01001130,SHRUBLANDS / BRAMBLE CLOSE,3
E01001132,GLADE GARDENS,7
E01001133,CHESTON AVENUE,5
E01001134,SHIRLEY LIBRARY,8
E01001135,WICKHAM ROAD / MONKS ORCHARD,14
E01001136,SOUTH NORWOOD CLOCK TOWER,6
E01001137,BEULAH HILL / ALL SAINTS CHURCH,10
E01001138,HARRIS CITY ACADEMY,5
E01001139,HOWDEN ROAD,6
E01001140,ROSS ROAD,5
E01001142,STANLEY HALL,9
E01001143,SUNNYBANK,3
E01001144,PARK ROAD,1
E01001145,PORTLAND ROAD / NORWOOD JCT STATION,2
E01001147,SANDFIELD ROAD,9
E01001148,HOWBERRY ROAD,3
E01001149,GRANGE AVENUE,2
E01001150,WHARNCLIFFE GARDENS,2
E01001151,SANDFIELD ROAD,1
E01001152,PARCHMORE METHODIST CHURCH,4
E01001154,CLIFTON ROAD,2
E01001155,THORNTON HEATH STATION,9
E01001156,BEULAH SPA,11
E01001157,COUNTY ROAD,5
E01001158,UPPER BEULAH HILL,4
E01001159,HERMITAGE ROAD,5
E01001162,ROCKMOUNT ROAD,6
E01001163,TIVOLI ROAD,2
E01001164,WESTOW HILL,5
E01001165,PURLEY WAY / WADDON ROAD,4
E01001166,RECTORY GROVE,5
E01001167,WADDON LEISURE CENTRE / FIVEWAYS,13
E01001168,ALTON ROAD,4
E01001169,CROWLEY CRESCENT,1
E01001170,SWAN & SUGAR LOAF,7
E01001171,BRAMLEY HILL,6
E01001172,AIRPORT HOUSE,8
E01001173,HALING PARK ROAD,12
E01001175,WHITEHORSE MANOR BRIGSTOCK SITE,2
E01001176,THORNTON HEATH POND / FAIRLANDS AVENUE,5
E01001177,ROCHFORD WAY,4
E01001178,CROYDON UNIVERSITY HOSPITAL,6
E01001180,LOMBARD ROUNDABOUT,5
E01001181,CANTERBURY ROAD,1
E01001182,GALPINS ROAD,6
E01001183,THORNTON HEATH POND,9
E01001185,WOODSIDE GREEN,8
E01001186,SOUTH NORWOOD LEISURE CENTRE,4
E01001187,TOWPATH WAY,2
E01001189,,1
E01001191,NORWOOD JUNCTION STATION,4
E01001192,HARRINGTON ROAD,1
E01001193,CHRISTIE DRIVE,4
E01001195,WALTON WAY,10
E01001196,ACTON MAIN LINE STATION,5
E01001197,WEST ACTON STATION,4
E01001199,FARADAY ROAD,5
E01001202,ROSEMONT ROAD,6
E01001203,ACTON OLD TOWN HALL,1
E01001204,CLEVELAND ROAD,2
E01001205,DRAYTON GREEN,2
E01001206,CHEYNE PATH,7
E01001207,WEST EALING STATION,5
E01001208,RUISLIP ROAD EAST,4
E01001209,PITSHANGER LIBRARY,3
E01001210,GURNELL LEISURE CENTRE,2
E01001211,FAIRLEA PLACE,2
E01001212,KENT GARDENS,7
E01001213,NORTH ROAD,1
E01001214,TELFORD ROAD,8
E01001215,SOUTHALL TOWN HALL,4
E01001216,DORMER'S WELLS LANE,3
E01001218,WINDMILL LANE,3
E01001219,WALLIS ROAD,2
E01001220,IRON BRIDGE,10
E01001223,,1
E01001224,CLEVELAND ROAD,2
E01001225,EALING BROADWAY STN   / HAVEN GREEN,11
E01001226,MARCHWOOD CRESCENT,12
E01001228,LONGFIELD AVENUE,7
E01001229,LIONEL ROAD NORTH,2
E01001230,WARWICK ROAD / UNIVERSITY OF WEST LONDON,2
E01001231,ACTON TOWN STATION,3
E01001232,KNIGHTS AVENUE,1
E01001233,SOUTH EALING STATION,1
E01001234,EALING COMMON STATION,1
E01001235,GUNNERSBURY AVENUE,6
E01001236,GRANGE ROAD,1
E01001237,THE COMMON / WARWICK DENE,1
E01001239,SHAFTESBURY GARDENS,9
E01001240,THE FAIRWAY,5
E01001241,SHAA ROAD,7
E01001242,,1
E01001243,WESTERN AVENUE / SAVOY CIRCUS,6
E01001244,ACTON VALE / BROMYARD AVENUE,12
E01001245,SECOND AVENUE,2
E01001246,WILLESDEN JUNCTION STATION,17
E01001247,GYPSY CORNER,23
E01001248,CUMBERLAND ROAD,4
E01001249,WEST EALING BROADWAY,4
E01001250,GROSVENOR ROAD,4
E01001251,HALF ACRE ROAD,2
E01001252,HANWELL BROADWAY,4
E01001253,ROSEBANK ROAD,2
E01001254,HALF ACRE ROAD,2
E01001257,BROADMEAD ROAD,3
E01001258,BEECHWOOD AVENUE,5
E01001259,EASTMEAD AVENUE,3
E01001260,COSTONS LANE,2
E01001261,CLIFTON ROAD,18
E01001262,GREENFORD HIGH SCHOOL,5
E01001263,HOTSPUR ROAD,6
E01001264,MARNHAM CRESCENT,2
E01001266,WESTWAY CROSS RETAIL PARK,4
E01001267,COWGATE ROAD,6
E01001268,WEST RIDGE GARDENS,3
E01001269,BERKELEY AVENUE,7
E01001270,,7
E01001271,KEBLE CLOSE,5
E01001272,GREENFORD STATION,7
E01001275,NORTH EALING STATION,5
E01001276,IVEAGH AVENUE,10
E01001277,HANGER LANE STATION,13
E01001278,HANGER LANE STATION,5
E01001279,,2
E01001280,HILLCREST ROAD,7
E01001281,FAIRLEA PLACE,2
E01001282,CUCKOO AVENUE,1
E01001283,KENNEDY ROAD,13
E01001284,,7
E01001285,BORDARS ROAD,9
E01001286,BROWNING AVENUE,5
E01001287,,1
E01001288,DRAYTON BRIDGE ROAD,2
E01001289,BROWNING AVENUE,1
E01001290,HANWELL STATION,2
E01001291,AVON ROAD,3
E01001293,ASH GROVE,2
E01001294,LAWSON ROAD,5
E01001295,RUTLAND ROAD,2
E01001296,ALLENBY ROAD,2
E01001297,DENBIGH ROAD,5
E01001298,NORTH ROAD,1
E01001299,HASLEMERE AVENUE,3
E01001300,JULIEN ROAD,1
E01001301,SOUTH EALING ROAD,6
E01001302,NORTHFIELDS STATION,5
E01001303,NORTHFIELDS STATION,3
E01001305,ELTHORNE PARK ROAD,1
E01001307,OLDFIELD LANE NORTH,1
E01001308,SUDBURY TOWN STATION,5
E01001309,MARY PETERS DRIVE,2
E01001310,READING ROAD,2
E01001311,GREENFORD ROAD,2
E01001312,GAINSBORO GARDENS,6
E01001313,ROSEWOOD AVENUE,3
E01001315,WOOD END LANE,3
E01001316,DANEMEAD GROVE,6
E01001317,SANDOWN WAY,7
E01001318,CASTLE ROAD,8
E01001319,,2
E01001320,ISLIP MANOR ROAD,2
E01001321,KINGSTON CLOSE,6
E01001322,NORTHOLT STATION,13
E01001323,MOAT FARM ROAD,6
E01001324,TARGET ROUNDABOUT,1
E01001325,GURNEY ROAD,3
E01001326,SYCAMORE CLOSE,4
E01001327,YEADING / DILSTON CLOSE,5
E01001328,YEADING / WHITE HART ROUNDABOUT,6
E01001329,GURNEY ROAD,2
E01001330,CHURCH ROAD,3
E01001331,KINGSHILL AVENUE,1
E01001333,THE GREEN,4
E01001334,TENSING ROAD,9
E01001335,,2
E01001336,HAREWOOD TERRACE,5
E01001337,EALING HOSPITAL,10
E01001338,SOUTHALL STATION,8
E01001339,THREE BRIDGES / WINDMILL LANE,6
E01001341,LEE ROAD,4
E01001342,BROOKLANDS DRIVE,2
E01001343,JUBILEE ROAD,2
E01001344,PERIVALE STATION,5
E01001346,WELLAND GARDENS,1
E01001347,PERIVALE TESCO,5
E01001348,DAWLISH AVENUE,10
E01001349,PERIVALE LANE,4
E01001350,LAYER GARDENS,2
E01001351,STEYNE ROAD,5
E01001352,EALING COMMON STATION,3
E01001353,ACTON TOWN STATION,1
E01001354,TWYFORD AVENUE,6
E01001355,ACTON OLD TOWN HALL,6
E01001357,ALL SAINTS ROAD,2
E01001358,HANBURY ROAD,12
E01001359,ABBOTTS ROAD,1
E01001361,SOUTHALL BROADWAY,13
E01001362,PARK AVENUE,2
E01001363,SOUTHALL / TRINITY ROAD,3
E01001365,,2
E01001367,KING STREET,9
E01001369,NORWOOD GARDENS,7
E01001370,BRENT ROAD,3
E01001371,DERLEY ROAD,1
E01001375,RUGBY ROAD,2
E01001376,WILKINSON WAY,4
E01001377,BEDFORD ROAD,4
E01001380,CHISWICK BUSINESS PARK,1
E01001384,HESSEL ROAD,1
E01001385,GRAHAM AVENUE,2
E01001386,ST MARY'S CHURCH,3
E01001387,EALING POLICE STATION,2
E01001388,DEAN GARDENS / MATTOCK LANE,9
E01001389,WEST EALING BROADWAY,2
E01001390,YORK ROAD,3
E01001391,PALMERSTON ROAD,1
E01001393,PYMMES ROAD,4
E01001394,TOTTENHALL ROAD,5
E01001395,ST PAULS RISE,3
E01001396,BERKSHIRE GARDENS,4
E01001397,MITCHELL ROAD,5
E01001398,HAIL & RIDE PARK AVENUE,4
E01001399,BURY STREET,7
E01001400,CHURCH STREET,8
E01001401,TRINITY AVENUE / BUSH HILL PARK STN,3
E01001402,GREEN DRAGON LANE,5
E01001403,CHURCH STREET,6
E01001404,THE FAIRWAY,5
E01001405,HAIL & RIDE WELLINGTON ROAD,13
E01001406,HAIL & RIDE BUSH HILL PARK STATION,15
E01001407,KENILWORTH CRESCENT,3
E01001408,BROWNING ROAD,4
E01001409,HOE LANE,1
E01001411,BAKER STREET,4
E01001412,TURKEY STREET STATION,25
E01001413,HILLSIDE CRESCENT,9
E01001414,GORDON HILL STATION,2
E01001415,COCKFOSTERS STATION,15
E01001416,HAIL & RIDE LOWER KENWOOD AVENUE,8
E01001417,WAGON ROAD,12
E01001418,PEACE CLOSE,3
E01001419,OAKWOOD STATION  / CHASE ROAD,12
E01001421,MONKFRITH WAY,1
E01001422,,14
E01001423,EDMONTON GREEN STATION,3
E01001425,ANGEL CORNER,5
E01001426,HAIL & RIDE EDMONTON CEMETERY,2
E01001427,ELEY TRADING ESTATE,8
E01001429,EDMONTON GREEN BUS STATION,18
E01001430,BRETTENHAM ROAD,2
E01001431,HAIL & RIDE JEREMY'S GREEN,1
E01001432,ANGEL CORNER,4
E01001433,MILLMARSH LANE,9
E01001436,MAYFIELD ROAD,1
E01001437,GREEN STREET / BRIMSDOWN STATION,7
E01001438,BRIMSDOWN STATION,3
E01001439,CARTERHATCH LANE,9
E01001440,GREEN STREET,4
E01001441,HERTFORD ROAD,4
E01001442,ALBANY LEISURE CENTRE,3
E01001444,ARLINGTON CRESCENT,3
E01001445,ORDNANCE ROAD / MOLLISON AVENUE,6
E01001446,OAKHURST ROAD,3
E01001447,MALVERN ROAD,2
E01001449,ENFIELD LOCK STATION,5
E01001450,ENFIELD TOWN / CHURCH STREET,12
E01001451,PARK CRESCENT,7
E01001452,,3
E01001453,EVERSLEY PARK ROAD,5
E01001454,GRANGE PARK STATION,10
E01001455,ST STEPHEN'S CHURCH,1
E01001456,OLD PARK RIDINGS,2
E01001457,ENFIELD CHASE STATION,4
E01001458,NORTH MIDDLESEX HOSPITAL,5
E01001459,BURY STREET,2
E01001460,ALL SAINTS CHURCH,1
E01001461,HASELBURY ROAD,3
E01001462,EDMONTON FIRE STATION,1
E01001464,,1
E01001465,CAMBRIDGE ROUNDABOUT / EAST SIDE,5
E01001466,HAIL & RIDE HASELBURY ROAD / SILVER ST,1
E01001468,CHASE FARM HOSPITAL / MAIN ENTRANCE,9
E01001469,HARDY WAY,9
E01001470,LINKS SIDE,8
E01001471,DRAPERS ROAD,3
E01001473,LONSDALE DRIVE / HIGHLANDS SCHOOL,7
E01001474,THE RIDGEWAY,6
E01001475,HAIL & RIDE CLIFTON GARDENS,3
E01001476,NIGHTINGALE ROAD,5
E01001477,KING GEORGE SAILING CLUB,1
E01001478,TRINITY AVENUE / BUSH HILL PARK STN,5
E01001479,TRAMWAY AVENUE,4
E01001480,HAIL & RIDE BURY STREET,2
E01001481,SHIRLEY GROVE,2
E01001483,PICKETTS LOCK CENTRE,2
E01001484,HAIL & RIDE GT CAMBRIDGE INDUSTRIAL EST,3
E01001485,BOUNCES ROAD,4
E01001486,HAIL & RIDE TOWN ROAD,7
E01001487,FOREST ROAD / JUBILEE PARK,2
E01001488,HAIL & RIDE GALLIARD ROAD,4
E01001489,CHESTER ROAD,2
E01001491,BOUNCES ROAD,4
E01001492,WARLEY ROAD,3
E01001493,MEADOWCROFT ROAD,2
E01001494,THE FAIRWAY,2
E01001496,,2
E01001498,LODGE DRIVE,3
E01001499,CHEQUERS WAY,13
E01001500,GREEN LANES,2
E01001501,PALMERS GREEN / PALMERSTON ROAD,7
E01001502,ORCHARD ROAD,3
E01001503,HAIL & RIDE SUFFOLK ROAD,1
E01001504,PONDERS END HIGH STREET,1
E01001505,GLYN ROAD,5
E01001507,SOUTHBURY ROAD,9
E01001508,HAIL & RIDE LINCOLN ROAD,3
E01001509,SCOTLAND GREEN ROAD,3
E01001511,BAIRD ROAD,8
E01001512,ENFIELD TOWN STATION,7
E01001513,GREAT CAMBRIDGE ROAD,11
E01001514,HAIL & RIDE MAIN AVENUE,5
E01001515,LINCOLN ROAD,3
E01001516,CAMBRIDGE GARDENS,7
E01001517,LARKSFIELD ROAD,2
E01001518,PERCIVAL ROAD,9
E01001520,ST THOMAS ROAD,5
E01001521,MEADWAY,4
E01001522,HIGHLANDS VILLAGE / ELIZABETH LODGE,4
E01001523,CHURCH HILL,11
E01001524,CHARTER WAY,3
E01001525,WEST GROVE PRIMARY SCHOOL,3
E01001526,PARK GATE,2
E01001527,BROOMFIELD PARK,4
E01001528,NEW SOUTHGATE STATION,9
E01001529,BETSTYLE CIRCUS,5
E01001530,TELFORD ROAD,2
E01001531,,5
E01001532,YE OLDE CHERRY TREE,4
E01001534,ARNOS GROVE STATION,10
E01001535,BROWNLOW ROAD,7
E01001536,ENFIELD TOWN STATION,14
E01001537,FORTY HILL,2
E01001538,WILLOW ROAD,10
E01001539,KENILWORTH CRESCENT,1
E01001540,LAUREL BANK ROAD,6
E01001542,GORDON ROAD,3
E01001543,CHURCHBURY CLOSE,4
E01001544,LADYSMITH ROAD,10
E01001545,COCKER ROAD,2
E01001546,OAKHURST ROAD,1
E01001547,TURKEY STREET STATION,4
E01001548,TURKEY STREET STATION,4
E01001549,INGERSOLL ROAD,4
E01001550,DURANTS SCHOOL,2
E01001551,BULLSMOOR LANE / GREAT CAMBRIDGE ROAD,5
E01001552,BULLSMOOR LANE / HERTFORD ROAD,6
E01001553,EMPIRE PARADE,2
E01001554,NUTFIELD CLOSE,2
E01001555,COLYTON WAY,1
E01001558,ANGEL CORNER / SILVER STREET STATION,3
E01001559,RAVENSIDE TRADING ESTATE,8
E01001560,CAMBRIDGE ROUNDABOUT / SOUTH SIDE,9
E01001562,,2
E01001563,BOURNE HILL,10
E01001564,HIGHFIELD ROAD,3
E01001565,,4
E01001566,PALMERS GREEN STATION,2
E01001567,DENLEIGH GARDENS / ST PAUL'S CHURCH,6
E01001568,DENLEIGH GARDENS / ST PAUL'S CHURCH,3
E01001569,STATION ROAD,12
E01001570,HIGHFIELD ROAD,10
E01001571,MCLEOD ROAD / BOSTALL LANE,3
E01001572,ABBEY WOOD ROAD,5
E01001573,CASSILDA ROAD,5
E01001574,LONGLEIGH LANE,11
E01001575,SOUTHMERE LAKE,5
E01001576,FELIXSTOWE ROAD,9
E01001577,HARROW MANORWAY / LENSBURY WAY,6
E01001579,FELIXSTOWE ROAD,7
E01001580,BLACKHEATH / ROYAL STANDARD,11
E01001581,BLACKHEATH / ROYAL STANDARD,11
E01001582,WRICKLEMARSH ROAD,3
E01001583,SHOOTERS HILL ROAD / KIDBROOKE PARK ROAD,5
E01001584,BLACKHEATH STATION,1
E01001586,TUDOR GRANGE,2
E01001587,VANBRUGH PARK ROAD,6
E01001588,CHARLTON PARK ROAD,7
E01001590,NADINE STREET,6
E01001591,CHARLTON VILLAGE,5
E01001592,WYNDCLIFF ROAD,4
E01001593,WYNDCLIFF ROAD,2
E01001594,CHARLTON ROAD / VICTORIA WAY,2
E01001596,MAINRIDGE ROAD,7
E01001597,MOTTINGHAM STATION,3
E01001599,WILLIAM BAREFOOT DRIVE,5
E01001600,NEW ELTHAM STATION  / SOUTHWOOD ROAD,4
E01001601,THAXTED ROAD,5
E01001602,MOTTINGHAM ROAD / RAVENSWORTH ROAD,4
E01001603,COLDHARBOUR LIBRARY,5
E01001604,ELTHAM STATION  / SHERARD ROAD,10
E01001605,ROCHESTER WAY / FALCONWOOD STATION,10
E01001606,WESTMOUNT ROAD / ROCHESTER WAY,4
