stopcode,lsoa
35829,E01003830
3381,E01001615
33808,E01000899
33805,E01000895
33804,E01000896
33803,E01000896
33799,E01000882
33798,E01000883
33796,E01002349
33794,E01002349
33793,E01002349
33792,E01002348
33791,E01002348
33787,E01003212
8036,E01003630
8035,E01003630
8027,E01003636
8019,E01003619
8017,E01034200
8015,E01003616
8013,E01003549
8005,E01004335
80013,E01000248
80011,E01000867
80010,E01001997
80008,E01000321
80007,E01000290
80002,E01000250
80001,E01002790
43008,E01003220
43005,E01003220
43004,E01003220
43002,E01003220
43001,E01003220
43,E01003137
4289,E01004354
4285,E01000040
4283,E01000095
3297,E01003014
3290,E01003426
3286,E01000634
3285,E01000634
3263,E01000586
3262,E01002852
3260,E01004720
3256,E01004679
3251,E01033593
325,E01000863
3247,E01003026
324,E01000863
3238,E01004695
740,E01035638
737,E01034030
7330,E01001092
730,E01004725
728,E01004725
723,E01004727
720,E01004074
719,E01004074
708,E01003024
7059,E01003566
36623,E01003824
36622,E01003828
403,E01001714
40250,E01000752
40242,E01000763
40241,E01000763
40239,E01000683
40238,E01000830
40237,E01000824
40236,E01000676
40235,E01034386
40234,E01034386
40232,E01000788
35152,E01001334
35151,E01001369
35140,E01002854
3513,E01002734
3510,E01001547
3505,E01002091
35039,E01003512
34304,E01004381
34303,E01004381
34302,E01004388
34301,E01004388
34004,E01002181
34000,E01002181
3400,E01002485
33999,E01034594
33998,E01034594
33997,E01002340
33979,E01001429
33974,E01000403
33958,E01003539
8973,E01004551
8969,E01004508
8967,E01004508
8966,E01004510
8961,E01004514
8957,E01004536
8953,E01004541
894,E01002902
893,E01002902
8927,E01035493
8393,E01033490
839,E01002869
8388,E01002703
8387,E01002707
8383,E01002724
8378,E01035712
8372,E01002702
8371,E01035649
837,E01002869
4592,E01000564
459,E01004591
4578,E01001338
4575,E01001361
4568,E01002681
35037,E01003150
35013,E01002521
35000,E01003640
34994,E01004675
34991,E01004675
34983,E01004086
34982,E01002368
34981,E01002368
34980,E01002371
34979,E01002371
34978,E01002370
34970,E01004537
34089,E01002579
34087,E01034597
34084,E01004631
34082,E01002028
34073,E01004378
34070,E01004377
34069,E01035493
34066,E01003900
3406,E01001016
34055,E01002734
3405,E01001018
34043,E01000197
34042,E01000196
3404,E01001020
34034,E01003000
34029,E01001613
34023,E01004103
34020,E01004621
34010,E01003941
34007,E01034594
34006,E01004714
8552,E01032739
8548,E01000001
8531,E01002291
8525,E01002360
8523,E01002386
8517,E01002344
8511,E01002370
851,E01001243
850,E01001861
847,E01001940
846,E01001896
8408,E01000586
8407,E01000586
8405,E01001087
840,E01001941
84,E01002826
8398,E01000871
8396,E01004669
8394,E01033490
40214,E01000721
40213,E01000724
40212,E01000722
40211,E01000722
40210,E01000725
40209,E01000725
40208,E01000725
40207,E01000727
40202,E01000685
40201,E01000795
40199,E01000791
40197,E01000788
35464,E01004670
35453,E01001581
3542,E01002376
35414,E01002277
35413,E01002279
35411,E01002281
35410,E01034484
35397,E01002304
36889,E01003378
36879,E01000633
34363,E01001537
34361,E01034471
34358,E01001167
34352,E01034027
3435,E01000310
34349,E01035494
34347,E01003929
34341,E01001538
34336,E01002788
34335,E01002788
34329,E01001393
34328,E01000568
34322,E01004384
34321,E01003032
34317,E01034148
34310,E01003701
34309,E01001943
34307,E01000914
33377,E01003444
33363,E01003740
33362,E01003740
33361,E01003740
33355,E01000310
33347,E01033706
33338,E01004389
33336,E01004389
33333,E01000210
33331,E01002730
33328,E01002762
33325,E01002763
33322,E01033491
33320,E01002732
33309,E01034150
33291,E01000947
33288,E01000863
33284,E01033594
33274,E01035493
9366,E01003026
9365,E01003040
9364,E01003042
9362,E01003042
9359,E01001502
9358,E01000139
9357,E01000139
9351,E01003860
9346,E01004590
9342,E01004564
9341,E01004564
934,E01001734
9339,E01004564
9334,E01033100
9331,E01033098
9326,E01003789
9322,E01003789
9317,E01003791
4565,E01002650
4558,E01002587
4551,E01002155
455,E01000914
4546,E01002161
4538,E01001459
4529,E01004094
35396,E01000445
35395,E01000445
35393,E01000443
35391,E01000445
35389,E01000448
35387,E01000448
35382,E01004105
35381,E01004105
35376,E01002948
35361,E01002758
35360,E01003355
35351,E01003700
35349,E01003703
35348,E01003703
3534,E01001501
35333,E01000221
35328,E01033584
33394,E01001481
33389,E01002948
33384,E01002490
33381,E01002302
34300,E01004387
34298,E01004386
34295,E01004385
34292,E01034198
34290,E01003941
34289,E01003942
34288,E01003960
34287,E01002066
34282,E01002758
3428,E01001095
34276,E01000727
34275,E01000727
34274,E01000727
34272,E01000727
34271,E01000727
3427,E01001095
34269,E01004223
34268,E01001584
34253,E01004293
34231,E01003224
9370,E01000479
9368,E01003032
8924,E01001877
8919,E01004616
8918,E01035484
8916,E01035484
8915,E01035484
8910,E01035484
8908,E01035485
8907,E01035484
8903,E01035485
8902,E01035485
8900,E01001877
89,E01003969
8894,E01001854
8887,E01001891
8886,E01001891
8880,E01001918
888,E01035694
8876,E01001906
8875,E01001915
8874,E01001907
8872,E01001915
8871,E01004609
8870,E01004609
8867,E01004602
4524,E01002949
4523,E01002948
4522,E01002948
4518,E01002941
4515,E01003002
4507,E01002915
4505,E01003875
4501,E01003006
4500,E01003817
4489,E01002981
4486,E01002965
448,E01004041
447,E01033880
44624,E01001581
445,E01004010
4423,E01001033
35811,E01001277
3581,E01002594
35803,E01001877
35790,E01000477
3579,E01002559
35789,E01000476
9316,E01003791
9313,E01003793
9312,E01003793
9305,E01003792
8866,E01004602
8865,E01035490
8862,E01035490
886,E01004286
8850,E01004494
885,E01032769
8846,E01004494
8839,E01004496
8838,E01004496
8837,E01004498
8832,E01004492
8825,E01004615
8823,E01004614
8822,E01004614
4910,E01000545
4803,E01004657
480,E01003164
48,E01004708
4798,E01004729
4797,E01004661
4790,E01000946
4789,E01004727
35688,E01002151
35683,E01002144
35678,E01001450
3565,E01003823
33673,E01004344
33668,E01001052
33660,E01001054
33648,E01000235
33643,E01002425
33642,E01002429
33641,E01002429
33640,E01002428
33639,E01002428
33638,E01002425
33635,E01001322
33629,E01003374
33627,E01033873
33626,E01003937
7963,E01004406
7962,E01004406
796,E01002767
7949,E01004409
7941,E01004342
7933,E01004344
7931,E01004455
793,E01002799
7923,E01004419
7922,E01004455
7920,E01004455
7919,E01004418
7916,E01004454
4909,E01000490
4897,E01033586
4893,E01034202
4876,E01003570
4871,E01004545
4870,E01004548
4869,E01004545
3578,E01002559
35771,E01034474
35767,E01001765
35759,E01001758
35743,E01000727
35733,E01003006
35731,E01001536
40204,E01000793
40203,E01000793
931,E01001734
35765,E01001745
35764,E01001745
35762,E01001746
35760,E01001759
8440,E01003969
34003,E01002164
34001,E01002162
35730,E01004734
35728,E01002439
35727,E01002439
35719,E01003856
35714,E01004178
35713,E01000428
35708,E01001666
35707,E01004552
35706,E01001666
3327,E01002444
33269,E01002960
33268,E01002960
33263,E01033711
33261,E01000948
33260,E01000959
33256,E01000556
33246,E01033790
33245,E01033790
33243,E01033790
33242,E01000367
33238,E01000369
33237,E01000369
7997,E01004336
7995,E01004336
7991,E01004336
7989,E01004430
7980,E01004435
7976,E01004432
7975,E01004370
7973,E01004370
7972,E01034487
7971,E01004364
7967,E01004365
9304,E01003523
9302,E01033581
9299,E01033582
9292,E01033581
9283,E01003848
9271,E01003119
9270,E01003119
9268,E01004076
925,E01003293
9248,E01035659
9242,E01002719
9240,E01002377
9182,E01000392
918,E01003979
9170,E01001573
9167,E01001677
9157,E01003469
9156,E01003469
9155,E01003470
9154,E01003470
9152,E01003447
611,E01004721
4868,E01003145
4867,E01004644
4861,E01004506
4859,E01003398
4858,E01004506
4857,E01003057
4842,E01002072
4840,E01002038
484,E01003050
4838,E01002047
4836,E01001747
4828,E01004207
4826,E01035675
4816,E01033708
4813,E01000948
4807,E01035712
17618,E01003358
17616,E01003358
17613,E01003460
17611,E01003460
17610,E01003460
17609,E01003464
17605,E01004634
17603,E01004500
17600,E01002982
17595,E01000403
17589,E01000334
17588,E01000334
17587,E01000417
17585,E01000417
17584,E01001574
17389,E01003307
17387,E01003310
17386,E01003310
17384,E01003310
17382,E01001010
17381,E01001010
23514,E01002926
23513,E01002926
23511,E01002926
23504,E01002916
23492,E01001121
2344,E01004591
23410,E01003318
2339,E01003034
23355,E01000379
23300,E01002945
2328,E01003122
23273,E01000333
23269,E01000333
2175,E01004548
21697,E01000377
2165,E01004476
2164,E01003026
21625,E01000325
216,E01035718
21598,E01000433
19366,E01002948
19107,E01003361
19103,E01003362
19102,E01003366
19101,E01003366
19099,E01003380
19098,E01003380
19096,E01003382
19095,E01003382
19090,E01003445
1909,E01002005
19086,E01003444
17547,E01003422
17543,E01003467
17541,E01003467
17540,E01003467
17537,E01000780
17536,E01000780
29555,E01003760
29553,E01003750
29552,E01003750
29551,E01003750
29549,E01003750
BP1619,E01032582
BP1612,E01000248
21597,E01000435
2140,E01003933
2131,E01000799
2127,E01003221
2123,E01032739
2108,E01033706
2107,E01001777
2106,E01001777
2104,E01001755
20997,E01001762
18964,E01000698
18959,E01000810
18951,E01000754
18947,E01000757
18942,E01000756
18733,E01000768
18731,E01002667
18729,E01000210
18728,E01001191
16835,E01002614
16834,E01002614
16833,E01002614
16831,E01002612
16828,E01002593
1682,E01003394
16813,E01002559
16812,E01002558
16808,E01002595
16807,E01002595
16806,E01002592
16805,E01002650
16802,E01002650
16798,E01001474
16797,E01001474
16796,E01001474
16795,E01001470
16793,E01001470
16791,E01001470
16790,E01001470
17534,E01001602
17533,E01001603
17528,E01000691
17527,E01000692
17524,E01000696
17523,E01000696
17522,E01000696
17270,E01000118
17267,E01000118
17264,E01002008
17263,E01002008
17260,E01000206
17259,E01000206
17256,E01000206
17255,E01000475
17254,E01000475
17252,E01000475
17249,E01001308
26460,E01002191
BP1610,E01002596
BP1609,E01034602
BP1608,E01003874
BP1607,E01002400
BP1606,E01002400
BP1604,E01002402
BP1595,E01003830
BP1591,E01001121
BP1589,E01002867
BP1584,E01002583
BP158,E01002535
FC46,E01003783
FC42,E01003783
FC39,E01034484
FC30,E01032782
FC29,E01003506
FC28,E01034212
22265,E01002441
19080,E01003403
1908,E01002005
19079,E01003461
18727,E01003360
1872,E01004244
187,E01002704
18696,E01002915
1869,E01035691
18688,E01003447
18686,E01003447
18683,E01003423
18682,E01003423
18681,E01003428
1868,E01035690
18677,E01003358
18676,E01003355
18675,E01003359
18674,E01003359
18673,E01034580
18671,E01034581
18669,E01034581
16836,E01002614
16787,E01001419
25964,E01000255
25960,E01000745
23267,E01000442
23262,E01000440
23259,E01000358
23258,E01000358
23256,E01000327
23255,E01000365
23253,E01000365
2323,E01035496
2322,E01035496
2318,E01033862
2317,E01033862
2316,E01033862
2315,E01004619
2314,E01004543
23118,E01033791
23115,E01000379
23114,E01000379
37179,E01000881
37178,E01000881
37171,E01000858
37169,E01004574
37168,E01004067
37162,E01000906
37159,E01001608
37154,E01003074
37152,E01002319
37151,E01002319
37148,E01035706
37144,E01004221
37143,E01004221
37138,E01004293
29018,E01003711
29002,E01002333
29001,E01002332
29000,E01002336
29,E01004506
19078,E01003461
19071,E01004601
19070,E01004601
19069,E01004593
19068,E01004593
19062,E01003478
19060,E01034578
19059,E01034578
19057,E01034579
19055,E01034578
19052,E01003400
19050,E01003400
19037,E01000751
19029,E01000667
19028,E01000667
19027,E01001544
19026,E01001544
19025,E01000841
19024,E01000840
19023,E01003193
17379,E01001006
17374,E01003375
17369,E01003375
17368,E01002908
17367,E01003375
17366,E01004185
17361,E01004186
17360,E01004175
17359,E01004175
17357,E01004175
17356,E01004171
17353,E01004176
26592,E01002968
26583,E01000362
26582,E01000363
26567,E01000443
26239,E01001476
26238,E01001479
26226,E01003845
26221,E01002563
26220,E01002563
2311,E01004358
23105,E01003966
2310,E01004358
231,E01003055
23062,E01034602
18940,E01000400
18938,E01000414
18930,E01000350
18926,E01000345
18923,E01000386
1892,E01003525
18919,E01000448
18917,E01003222
18916,E01002982
18912,E01000146
18910,E01002233
1891,E01034203
18905,E01000508
18901,E01002062
18900,E01001170
2899,E01003531
28972,E01004660
2887,E01003537
2882,E01003540
288,E01003303
2878,E01034205
9805,E01003662
98,E01004517
9796,E01003006
9791,E01001041
978,E01003929
9771,E01002361
9768,E01002361
9767,E01002362
9766,E01002362
976,E01004763
BP2922,E01002385
BP2921,E01002385
BP2920,E01002385
17234,E01001315
17233,E01002426
17232,E01002426
17231,E01002426
17228,E01002424
17226,E01002424
17223,E01001325
17222,E01001325
17220,E01001325
17217,E01002608
17215,E01002608
17202,E01002482
172,E01002574
17199,E01002474
17198,E01002185
17195,E01002186
17194,E01002186
17193,E01002186
2622,E01000916
26207,E01004042
26205,E01004042
26203,E01003047
26202,E01000257
26197,E01033911
26192,E01003360
26190,E01003128
2619,E01003948
26187,E01003550
26183,E01002274
26182,E01002270
26181,E01002270
26180,E01002377
2618,E01003948
20818,E01001355
20809,E01001078
20808,E01001078
20471,E01004000
20467,E01000698
189,E01035718
18899,E01001986
18898,E01002062
18897,E01002017
18895,E01002017
18892,E01002013
18891,E01002015
18886,E01001972
18885,E01001972
18666,E01003407
18664,E01003407
18662,E01003405
18651,E01003455
1865,E01004305
18649,E01003459
18648,E01003360
18647,E01003359
18646,E01003359
1863,E01004304
BP292,E01034185
BP2917,E01002385
BP2916,E01002385
BP2914,E01002385
BP2911,E01002385
BP2910,E01002385
BP291,E01001576
BP2909,E01002391
BP2908,E01002391
BP2907,E01002391
BP2906,E01002391
BP2895,E01004270
BP2894,E01003735
BP2891,E01003739
BP2890,E01003739
BP289,E01001674
BP2883,E01000717
BP2881,E01000831
BP2880,E01000831
BP2879,E01000717
BP3640,E01002618
BP364,E01001697
17190,E01002155
17189,E01002161
17188,E01002157
26071,E01003226
26068,E01003919
26066,E01003254
26065,E01032639
26063,E01033876
26062,E01032639
26059,E01003922
20466,E01000698
20462,E01004735
2046,E01004309
20445,E01001651
20438,E01004735
20437,E01000428
20434,E01004731
20433,E01035493
20423,E01002370
20422,E01002370
20418,E01001021
20413,E01001813
20407,E01000863
20406,E01001338
20404,E01000394
20403,E01000819
20401,E01004321
20400,E01003238
20399,E01003238
17147,E01002444
17145,E01002447
17144,E01002449
17143,E01035493
17125,E01000567
17124,E01000609
17121,E01000562
17120,E01000606
2596,E01032584
25954,E01003830
25941,E01003934
25939,E01033867
25938,E01033867
25936,E01033884
2593,E01032582
25927,E01004034
BP3638,E01002643
BP3629,E01002678
BP3626,E01002675
BP3620,E01002942
BP362,E01001647
BP3619,E01002939
BP361,E01002634
BP2670,E01002534
BP2666,E01002534
BP2665,E01002534
BP2663,E01001272
BP2661,E01000112
BP2660,E01001613
BP2659,E01001505
BP2656,E01033150
BP2655,E01001445
BP2653,E01033150
BP2651,E01033148
BP2649,E01002712
BP2647,E01001320
BP2646,E01001321
26058,E01003076
26057,E01003076
26056,E01003076
26054,E01004051
26051,E01004051
26049,E01004049
23521,E01002922
23517,E01002922
23516,E01002926
19331,E01003788
1933,E01000633
19324,E01034476
19316,E01000052
19315,E01000052
19314,E01003662
19313,E01000112
19309,E01000099
19308,E01000098
19307,E01000102
19306,E01000102
20392,E01000057
17582,E01001574
17579,E01003435
17576,E01003435
17575,E01003389
17571,E01003441
1757,E01000568
17569,E01003437
17568,E01003437
17565,E01003440
17560,E01003427
1756,E01002176
17558,E01003365
17555,E01003363
17552,E01003364
17550,E01003364
26923,E01000773
26914,E01000777
26911,E01000807
26909,E01000807
26908,E01000815
25926,E01004034
25923,E01004031
25920,E01003247
25918,E01003248
25916,E01003251
25908,E01034180
25907,E01034180
25906,E01001641
25904,E01001814
25896,E01032582
25895,E01032582
2589,E01032583
25875,E01001095
25868,E01034150
19182,E01002446
19180,E01002446
19179,E01002446
19175,E01000282
19173,E01000280
37127,E01003497
37125,E01003486
37121,E01003081
34653,E01033151
34652,E01033146
34639,E01002559
34638,E01002557
34637,E01002557
34636,E01002557
34635,E01002557
34634,E01002555
34631,E01002555
34630,E01002555
34628,E01002010
34625,E01002010
34624,E01002011
34623,E01004000
34620,E01002305
34617,E01002308
34616,E01002308
34612,E01000422
19305,E01000102
19304,E01000083
19303,E01000083
19302,E01000076
19301,E01000041
19300,E01000041
19299,E01000041
19296,E01000045
19290,E01003719
1902,E01003622
19014,E01033729
19011,E01000686
19010,E01000686
19009,E01000686
19007,E01000683
19006,E01000683
19005,E01000794
19001,E01000722
19000,E01000722
18999,E01000722
26907,E01000815
26888,E01000104
26887,E01000104
26885,E01002697
26562,E01000461
26558,E01002370
26556,E01002370
26550,E01002266
26549,E01002262
26547,E01002365
26546,E01002365
26545,E01001990
26544,E01001990
26541,E01003722
26539,E01003722
26537,E01003723
26531,E01002203
26530,E01002202
26529,E01000589
26528,E01000589
19171,E01000280
19169,E01000280
19168,E01000279
19167,E01000279
19166,E01000279
19165,E01000279
19164,E01000279
19163,E01000279
19160,E01000279
19159,E01000279
19156,E01000279
19155,E01000279
19153,E01000279
19152,E01000279
19149,E01000279
19148,E01000261
19146,E01000261
19145,E01000261
19143,E01000263
18880,E01001408
1888,E01034203
34611,E01000470
34610,E01000151
9757,E01002344
9756,E01002344
9755,E01002342
975,E01000802
972,E01001394
970,E01002762
9661,E01001165
9659,E01034146
9647,E01002051
9646,E01000009
9645,E01000113
9639,E01003662
9638,E01003662
9636,E01003666
9628,E01003769
9613,E01003701
9609,E01003701
9602,E01003639
18996,E01000730
18993,E01000738
18990,E01000738
18987,E01000386
18986,E01000386
18982,E01001617
18981,E01001600
18979,E01001596
18978,E01001596
18966,E01000693
18965,E01000698
17444,E01001133
17443,E01001133
17187,E01002160
17186,E01002159
17185,E01002160
17184,E01002160
17183,E01002160
17182,E01002160
17178,E01033463
17177,E01002166
26526,E01000591
26521,E01001341
26520,E01001341
26518,E01001341
26509,E01002282
26508,E01002282
26493,E01002906
20800,E01000316
2080,E01002055
20797,E01001915
20794,E01000636
20791,E01002495
20789,E01002499
20788,E01002499
20787,E01002499
20785,E01003887
20778,E01004335
20776,E01001979
18879,E01001542
18877,E01001544
18875,E01001400
18873,E01001403
18871,E01001461
18869,E01001423
18864,E01002709
17352,E01004172
17350,E01001376
1735,E01004208
17347,E01000975
17346,E01000975
17344,E01000977
17343,E01000983
17340,E01000992
17339,E01000992
17338,E01000992
17336,E01001185
17333,E01001186
17332,E01001186
9599,E01003643
9598,E01003643
9597,E01003643
9591,E01003645
9590,E01003645
959,E01002072
BP2877,E01000774
BP1959,E01003000
BP1957,E01002944
BP1955,E01002527
BP1953,E01002518
BP1952,E01002414
BP1950,E01034606
BP1947,E01002412
BP1944,E01002527
BP1943,E01002527
BP1937,E01002527
BP1934,E01002551
BP1932,E01002411
BP1930,E01002411
BP1929,E01002414
BP1928,E01002414
17175,E01002165
17172,E01000591
17171,E01000515
17170,E01000515
17168,E01000314
17167,E01000314
17148,E01002444
26304,E01003074
26046,E01003953
26045,E01003952
26042,E01003956
26041,E01003952
26038,E01004072
26037,E01004072
26035,E01003950
20770,E01003525
20769,E01003525
20760,E01034221
20751,E01034384
20750,E01000743
20745,E01003699
20743,E01003699
20742,E01003721
20741,E01003702
2074,E01001848
2073,E01001848
20727,E01001792
20388,E01001208
20387,E01001212
2038,E01001351
20379,E01001226
20364,E01000899
20361,E01002303
2036,E01001351
17331,E01001191
1733,E01000963
17119,E01001312
17109,E01001261
17108,E01001261
17107,E01001218
17102,E01000243
17101,E01000242
17100,E01000191
17099,E01000191
17091,E01002152
17089,E01002152
17088,E01002152
17081,E01002151
1707,E01035660
17063,E01000571
17055,E01000575
17053,E01000487
17052,E01000485
17051,E01000485
BP1927,E01000365
BP1916,E01034143
BP1915,E01034143
BP1912,E01004249
BP1911,E01004249
BP191,E01034394
BP1906,E01004249
BP2644,E01001322
BP2641,E01001263
BP2616,E01034042
BP2613,E01000868
BP2612,E01003799
BP2607,E01001061
BP2606,E01001061
BP2605,E01001066
BP2603,E01001061
BP2601,E01001061
BP2598,E01001535
BP1669,E01004458
BP1668,E01004404
BP1667,E01004404
26034,E01004075
26032,E01003255
26028,E01003308
26026,E01003321
26018,E01003201
26015,E01001638
26013,E01001644
26012,E01001644
26011,E01001644
26010,E01033746
25998,E01000462
25994,E01004060
25988,E01003032
19288,E01003719
19287,E01003769
19285,E01003769
19284,E01003770
19282,E01003770
19281,E01003770
20348,E01003726
20347,E01003726
18453,E01002166
18452,E01002348
18449,E01002342
18447,E01002345
18445,E01002370
18444,E01002374
18443,E01002374
18442,E01002373
18441,E01002371
18432,E01002261
18431,E01002260
18429,E01002261
18426,E01002366
18423,E01002363
18419,E01002302
26878,E01001064
26859,E01000499
26855,E01004098
17050,E01000485
1705,E01035661
17048,E01033463
17047,E01033463
17044,E01000520
17040,E01033924
1837,E01003016
18369,E01000765
18363,E01002301
18362,E01002332
18360,E01002326
1836,E01003016
18357,E01002335
18355,E01002338
16875,E01003827
16874,E01003827
16872,E01003827
16868,E01033941
16867,E01004186
BP1649,E01003659
BP1643,E01003839
BP1634,E01001077
BP1633,E01001082
34609,E01000154
34608,E01000154
34601,E01001272
34598,E01001269
34596,E01001307
34594,E01002638
34593,E01002638
34592,E01002638
34591,E01002638
34587,E01002633
34586,E01002633
34583,E01001575
34582,E01001577
34579,E01001629
34575,E01002878
19280,E01001225
19278,E01001415
19269,E01001097
19267,E01002382
19265,E01002251
19264,E01000115
19263,E01001421
1923,E01001739
19229,E01002225
19228,E01002225
19225,E01002225
19224,E01002225
19223,E01002225
1921,E01001741
1920,E01001741
192,E01001770
17442,E01001133
17435,E01000835
26854,E01002629
26851,E01002657
26850,E01002657
26847,E01002616
26842,E01000975
26839,E01001135
26838,E01001127
26837,E01001135
26836,E01001129
26833,E01001129
26832,E01001063
26831,E01001133
26830,E01001129
26826,E01003013
26825,E01001241
26811,E01002277
26809,E01002279
26807,E01002277
26805,E01002281
26804,E01002281
26799,E01002299
16838,E01002601
16837,E01002601
19142,E01000263
19133,E01004099
19132,E01004099
19130,E01004099
1913,E01001997
19129,E01004164
19128,E01004165
19127,E01004164
19126,E01004166
19125,E01004166
19124,E01004164
34572,E01002877
34571,E01002880
34570,E01002877
34565,E01002873
34558,E01001361
34546,E01002326
34519,E01002770
9588,E01003755
9585,E01003755
9577,E01034481
9555,E01003729
9554,E01003734
6402,E01002682
640,E01003590
6393,E01003900
6382,E01003897
6372,E01002670
6367,E01033791
1743,E01004699
17429,E01000837
17427,E01000775
17424,E01000777
17422,E01000778
17420,E01000778
17419,E01000778
17415,E01000704
17414,E01000704
17409,E01000798
17406,E01000805
17405,E01000802
17403,E01000803
17401,E01003327
1740,E01003586
17399,E01003333
17398,E01003333
17396,E01003190
17395,E01003190
17394,E01003190
26796,E01033784
26492,E01002906
2649,E01003099
26487,E01003013
2648,E01001762
26471,E01002211
26464,E01002209
26463,E01002209
26461,E01002191
22191,E01001412
220,E01035490
2198,E01033884
2194,E01002581
2191,E01000933
2190,E01000933
219,E01004608
21882,E01000326
2185,E01001244
2183,E01004613
21823,E01000381
19122,E01034154
19121,E01034154
19120,E01004165
1912,E01001968
19118,E01004165
19117,E01004165
19116,E01004167
19115,E01004167
19114,E01004126
19113,E01004128
19112,E01004123
19111,E01004123
19108,E01003361
17326,E01000806
17321,E01000745
17319,E01000745
17317,E01003334
17314,E01003331
17313,E01003259
17311,E01003256
635,E01002008
6349,E01000375
6347,E01033791
6343,E01001669
6342,E01001669
634,E01002008
BP1905,E01004249
BP1904,E01035679
BP1902,E01035679
BP1901,E01000881
BP1900,E01001103
BP1899,E01000883
BP1898,E01000883
17393,E01003193
17392,E01003193
1739,E01003567
26299,E01003081
26296,E01003318
26294,E01003215
26292,E01003278
26286,E01033327
26284,E01033327
26280,E01003322
26273,E01003223
26268,E01003243
26266,E01003243
26264,E01003240
26263,E01003239
26260,E01032564
2626,E01002801
26259,E01032564
26257,E01003237
21822,E01000381
21820,E01000383
2182,E01004612
2181,E01004613
20723,E01000931
20715,E01002970
20712,E01001361
20703,E01003876
2070,E01034221
20697,E01000098
20694,E01000114
20683,E01003812
20682,E01003812
2068,E01034223
20678,E01001023
18759,E01001705
18757,E01001699
18756,E01033735
18753,E01001629
17310,E01003259
1731,E01000173
17309,E01003256
17307,E01003255
17301,E01001850
17299,E01001850
17298,E01001731
17294,E01002717
17292,E01001230
17291,E01001230
17290,E01001277
17289,E01002562
17285,E01035676
17283,E01004272
17281,E01035685
17280,E01035693
17038,E01033922
17037,E01033916
17035,E01000271
17033,E01034032
BP1630,E01001054
BP1629,E01001055
BP1627,E01001077
BP1624,E01000475
35704,E01003633
35701,E01003500
35675,E01001760
BP2556,E01002490
BP1824,E01001793
BP1823,E01001795
946,E01004208
29615,E01002840
28777,E01000686
37124,E01004307
BP1650,E01004209
BP355,E01001708
BP2552,E01003200
29912,E01000001
29709,E01000120
26256,E01003237
26255,E01003237
26252,E01003236
26251,E01003236
26250,E01003236
26244,E01003845
26242,E01004448
26241,E01000559
25985,E01002443
25981,E01002587
25980,E01002443
25978,E01002587
25976,E01004403
25975,E01000257
25974,E01003848
25971,E01033911
25970,E01033911
25968,E01000259
20513,E01002668
20512,E01002354
18752,E01001695
18742,E01001683
18741,E01001683
18739,E01000693
18738,E01000693
18735,E01004573
18418,E01002307
18417,E01002307
18415,E01002254
18413,E01002384
18411,E01002384
18410,E01002384
18408,E01002386
18404,E01002329
18402,E01002329
18401,E01002329
18398,E01002245
18394,E01000050
18392,E01000043
18391,E01000043
17032,E01034032
17031,E01002565
17030,E01002565
1703,E01004641
26173,E01000286
26171,E01000285
26170,E01000285
26169,E01000285
26167,E01000292
26166,E01000292
26165,E01000292
26161,E01000246
26159,E01000246
26158,E01000246
26156,E01000247
26155,E01000251
26154,E01000251
26153,E01033792
26151,E01004628
26150,E01004505
2615,E01003969
29706,E01000122
29705,E01000122
BP352,E01034173
BP933,E01032739
BP1641,E01034205
33675,E01002961
33613,E01002919
20511,E01002337
2051,E01004208
20503,E01002967
20500,E01000040
2050,E01004322
205,E01032740
20494,E01001257
20486,E01002514
20479,E01002345
20478,E01002552
17650,E01002526
17647,E01002525
17646,E01002529
17644,E01034608
17642,E01034608
17639,E01002519
17636,E01034607
17635,E01002523
17634,E01002523
1839,E01002557
18388,E01002368
18387,E01002368
18385,E01002370
18382,E01002265
18381,E01002261
18380,E01002287
18379,E01002322
18375,E01002319
18374,E01002323
18371,E01000670
26792,E01002310
26768,E01003014
26765,E01003110
26763,E01003101
26761,E01003101
26756,E01003934
2675,E01000856
26747,E01033873
23515,E01002926
26147,E01004503
19502,E01002605
19500,E01003830
195,E01001792
19490,E01003814
19485,E01003814
19484,E01003888
19463,E01002988
194,E01001792
19399,E01002592
19398,E01002592
BP2935,E01002153
BP2932,E01002242
BP2931,E01002242
BP2930,E01002136
BP293,E01001587
BP2929,E01002136
BP2928,E01002136
BP2927,E01002136
BP2925,E01035658
FC76,E01032782
FC73,E01002361
FC70,E01003773
FC69,E01003661
FC66,E01003663
FC63,E01003661
FC60,E01003689
FC53,E01003686
BP3668,E01002619
BP3666,E01002618
BP3664,E01002630
BP3660,E01002674
BP3585,E01003464
BP3584,E01003464
BP3581,E01003461
BP3575,E01001134
BP3574,E01001134
306,E01001762
3058,E01001228
3052,E01001352
3051,E01001352
3050,E01001354
305,E01001760
3044,E01001355
3043,E01001203
3042,E01001355
30419,E01002440
3035,E01001244
3033,E01001245
3025,E01001941
3023,E01000929
BP1518,E01000867
BP1516,E01000957
BP1515,E01035707
BP1514,E01035707
BP1513,E01002708
BP1512,E01002713
BP1510,E01004628
BP1507,E01001042
BP1506,E01001042
CW10,E01002408
C98,E01001367
C96,E01001367
C95,E01001367
C91,E01001954
C90,E01001957
C89,E01001961
C88,E01001955
C85,E01000578
C77,E01002526
29760,E01003541
2976,E01000223
BP2699,E01004323
BP2698,E01004287
