stopcode,lsoa
35329,E01003746
BP1558,E01003855
35515,E01003336
BP3788,E01032582
BP4065,E01003119
35806,E01002424
14755,E01002214
BP1301,E01002099
BP2718,E01001877
34645,E01001882
BP2728,E01033708
BP3802,E01001729
BP1745,E01001562
BP3306,E01001358
BP4059,E01001065
34642,E01001155
BP1744,E01001178
33289,E01000947
34455,E01000314
BP2323,E01000194
34954,E01000237
34683,E01004525
BP4642,E01002037
BP4639,E01002037
BP4408,E01004725
BP4400,E01035718
BP4260,E01002029
H0248,E01000655
34316,E01003574
34988,E01003446
34475,E01001787
BP895,E01001451
BP1597,E01001318
BP1599,E01001361
BP1982,E01004564
BP3301,E01004761
BP1293,E01004218
36883,E01002902
BP1603,E01034617
35896,E01001832
BP4116,E01033743
BP1524,E01001499
BP1587,E01001202
33904,E01001335
37191,E01000481
30294,E01000335
23537,E01004691
29100,E01001170
29540,E01004094
BP981,E01001867
BP4581,E01004750
BP3567,E01034609
BP4504,E01002029
BP4471,E01004750
BP4355,E01034026
BP4361,E01003958
15368,E01001355
BP4230,E01004733
PCO5593,E01002734
BP4936,E01001742
BP3570,E01033938
BP1613,E01001916
BP4946,E01003523
BP4972,E01001247
BP4963,E01004727
BP4988,E01002734
H0610,E01003120
H0614,E01003154
OC693,E01003801
BP4995,E01000591
BP4994,E01004735
DS29,E01033944
DS30,E01003102
PCO5427,E01002968
PCO1001,E01032739
PCO5494,E01002573
PCO5215,E01002968
DS35,E01004397
33821,E01000392
BP4853,E01002678
BP4869,E01000856
PCO5781,E01002968
BP6218,E01000408
HC300,E01002993
BP6057,E01002770
BP6221,E01000947
RR57,E01001866
PCO6002,E01034394
PCO4645,E01000193
PCO5482,E01004156
BP6095,E01003388
BP6254,E01034219
BP6255,E01034219
RR40,E01003689
BP6114,E01003770
PCO5552,E01001943
BP6120,E01003093
BP6256,E01003464
PCO6021,E01002968
BP6509,E01000904
BP6513,E01004765
BP6520,E01004735
BP5966,E01001846
BP5965,E01001846
PCO5995,E01003357
HC637,E01002993
HC634,E01001470
HC638,E01002995
BP6155,E01000001
BP6486,E01035718
BP6529,E01003460
BP6535,E01035718
BP6533,E01034474
BP6534,E01034474
BP6532,E01034474
BP6022,E01032584
PCO4805,E01003439
BP6327,E01034478
RR66,E01004691
DUMST,E01001559
QNORT03,E01034188
QNORT04,E01034188
BP6049,E01003013
RR70,E01004277
BP6351,E01003932
BP6353,E01003801
QNORT05,E01034188
QNORT02,E01034188
RR43,E01001299
RR44,E01002676
BP6379,E01035710
BP6385,E01033943
BP6537,E01034220
BP6541,E01032739
PCO5477,E01002704
PCO5318,E01002819
PCO5808,E01003520
PCO5642,E01004203
PCO4977,E01004657
PCO6008,E01004397
PCO5854,E01004736
PCO5535,E01000960
PCO5620,E01000917
PCO5401,E01002179
PCO5489,E01000947
PCO5766,E01002361
PCO5529,E01034386
PCO5561,E01002930
PCO5116,E01033711
BP5909,E01002489
PCO5572,E01004734
BP6408,E01032582
BP5944,E01004572
RR15,E01001322
BP5941,E01002460
BP5928,E01000237
HC462,E01000655
HC463,E01000655
BP6167,E01034038
BP6166,E01034038
BP5955,E01000938
BP6079,E01004048
TS0019,E01001507
BP6181,E01001849
TS0020,E01003839
RR81,E01002770
RR25,E01004617
RR26,E01034209
RR50,E01034219
TS0021,E01002968
PCO6013,E01002676
BP6195,E01035718
PCO6020,E01002968
BP6441,E01035718
BP5858,E01032739
PCO5783,E01003981
BP5845,E01035718
OC927,E01000162
BP5185,E01002738
H1179,E01004575
BP5393,E01004344
BP5394,E01004344
H1270,E01000403
BP5844,E01003013
BP5406,E01003013
BP5891,E01034219
BP5425,E01004731
PCO5605,E01002521
RR04,E01000491
RR02,E01000490
RR03,E01000490
BP5635,E01034383
BP5636,E01000956
BP5222,E01004553
BP5904,E01003039
BP5478,E01004761
BP5667,E01004682
BP5668,E01004682
BP5676,E01003184
BP5905,E01003039
BP5256,E01004573
BP5258,E01000883
BP5673,E01002475
BP5270,E01035706
BP5275,E01004750
BP5276,E01004750
BP5277,E01004750
BP5487,E01034182
BP5492,E01003939
BP5495,E01003823
BP5697,E01002475
BP5933,E01000448
BP5278,E01004750
BP5279,E01004750
BP5503,E01035665
BP5717,E01004736
BP5730,E01002070
BP5733,E01033943
BP5919,E01001361
BP5515,E01001084
BP5734,E01033943
PCO1003,E01003981
BP5324,E01001777
BP5329,E01003430
BP5343,E01001513
BP5754,E01000360
BP5106,E01001078
BP5107,E01001078
BP5528,E01004750
BP5532,E01032739
BP5541,E01004750
BP5109,E01002968
BP4309,E01000992
PCO5583,E01033931
BP5123,E01001849
BP5552,E01001403
BP5553,E01001459
BP5783,E01001731
BP5137,E01002444
BP5139,E01002444
BP5136,E01002444
DS010,E01003032
OC804,E01003330
BP5150,E01032582
BP5370,E01032739
BP5566,E01003929
BP5794,E01004750
BP5803,E01004690
BP5135,E01002444
HC50,E01002393
BP5567,E01002972
BP5571,E01000706
BP5572,E01000706
BP6543,E01000508
HC874,E01000272
HC873,E01000272
HC865,E01000277
HC863,E01000321
HC869,E01000322
HC854,E01000267
HC861,E01000322
BP6542,E01000526
HC870,E01000324
HC855,E01000267
HC858,E01000272
HC868,E01000322
HC875,E01000273
HC862,E01000323
HC866,E01000321
H0945,E01000272
RR106,E01003506
HC871,E01000159
HC864,E01000277
HC856,E01000272
HC860,E01000322
HC876,E01000267
HC872,E01000273
HC857,E01000273
BP6518,E01004735
HC859,E01000324
HC877,E01000267
RR58,E01000863
HC867,E01000323
BP4467,E01002361
BP4403,E01000972
RR27,E01034209
BP6544,E01033569
BP4469,E01004750
35409,E01001550
BP4567,E01004733
28226,E01000724
40218,E01000721
35747,E01001714
HC140,E01001978
BP4275,E01000855
BP1574,E01004765
HC320,E01001568
BP4564,E01004727
BP5112,E01000248
BP1483,E01001018
BP4895,E01000403
34036,E01003000
BP5670,E01004736
OC842,E01001538
25490,E01004735
BP3593,E01002477
BP4262,E01002029
HC138,E01002086
2465,E01002704
HC329,E01001569
35824,E01001449
BP4594,E01035718
OC837,E01001413
RR12,E01001358
BP4595,E01002873
40228,E01000680
BP3254,E01035718
15216,E01003897
BP4954,E01001429
HC325,E01001523
HC321,E01001404
OC832,E01001412
BP1569,E01002521
R0864,E01000661
BP5184,E01000254
BP4881,E01032739
BP3967,E01004736
BP6013,E01003934
HC815,E01004557
34706,E01000708
BP5583,E01004714
HC475,E01002919
HC322,E01001523
34176,E01034150
BP4383,E01001687
BP4637,E01032739
BP1555,E01002520
35507,E01000433
RR94,E01002821
OC838,E01001413
HC556,E01001508
36631,E01003243
BP5433,E01004020
40034,E01000392
BP4563,E01004761
BP3595,E01002477
HC136,E01001980
BP6415,E01000001
HC142,E01001980
BP2263,E01002593
BP3198,E01002965
OC831,E01001412
BP3676,E01004112
BP2166,E01035711
BP3229,E01032582
LE227,E01004217
BP4570,E01004735
HC327,E01001567
40219,E01000720
OC841,E01001538
BP4586,E01035718
34461,E01000327
OC478,E01033884
OC839,E01001407
8572,E01032739
BP3191,E01001893
TRS169,E01000714
8568,E01032739
BP4578,E01004698
HC777,E01034225
OC554,E01003876
104,E01032739
37389,E01032740
BP5118,E01002444
33972,E01002601
BP4576,E01033594
BP1886,E01001334
BP4625,E01003013
27570,E01003900
BP5259,E01035711
BP2392,E01004031
BP3187,E01001121
BP2546,E01001367
8589,E01032739
BP2862,E01002735
35606,E01004118
BP2322,E01000129
18127,E01002967
BP1922,E01002521
BP3918,E01001246
29639,E01000938
HC301,E01001570
33746,E01001176
BP2464,E01001666
BP1887,E01001369
HC346,E01001569
HC779,E01034225
HC331,E01001499
25774,E01004734
BP6269,E01004390
BP4574,E01004731
BP3188,E01001121
OC843,E01001538
BP4587,E01004734
33071,E01004765
34987,E01000435
34248,E01003827
35855,E01001680
27762,E01001078
33713,E01004765
25872,E01001170
BP4115,E01033743
29980,E01001137
OC836,E01001413
HC323,E01001570
BP4577,E01004693
HC143,E01002084
29781,E01001844
BP5493,E01003934
29801,E01004662
BP1544,E01004440
BP4580,E01000855
OC835,E01001413
HC338,E01032574
OC833,E01001412
2337,E01003091
BP4877,E01003921
40184,E01000680
26779,E01004735
BP2866,E01004750
HC303,E01001470
BP5986,E01001276
2420,E01004733
R0878,E01001898
40230,E01000720
BP1891,E01001333
BP4582,E01004750
HC341,E01001569
8566,E01032739
BP1566,E01002520
OC994,E01003778
36952,E01000676
20931,E01004420
BP1539,E01034607
BP5497,E01001894
BP4571,E01004733
37665,E01032739
BP3189,E01001121
BP1568,E01002520
BP5560,E01034198
BP1567,E01002520
RR73,E01002795
BP5964,E01034602
BP4626,E01003013
OC845,E01001543
BP4820,E01033594
BP4572,E01004736
BP4589,E01004734
BP3384,E01032582
OC840,E01001413
20893,E01000799
BP6378,E01000963
BP4627,E01003013
BP4575,E01004750
40226,E01000680
BP4670,E01004761
BP4573,E01004736
BP5375,E01003860
M45,E01033929
OC844,E01001538
BP2750,E01002728
HC339,E01000167
14629,E01004736
40216,E01000724
BP4568,E01004736
BP5738,E01001916
BP5915,E01001915
2233,E01002988
BP3513,E01004736
BP5132,E01000254
BP5769,E01034217
BP4633,E01002821
33557,E01004420
OC992,E01004397
29989,E01004609
BP2445,E01001078
HC90,E01001570
OC975,E01003114
BP5483,E01002692
35849,E01001682
OC618,E01002089
HC336,E01001569
BP4617,E01001604
2234,E01002988
HC137,E01002089
BP4188,E01034174
BP1556,E01002521
40221,E01000720
40231,E01000720
18128,E01002967
HC135,E01002087
RR93,E01002846
R0415,E01000665
BP4535,E01003223
4351,E01002340
HC635,E01002993
36612,E01032582
OC834,E01001412
9433,E01004733
RR48,E01003456
HC141,E01001978
R0461,E01001202
HC814,E01004553
BP5625,E01004733
OC847,E01001544
OC848,E01001544
BP5870,E01003330
40222,E01000720
HC106,E01001499
8567,E01032739
HC636,E01001570
BP4583,E01004731
BP4942,E01004682
BP4660,E01004736
HC324,E01001494
25488,E01032740
HC144,E01002087
34009,E01001137
BP4278,E01000365
9434,E01004733
C84,E01002965
BP5519,E01002988
HC139,E01001976
OC846,E01001543
BP6020,E01032582
4476,E01002965
40220,E01000720
34421,E01001023
4013,E01000680
BP5520,E01002988
29999,E01001898
35756,E01000462
25489,E01032740
BP4269,E01004765
BP2731,E01002965
20631,E01003851
BP4245,E01004293
BP654,E01000856
RR06,E01000009
BP5146,E01035650
BP5142,E01002444
BP594,E01002276
BP5126,E01004731
26589,E01001505
18126,E01002965
HC780,E01034225
BP3390,E01004736
1786,E01003359
SL33,E01034150
BP4565,E01004736
33445,E01004750
BP6126,E01004731
BP5178,E01033569
BP4910,E01033884
BP245,E01004733
20128,E01000400
BP2535,E01000670
HC879,E01034212
OC995,E01004727
BP3917,E01001247
HC882,E01001365
HC886,E01000214
HC881,E01001365
HC883,E01001367
HC884,E01001338
HC885,E01001338
BP3447,E01002762
BP3813,E01004681
36613,E01033132
HC891,E01004363
BP3561,E01002707
2113,E01032739
BP5785,E01002129
20670,E01003100
BP4406,E01004731
BP4436,E01001559
HC894,E01002344
HC893,E01002344
RR114,E01002129
HC895,E01002344
8607,E01032739
8606,E01032739
BP4531,E01001562
8588,E01032739
H0105,E01003353
