cluster,stations,eligible_stations,eligibility_rate,mean_total_activity,mean_lnwc_entropy,mean_lnwc_coverage,mean_max_posterior
0,119,118,0.9915966386554622,20210.113253037267,0.5507715294269006,0.9907083113648726,0.9997931760473941
1,15,15,1.0,88645.14324642853,0.21245630396492204,0.9351105716160669,0.9999965328651395
2,44,44,1.0,68843.00552668607,0.4368551651586262,0.9875836366333317,0.9999515438938112
3,38,38,1.0,60083.11137404069,0.19922139987213425,0.9558964993440752,0.9999999999873209
4,54,39,0.7222222222222222,10339.056668929174,0.5275603976701652,0.9630373145777669,0.9994761523339935
