NLC,cluster,max_posterior,entropy,tot_entry,tot_exit,total_activity,Station,Fare Zone,easting,northing,lon,lat,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason
500,0,1.0,1.181470643379288e-37,5913.695163326618,14018.011921536674,19931.70708486329,Acton Town,3,519477.6064,179592.1471,-0.2800217640856027,51.50264555083834,1525596.0802807175,True,0.00492163727546452,0.46277494390368223,0.00694174374494633,0.2541374181110774,0.27122425696482966,0.0,0.0,1525596.080280732,1.0000000000000095,True,2,0.5751881779626851,
501,3,1.0,3.9968049417465697e-125,11049.72327684,6330.322317268003,17380.045594108,Barbican,1,532004.2025,181856.329700001,-0.0987999629121527,51.520208600153815,506176.4778921927,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,506176.4778921934,1.0000000000000013,True,1,-0.0,
502,3,1.0,3.637571621732165e-50,12244.379849940393,13127.939881514514,25372.319731454907,Aldgate,1,533613.1509,181262.295499999,-0.0758489668880275,51.51449244157986,308165.20598731784,True,0.9416568191251303,0.058343180874869616,0.0,0.0,0.0,0.0,0.0,308165.20598732436,1.000000000000021,True,1,0.11428286042663756,
503,2,1.0,2.118088457146785e-18,25196.40203101999,26446.2887469,51642.69077791999,Aldgate East,1,533936.1921,181374.788000001,-0.07115364166807,51.51542691621208,814631.3044966705,True,0.5203725390333945,0.45242168628545,0.027205774681155464,0.0,0.0,0.0,0.0,814631.3044966361,0.9999999999999578,True,1,0.40947686789517773,
505,4,0.973294497992638,0.1230966731444956,2726.357168859186,7092.771858705201,9819.129027564388,Alperton,4,517996.164,183795.164000001,-0.299949349972513,51.540730963558445,1805377.1462870107,True,0.0,0.11237491855519416,0.02203477086563012,0.7066091507607548,0.1525901138749586,0.006391045943462326,0.0,1805377.1462870128,1.000000000000001,True,4,0.45955849234236706,
506,4,1.0,1.3554121979780602e-67,1074.9204802164086,5621.002525339999,6695.923005556408,Amersham,9,496371.5781,198181.3279,-0.6077052134228341,51.674145407023566,2007391.033949385,False,,,,,,,,,,False,,,station point outside Greater London/LNWC extent
507,1,1.0,5.848511862032458e-24,31737.71886116,25901.40646412001,57639.12532528001,Angel,1,531560.5615,183099.9257,-0.1047264384023203,51.53148758749647,1761536.3705778252,True,0.6067575314496387,0.3788877551289278,0.0,0.014354713421433395,0.0,0.0,0.0,1761536.3705778029,0.9999999999999873,True,1,0.37606308453255394,
508,0,1.0,1.4920640344016498e-39,9954.105804043724,19429.07578368006,29383.181587723782,Archway,2/3,529363.5176,186721.2423,-0.1350520245238837,51.56453819250787,1675114.1441306842,True,0.061389909921678025,0.7777710602310909,0.07850813141398856,0.03527071278406765,0.047060185649174816,0.0,0.0,1675114.1441306933,1.0000000000000053,True,2,0.42568792550252227,
509,0,1.0,7.563927093776893e-39,3121.476679486484,9686.938155317,12808.414834803483,Arnos Grove,4,529355.1742,192497.914799999,-0.1330451742909319,51.61645247794506,1866175.6874052533,True,0.0,0.0,0.0,0.055354853408868046,0.7740056169445595,0.1706395296465725,0.0,1866175.687405239,0.9999999999999923,True,5,0.3392774189571216,
510,0,1.0,7.745299364641327e-57,2788.6440344604034,6681.370309785282,9470.014344245688,Arsenal,2,531305.0253,186112.096899999,-0.1072853032769284,51.55861585603557,1080849.6750288152,True,0.01349416407340676,0.6680217417582686,0.3184840941683247,0.0,0.0,0.0,0.0,1080849.6750287984,0.9999999999999845,True,2,0.3556208173290196,
